method,family,is_control,n_heldout_runs,n_pulses,mae_ns,bias_median_ns,pred_sigma_median_ns,pull_sigma68,pull_rms,coverage68,coverage90,coverage95,ece_abs,primary_score,primary_score_ci_low,primary_score_ci_high,pull_sigma68_ci_low,pull_sigma68_ci_high,coverage68_ci_low,coverage68_ci_high,coverage90_ci_low,coverage90_ci_high,coverage95_ci_low,coverage95_ci_high,pred_sigma_median_ns_ci_low,pred_sigma_median_ns_ci_high,mae_ns_ci_low,mae_ns_ci_high,n,tail_rate_abs_error_gt5ns,mean_tail_probability_gt5ns,tail_probability_brier,tail_probability_ece,tail_capture_at_95_acceptance,accepted_tail_rate_at_95_acceptance,tail_rate_abs_error_gt5ns_ci_low,tail_rate_abs_error_gt5ns_ci_high,mean_tail_probability_gt5ns_ci_low,mean_tail_probability_gt5ns_ci_high,tail_probability_brier_ci_low,tail_probability_brier_ci_high,tail_probability_ece_ci_low,tail_probability_ece_ci_high,tail_capture_at_95_acceptance_ci_low,tail_capture_at_95_acceptance_ci_high,accepted_tail_rate_at_95_acceptance_ci_low,accepted_tail_rate_at_95_acceptance_ci_high
gated_waveform_tabular_cnn,new_gated_waveform_tabular_cnn,False,7,11460,1.539635448685281,-0.21049128496154879,1.5835229298871014,1.000952677840056,1.3131661611526544,0.6723385689354275,0.8877835951134381,0.9342059336823735,0.03837190226876086,0.055159809407687804,0.0446108705280974,0.29511496172555574,0.9085613166133016,1.111155129269356,0.6213633172101732,0.7158145065398336,0.8405214845676847,0.9246015754090281,0.9006225240520657,0.9598695652173913,1.526525629417773,1.651592134137624,1.4120261200038413,1.694886204385042,11460,0.019458987783595113,0.009926572620020429,0.018380453147504684,0.009532415163574684,0.28699551569506726,0.014604574262882336,0.014531997472696092,0.025063061329629384,0.008477595835447584,0.011457215004271975,0.01354708149565652,0.024139219245300277,0.005744636751417238,0.018409837850479737,0.20188139709052946,0.37827803203661314,0.009746755313109966,0.02100114851780075
ridge_conformal,ridge,False,7,11460,1.0273966872253102,0.04988210813806404,1.163172962090218,0.9902478759661795,1.9928370458583244,0.6841186736474695,0.8859511343804537,0.931239092495637,0.03422844677137882,0.05561230042610153,0.0467750990888742,0.1954037444540834,0.924793933105328,1.0672181997475445,0.6473912537830109,0.7150623885918004,0.8586411797270518,0.9042116276663688,0.9082776501761597,0.9477323741380809,1.1137315122040308,1.2040086631743072,0.9668645617220157,1.1132452329991718,11460,0.013787085514834206,0.002223735670503803,0.012636068623123,0.011563349844330405,0.35443037974683544,0.0093689721686415,0.01226933647428347,0.015498270279332961,0.0014872088069242497,0.002988984954507503,0.011423060160890567,0.014044048638672993,0.010348734493997012,0.013389760151438362,0.2847222222222222,0.43506493506493504,0.0075376228629403024,0.011203030113037938
control_shuffled_target_ridge,control_shuffled_target,True,7,11460,1.6800395586885548,-0.48667751967079553,1.7873263039604668,0.9918735426278971,1.4308494642504916,0.662739965095986,0.8912739965095986,0.9357766143106457,0.04290942408376963,0.06890914449547723,0.06441583190393488,0.48309256251402344,0.9047080418750885,1.2078269533583932,0.5594613501224204,0.7234488402891603,0.8218564518013097,0.932205047697686,0.8896893823712632,0.9623089983022072,1.7467866815102073,1.8262445305274808,1.4763924458537006,2.0206177556675815,11460,0.0231239092495637,0.005690711912602334,0.022741123995132905,0.017433197336961366,0.14339622641509434,0.020850555708643335,0.014621807776983846,0.03464946166157427,0.004757464665480655,0.0067901862598105656,0.014490423353362114,0.033888204272563005,0.010230506485032102,0.027845040098075383,0.08181077075098814,0.17719690029012053,0.013312134388931642,0.03170616857636164
mlp_heteroskedastic,mlp,False,7,11460,1.296942628971471,-0.04262749565507917,1.2868988091976439,0.9972047731125366,1.4071760453549529,0.6774869109947644,0.8727748691099476,0.9218150087260035,0.060623211169284374,0.07628742614872418,0.06354583369456819,0.34553875239933024,0.907300062117555,1.1442180373046682,0.6219283356907119,0.7228535353535354,0.8254476190476191,0.9079686270984747,0.893449990061618,0.9440503368350717,1.1773405372914556,1.4045222985669046,1.1336645125551068,1.5166890249259994,11460,0.016753926701570682,0.006935207533928654,0.015179512488255217,0.009818719167642027,0.375,0.011022320198401764,0.013527868747316528,0.0205240807980245,0.0049945515704031595,0.009553417478840653,0.011980132572304205,0.019113113893324266,0.007648071775962185,0.011775646094816227,0.26663461538461536,0.4748964146795196,0.007761730712291499,0.015896545203460764
control_amplitude_only_ridge,control_amplitude_only,True,7,11460,1.6243910450140806,-0.28041770553691947,1.608722778957018,0.9989298149327388,1.7873201998136203,0.6768760907504363,0.8691099476439791,0.9164048865619546,0.07030907504362993,0.08746648790046131,0.08053283895932974,0.5080807050530785,0.879453312407423,1.2246984060815473,0.5956211133209031,0.7457044673539519,0.8008906859450596,0.9227191347427283,0.8678452989160196,0.9542073454207345,1.5356701781065005,1.6788913647993076,1.4451694512917719,1.8844354568135981,11460,0.02198952879581152,0.007969019249947218,0.02196226799176096,0.019082974836191747,0.04365079365079365,0.022136493065123542,0.014438484547844957,0.0321461895572575,0.005674246380283091,0.009900691484727619,0.014465509571518598,0.03199893111136713,0.014211605507413648,0.028243907244441604,0.02054794520547945,0.09009847613571013,0.013844632262301005,0.03299674008110042
gradient_boosted_trees_conformal,gradient_boosted_trees,False,7,11460,0.9127719075523862,0.06766770480991047,0.9947706962063316,1.018324857150609,2.810071477399728,0.6712914485165794,0.8705061082024432,0.9176265270506109,0.07327591623036644,0.1015484803430387,0.06557465119757748,0.3210597318972521,0.9408875855968145,1.1267639424343292,0.6288625433333837,0.7006309171103339,0.8321995464852607,0.8961439077718147,0.88612787562143,0.9385783298826778,0.9449020481799204,1.0342997537355336,0.8526741479299179,1.0014427450350838,11460,0.014659685863874346,0.004594237214582963,0.011795842117469084,0.01006544864929138,0.5059523809523809,0.00762377147056122,0.011996692917093958,0.017354423869695983,0.003546406439476874,0.005610331088308385,0.009818745694515,0.01388286108859915,0.00823818274251672,0.011837849368294545,0.47572815533980584,0.5294117647058824,0.006415513139704477,0.00909523367259333
cnn_1d_heteroskedastic,cnn_1d,False,7,11460,1.09363389083943,0.08580383369330846,1.0641630065420122,1.0100550799633166,1.6261582937974548,0.6731239092495637,0.8517452006980802,0.8962478184991274,0.11158307155322866,0.13227978158196535,0.11170948646416311,0.33568077540495467,0.9213650560290978,1.1073466595861519,0.631575084747674,0.7071953010279002,0.8176595520344898,0.8770292718222249,0.8690517142529527,0.9171455938697318,1.0405279287824736,1.080887563388318,1.0116264019263566,1.2127449622232913,11460,0.01474694589877836,0.00317621068545549,0.013552946691065756,0.01157073521332287,0.3905325443786982,0.009460824836961514,0.012517534717736263,0.017062728954757085,0.001746969346530003,0.00500507195251133,0.011454457572701917,0.01563453759185115,0.010347005831968951,0.012627244852069251,0.3237950937950938,0.4745194429122999,0.007303964792463021,0.011463250168577209
control_run_only_width,control_run_only,True,7,11460,1.637585197406115,0.004739393355944088,1.7358343504873641,1.003754976297763,1.4446852205510832,0.6279232111692845,0.8705061082024432,0.9216404886561954,0.1126301919720768,0.13374351177471333,0.09209732446608337,0.4755228306200381,0.9305429283878216,1.1791515992355346,0.5692323566231393,0.6695594906375112,0.8127350008173941,0.9052081024569798,0.8726415622624181,0.9521247498252368,1.6954220888839444,1.8286382159443844,1.4675508079275894,1.9092629737292646,11460,0.02931937172774869,0.004480543778087778,0.02903589288436008,0.024838827949660913,0.0,0.02931937172774869,0.015127764697404759,0.05051860795278811,0.0036059420394999007,0.005516952214144881,0.01502571718843405,0.04994490695044323,0.011214913763469492,0.044949821990939255,0.0,0.04190152612231249,0.015160311604721364,0.05051860795278811
control_sample_permuted_cnn,control_sample_permuted,True,7,11460,1.1184242441760712,0.090035517633833,1.0514819097834214,1.0270473333223298,1.654727425342222,0.6565445026178011,0.8476439790575916,0.893630017452007,0.1348815008726003,0.17244365329276432,0.10784125177509916,0.42017589345462514,0.9368615742996154,1.1610208959518766,0.6072295002426007,0.6972187938866916,0.8077720551939286,0.875987470052843,0.863046885217947,0.9174282984468205,0.9964138384760277,1.0971239231266858,0.9920761212041717,1.2927868402140352,11460,0.015095986038394415,0.002829925375651893,0.013906911187769738,0.012266060662742523,0.3988439306358382,0.00955267750528153,0.012395893860158822,0.01795927705330588,0.001604740755084526,0.004487589584910128,0.011499694558493936,0.016381824930946677,0.010674993203018634,0.01361788126178768,0.3116883116883117,0.47096774193548385,0.00713721292798465,0.012237231015149128
control_phase_scrambled_cnn,control_phase_scrambled,True,7,11460,1.1562718621953896,0.07400005528607068,1.0827281064786174,1.0282623152330608,1.6710622082680218,0.6540139616055847,0.8458115183246073,0.893717277486911,0.13915724258289697,0.1782468388807439,0.10596571525610962,0.44572496778525905,0.9111693024186893,1.1643587871621262,0.6007837917775806,0.701208099370427,0.8024596237815739,0.8793789422610383,0.8572498662386303,0.9217559632402664,1.0241387096138783,1.136880013031321,1.0203383243569664,1.3446315855151167,11460,0.015270506108202443,0.004263917352908823,0.014545633080923404,0.01100658875529362,0.3657142857142857,0.010195646183521631,0.012508451656524679,0.01824994454529326,0.002061211926203348,0.007175312008749746,0.011542861529014209,0.017650353738821123,0.00938516601708638,0.012336177214933713,0.3083173076923077,0.4512903225806451,0.0074616814391754455,0.012801144947125706
