method,n,tail_rate_abs_error_gt5ns,mean_tail_probability_gt5ns,tail_probability_brier,tail_probability_ece,tail_capture_at_95_acceptance,accepted_tail_rate_at_95_acceptance,tail_rate_abs_error_gt5ns_ci_low,tail_rate_abs_error_gt5ns_ci_high,mean_tail_probability_gt5ns_ci_low,mean_tail_probability_gt5ns_ci_high,tail_probability_brier_ci_low,tail_probability_brier_ci_high,tail_probability_ece_ci_low,tail_probability_ece_ci_high,tail_capture_at_95_acceptance_ci_low,tail_capture_at_95_acceptance_ci_high,accepted_tail_rate_at_95_acceptance_ci_low,accepted_tail_rate_at_95_acceptance_ci_high
cnn_1d_heteroskedastic,11460,0.01474694589877836,0.00317621068545549,0.013552946691065756,0.01157073521332287,0.3905325443786982,0.009460824836961514,0.012517534717736263,0.017062728954757085,0.001746969346530003,0.00500507195251133,0.011454457572701917,0.01563453759185115,0.010347005831968951,0.012627244852069251,0.3237950937950938,0.4745194429122999,0.007303964792463021,0.011463250168577209
control_amplitude_only_ridge,11460,0.02198952879581152,0.007969019249947218,0.02196226799176096,0.019082974836191747,0.04365079365079365,0.022136493065123542,0.014438484547844957,0.0321461895572575,0.005674246380283091,0.009900691484727619,0.014465509571518598,0.03199893111136713,0.014211605507413648,0.028243907244441604,0.02054794520547945,0.09009847613571013,0.013844632262301005,0.03299674008110042
control_phase_scrambled_cnn,11460,0.015270506108202443,0.004263917352908823,0.014545633080923404,0.01100658875529362,0.3657142857142857,0.010195646183521631,0.012508451656524679,0.01824994454529326,0.002061211926203348,0.007175312008749746,0.011542861529014209,0.017650353738821123,0.00938516601708638,0.012336177214933713,0.3083173076923077,0.4512903225806451,0.0074616814391754455,0.012801144947125706
control_run_only_width,11460,0.02931937172774869,0.004480543778087778,0.02903589288436008,0.024838827949660913,0.0,0.02931937172774869,0.015127764697404759,0.05051860795278811,0.0036059420394999007,0.005516952214144881,0.01502571718843405,0.04994490695044323,0.011214913763469492,0.044949821990939255,0.0,0.04190152612231249,0.015160311604721364,0.05051860795278811
control_sample_permuted_cnn,11460,0.015095986038394415,0.002829925375651893,0.013906911187769738,0.012266060662742523,0.3988439306358382,0.00955267750528153,0.012395893860158822,0.01795927705330588,0.001604740755084526,0.004487589584910128,0.011499694558493936,0.016381824930946677,0.010674993203018634,0.01361788126178768,0.3116883116883117,0.47096774193548385,0.00713721292798465,0.012237231015149128
control_shuffled_target_ridge,11460,0.0231239092495637,0.005690711912602334,0.022741123995132905,0.017433197336961366,0.14339622641509434,0.020850555708643335,0.014621807776983846,0.03464946166157427,0.004757464665480655,0.0067901862598105656,0.014490423353362114,0.033888204272563005,0.010230506485032102,0.027845040098075383,0.08181077075098814,0.17719690029012053,0.013312134388931642,0.03170616857636164
gated_waveform_tabular_cnn,11460,0.019458987783595113,0.009926572620020429,0.018380453147504684,0.009532415163574684,0.28699551569506726,0.014604574262882336,0.014531997472696092,0.025063061329629384,0.008477595835447584,0.011457215004271975,0.01354708149565652,0.024139219245300277,0.005744636751417238,0.018409837850479737,0.20188139709052946,0.37827803203661314,0.009746755313109966,0.02100114851780075
gradient_boosted_trees_conformal,11460,0.014659685863874346,0.004594237214582963,0.011795842117469084,0.01006544864929138,0.5059523809523809,0.00762377147056122,0.011996692917093958,0.017354423869695983,0.003546406439476874,0.005610331088308385,0.009818745694515,0.01388286108859915,0.00823818274251672,0.011837849368294545,0.47572815533980584,0.5294117647058824,0.006415513139704477,0.00909523367259333
mlp_heteroskedastic,11460,0.016753926701570682,0.006935207533928654,0.015179512488255217,0.009818719167642027,0.375,0.011022320198401764,0.013527868747316528,0.0205240807980245,0.0049945515704031595,0.009553417478840653,0.011980132572304205,0.019113113893324266,0.007648071775962185,0.011775646094816227,0.26663461538461536,0.4748964146795196,0.007761730712291499,0.015896545203460764
ridge_conformal,11460,0.013787085514834206,0.002223735670503803,0.012636068623123,0.011563349844330405,0.35443037974683544,0.0093689721686415,0.01226933647428347,0.015498270279332961,0.0014872088069242497,0.002988984954507503,0.011423060160890567,0.014044048638672993,0.010348734493997012,0.013389760151438362,0.2847222222222222,0.43506493506493504,0.0075376228629403024,0.011203030113037938
traditional_stratified_robust_width,11460,0.014834205933682374,0.003989311542082046,0.013998329168523333,0.01224868301650301,0.20588235294117646,0.01227830832196453,0.01282051282051282,0.01692993114621304,0.002360301665465402,0.0055985182576830635,0.011947686280528703,0.016319393114046836,0.010214314366357674,0.01486256999130404,0.16167664670658682,0.26815983103965113,0.009974590999371289,0.01465633423180593
