level,n,median_residual_ns,sigma68_ns,stave,lowering_axis,amp_bin,q_bin,phase_bin,heldout_run
stave_lowering_amp_q_phase,161,2.3721910384861573,0.2637473229054379,B4,large,0.0,2.0,0.0,58
stave_lowering_amp_q_phase,191,2.0695947696870434,0.15996091442407867,B4,medium,0.0,2.0,0.0,58
stave_lowering_amp_q_phase,54,1.9529060588447713,0.1348119223175579,B4,medium,1.0,2.0,0.0,58
stave_lowering_amp_q_phase,95,1.7959445179762596,1.4178015268971562,B4,none,0.0,0.0,2.0,58
stave_lowering_amp_q_phase,550,2.073749331267429,1.5211140236449503,B4,none,0.0,0.0,3.0,58
stave_lowering_amp_q_phase,51,1.9952488677079288,0.0992108255617552,B4,none,0.0,2.0,3.0,58
stave_lowering_amp_q_phase,119,1.495641408434409,1.1812106900469659,B4,none,1.0,0.0,2.0,58
stave_lowering_amp_q_phase,707,1.9484379342026514,1.336236456396115,B4,none,1.0,0.0,3.0,58
stave_lowering_amp_q_phase,68,1.965726689068422,0.18698784452272044,B4,none,1.0,1.0,1.0,58
stave_lowering_amp_q_phase,90,1.9904162092509239,0.16206035923264528,B4,none,1.0,2.0,3.0,58
stave_lowering_amp_q_phase,48,1.9595959353172319,1.0973927414113618,B4,none,2.0,0.0,2.0,58
stave_lowering_amp_q_phase,228,1.7999322074711976,1.2739923933871569,B4,none,2.0,0.0,3.0,58
stave_lowering_amp_q_phase,66,1.9292067177480412,0.6540699533333452,B4,none,2.0,1.0,1.0,58
stave_lowering_amp_q_phase,57,1.738347695709173,0.9258791798243052,B4,none,2.0,1.0,2.0,58
stave_lowering_amp_q_phase,369,2.1962800411277215,1.2703254765648013,B4,none,2.0,1.0,3.0,58
stave_lowering_amp_q_phase,77,2.048443637339304,0.16200435047480677,B4,none,2.0,2.0,3.0,58
stave_lowering_amp_q_phase,54,5.725854367804057,6.61954526530573,B4,none,3.0,2.0,3.0,58
stave_lowering_amp_q_phase,81,2.0027522282081662,0.12375900770700166,B4,small,0.0,2.0,0.0,58
stave_lowering_amp_q_phase,69,2.0113773132258075,0.15733627051792998,B4,small,1.0,2.0,0.0,58
stave_lowering_amp_q_phase,63,-1.2057993300003602,0.0878507325825838,B6,large,0.0,2.0,0.0,58
stave_lowering_amp_q_phase,118,-1.113525654284313,0.12164481793182358,B6,medium,0.0,2.0,0.0,58
stave_lowering_amp_q_phase,65,-1.0927911269035278,0.10966246415927333,B6,medium,1.0,2.0,0.0,58
stave_lowering_amp_q_phase,61,-1.210298872527055,1.2480558545835165,B6,none,0.0,0.0,2.0,58
stave_lowering_amp_q_phase,551,-1.1816905359078334,1.4672719158517324,B6,none,0.0,0.0,3.0,58
stave_lowering_amp_q_phase,50,-1.1241032446938988,0.16196890875824677,B6,none,0.0,2.0,1.0,58
stave_lowering_amp_q_phase,55,-1.1191394647709245,0.20897975661216545,B6,none,0.0,2.0,3.0,58
stave_lowering_amp_q_phase,94,-1.1492955856537357,1.1746916203424997,B6,none,1.0,0.0,2.0,58
stave_lowering_amp_q_phase,689,-1.249653664356785,1.2653741274399912,B6,none,1.0,0.0,3.0,58
stave_lowering_amp_q_phase,45,-1.1979566333740053,0.19236410135157944,B6,none,1.0,1.0,1.0,58
stave_lowering_amp_q_phase,49,-1.1155636029069242,0.13335424350324399,B6,none,1.0,2.0,1.0,58
stave_lowering_amp_q_phase,65,-1.139971748004271,0.14076331476654502,B6,none,1.0,2.0,3.0,58
stave_lowering_amp_q_phase,72,-1.5141210269755199,1.0274243641793221,B6,none,2.0,0.0,2.0,58
stave_lowering_amp_q_phase,371,-1.2986465643088536,1.0756360399513412,B6,none,2.0,0.0,3.0,58
stave_lowering_amp_q_phase,73,-1.1430988967569462,0.21919204809858855,B6,none,2.0,1.0,1.0,58
stave_lowering_amp_q_phase,45,-0.829341509647449,1.4648077999573985,B6,none,2.0,1.0,2.0,58
stave_lowering_amp_q_phase,252,-1.156246699826724,1.1269755463549809,B6,none,2.0,1.0,3.0,58
stave_lowering_amp_q_phase,77,-1.112007837698414,0.1653820584005692,B6,none,2.0,2.0,3.0,58
stave_lowering_amp_q_phase,110,-1.0951857921803487,1.1796254961394608,B6,none,3.0,1.0,3.0,58
stave_lowering_amp_q_phase,41,-1.1104457041613642,0.9564088098153576,B6,none,3.0,2.0,2.0,58
stave_lowering_amp_q_phase,75,-1.002395924525203,0.9200615923329635,B6,none,3.0,2.0,3.0,58
stave_lowering_amp_q_phase,73,-1.1224220427116265,0.13965233855250653,B6,small,0.0,2.0,0.0,58
stave_lowering_amp_q_phase,92,-1.1204397443634129,0.1376630374901614,B6,small,1.0,2.0,0.0,58
stave_lowering_amp_q_phase,75,-1.1006177610125718,0.12456379658756567,B6,small,2.0,2.0,0.0,58
stave_lowering_amp_q_phase,40,-1.3938660064553545,0.06341401383554468,B8,large,0.0,2.0,0.0,58
stave_lowering_amp_q_phase,43,-1.2894231498893092,0.11936151265424211,B8,large,1.0,2.0,0.0,58
stave_lowering_amp_q_phase,72,-0.7312480702287587,0.2015100908585822,B8,medium,3.0,2.0,0.0,58
stave_lowering_amp_q_phase,163,-0.5514736592848664,1.3455493727155245,B8,none,0.0,1.0,3.0,58
stave_lowering_amp_q_phase,162,-0.18833767434669113,1.2291610463142997,B8,none,1.0,1.0,3.0,58
stave_lowering_amp_q_phase,59,-0.7800367935126644,1.0505892997742565,B8,none,2.0,1.0,2.0,58
stave_lowering_amp_q_phase,483,-0.5283189550691105,1.1267725179022374,B8,none,2.0,1.0,3.0,58
stave_lowering_amp_q_phase,66,-1.0379742152715394,0.09319738520134774,B8,none,2.0,2.0,3.0,58
stave_lowering_amp_q_phase,145,-0.8894213610535502,0.6832459788384782,B8,none,3.0,1.0,1.0,58
stave_lowering_amp_q_phase,356,-0.8843918067425562,1.258067546359007,B8,none,3.0,1.0,2.0,58
stave_lowering_amp_q_phase,798,-0.5962167619720411,1.2730657979149964,B8,none,3.0,1.0,3.0,58
stave_lowering_amp_q_phase,173,-0.6544578866582498,0.2624094874580093,B8,none,3.0,2.0,0.0,58
stave_lowering_amp_q_phase,100,-1.0899525137790746,1.1886341572353865,B8,none,3.0,2.0,1.0,58
stave_lowering_amp_q_phase,165,-1.9585888274510808,1.4466110096635936,B8,none,3.0,2.0,2.0,58
stave_lowering_amp_q_phase,274,-0.7918628765371736,0.48143888850454386,B8,none,3.0,2.0,3.0,58
stave_lowering_amp_q_phase,114,-0.7684993259908097,0.21440977275845172,B8,small,3.0,2.0,0.0,58
stave_lowering_amp_q,191,2.317157418722182,0.2586766551207518,B4,large,0.0,2.0,,58
stave_lowering_amp_q,195,2.064480066875511,0.16312311648781408,B4,medium,0.0,2.0,,58
stave_lowering_amp_q,75,1.9518475323876174,0.14883848360092544,B4,medium,1.0,2.0,,58
stave_lowering_amp_q,654,1.9911675626776528,1.5181435282630185,B4,none,0.0,0.0,,58
stave_lowering_amp_q,69,2.0145417905217045,1.4062820953012212,B4,none,0.0,1.0,,58
stave_lowering_amp_q,56,1.995268384340676,0.10522896834335416,B4,none,0.0,2.0,,58
stave_lowering_amp_q,851,1.8868483958075686,1.2761250185691075,B4,none,1.0,0.0,,58
stave_lowering_amp_q,106,1.9838102006499199,0.580721028263347,B4,none,1.0,1.0,,58
stave_lowering_amp_q,96,1.9904162092509239,0.16403233033221332,B4,none,1.0,2.0,,58
stave_lowering_amp_q,286,1.7748459558247092,1.2358765142726214,B4,none,2.0,0.0,,58
stave_lowering_amp_q,496,2.0239339934747207,1.1493827654853335,B4,none,2.0,1.0,,58
stave_lowering_amp_q,85,2.0489280071995637,0.1597328483822773,B4,none,2.0,2.0,,58
stave_lowering_amp_q,67,2.083490548570744,1.3880457068393812,B4,none,3.0,1.0,,58
stave_lowering_amp_q,113,2.5921861584016526,4.454997690737775,B4,none,3.0,2.0,,58
stave_lowering_amp_q,123,2.002598722864434,0.15362469382860633,B4,small,0.0,2.0,,58
stave_lowering_amp_q,103,2.0033569409290806,0.15672295550825122,B4,small,1.0,2.0,,58
stave_lowering_amp_q,42,2.045309957462983,0.2153180040161048,B4,small,2.0,2.0,,58
stave_lowering_amp_q,74,-1.205778345471657,0.09456117812213183,B6,large,0.0,2.0,,58
stave_lowering_amp_q,120,-1.114539925555988,0.12236436549362639,B6,medium,0.0,2.0,,58
stave_lowering_amp_q,67,-1.093374675576193,0.1129416939147525,B6,medium,1.0,2.0,,58
stave_lowering_amp_q,612,-1.190539992994026,1.4381080490158402,B6,none,0.0,0.0,,58
stave_lowering_amp_q,60,-1.2097398197542226,0.7417786667485942,B6,none,0.0,1.0,,58
stave_lowering_amp_q,107,-1.1219898653350526,0.16928873746389994,B6,none,0.0,2.0,,58
stave_lowering_amp_q,783,-1.2421449163726166,1.2620472750484244,B6,none,1.0,0.0,,58
stave_lowering_amp_q,76,-1.1618392980856704,0.19548641670571598,B6,none,1.0,1.0,,58
stave_lowering_amp_q,120,-1.121055497709989,0.13346007770271684,B6,none,1.0,2.0,,58
