split,n_train,n_test,exact_waveform_hash_overlap,exact_waveform_hash_overlap_frac,neighbor_train_sample,neighbor_test_sample,nearest_norm_l2_median,nearest_norm_l2_p01,nearest_norm_l2_p05,nearest_norm_l2_p95,nearest_norm_l2_under_0p01_frac
holdout_sample_i_calib,391875,248607,0,0.0,45000,30000,0.027326935902237892,0.010923116570338606,0.013903896370902658,0.13994106650352478,0.0047666666666666664
holdout_sample_i_analysis,388315,252167,0,0.0,45000,30000,0.02558090351521969,0.010931277936324478,0.01387386852875352,0.13068080469965931,0.0056
holdout_sample_ii_calib,625852,14630,0,0.0,45000,14630,0.03792621195316315,0.015356749650090934,0.02064794171601534,0.20428787171840665,0.0004784688995215311
holdout_sample_ii_analysis,515404,125078,0,0.0,45000,30000,0.04370821267366409,0.01542708552442491,0.021624464355409146,0.22903754413127897,0.0005666666666666667
train_B4_B6_B8_holdout_B2,61310,579172,0,0.0,45000,30000,0.05776669830083847,0.02386342916637659,0.030992626585066317,0.3740626946091651,0.00016666666666666666
