split,method,run,group,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_5pct,within_10pct
holdout_sample_i_calib,traditional_huber,31,sample_i_calib,27853,-0.0034732268263468124,0.015776191821734453,0.20738325765696117,0.8938354934836463,0.9273327828241124
holdout_sample_i_calib,traditional_huber,32,sample_i_calib,28226,-0.0035113018255577707,0.016204323150098315,0.21350461917141225,0.8851767873591724,0.9210656841210232
holdout_sample_i_calib,traditional_huber,33,sample_i_calib,48733,-0.002887117188077081,0.014921706666582843,0.1140586296833389,0.9674142777994378,0.9789054644696612
holdout_sample_i_calib,traditional_huber,34,sample_i_calib,34116,-0.002641789301853159,0.013732246603739858,0.08155221450881311,0.9648551999062024,0.9793645210458436
holdout_sample_i_calib,traditional_huber,35,sample_i_calib,11657,-0.0025595991488023455,0.0222359812125552,0.2842029386603059,0.8335763918675474,0.8718366646650082
holdout_sample_i_calib,traditional_huber,36,sample_i_calib,10385,-0.0028973175972740513,0.022553186751005528,0.3023087648370102,0.8284063553201734,0.8710640346653827
holdout_sample_i_calib,traditional_huber,37,sample_i_calib,24508,-0.0013458915117168996,0.023932284710640885,0.3228792797851742,0.800473314835972,0.8491512975354986
holdout_sample_i_calib,traditional_huber,39,sample_i_calib,14201,-0.0009700507224773035,0.02492072900553278,0.38578700369777824,0.7859305682698402,0.8378987395253855
holdout_sample_i_calib,traditional_huber,40,sample_i_calib,14698,-0.0006715805808569992,0.025459952900652966,0.38778387508668577,0.7867056742413934,0.8366444414206015
holdout_sample_i_calib,traditional_huber,41,sample_i_calib,16132,-0.0010636949314684083,0.024589422316086504,0.3782154923376346,0.7982271262087776,0.8465162410116539
holdout_sample_i_calib,traditional_huber,42,sample_i_calib,18098,-0.001672570380435003,0.022833413541340573,0.30695496846544124,0.811526135484584,0.8613106420598962
holdout_sample_i_calib,peak_loglinear,31,sample_i_calib,27853,-0.00807556896509556,0.04693577287248384,0.3409601668416669,0.6968010627221484,0.8589020931317991
holdout_sample_i_calib,peak_loglinear,32,sample_i_calib,28226,-0.008826114511727753,0.05059625702122183,0.3686805193030985,0.677531354070715,0.8477290441436973
holdout_sample_i_calib,peak_loglinear,33,sample_i_calib,48733,-0.01717890904201808,0.029792731263299836,0.16997383498493823,0.8661071553156998,0.9539531734143188
