observable_bin,n,median_abs_frac_error,res68_abs_frac,median_downstream_sum
downstream_count_0,58298,0.0009129183096408873,0.0018074420758497844,173.0
downstream_count_1,25463,0.0024845268679510647,0.006379922413744894,3676.0
downstream_count_ge2,41317,0.002753120384864769,0.006342867257089261,7121.0
downstream_max_lt1000,58294,0.0009127689454400192,0.0018072858153399195,173.0
downstream_max_ge1000,66784,0.002646667044602222,0.00635643216624755,5873.0
ts_spread_ge3,5177,0.0030491879103718934,0.007797328211293688,7730.0
