alpha,fold,run_group_split,mse,mae,r2,n
0.01,0,train_run_cv,0.04480223135256369,0.08449027017213387,0.6508396930714719,141858
0.01,1,train_run_cv,0.0753139446582302,0.09970432593315107,0.5804177029783444,146028
0.01,2,train_run_cv,0.06895612428765459,0.08986171384771054,0.6200003789838842,148925
0.01,3,train_run_cv,0.05187880795540575,0.0829127046096117,0.641361903810453,144313
0.01,-1,train_run_cv_mean,0.06023777706346355,,,581124
0.1,0,train_run_cv,0.044802193718649144,0.0844897770857448,0.6508399863664431,141858
0.1,1,train_run_cv,0.07531396513741051,0.09970401555454572,0.5804175888865708,146028
0.1,2,train_run_cv,0.06895613468526043,0.0898613471268297,0.620000321685329,148925
0.1,3,train_run_cv,0.0518787966511504,0.08291231199966803,0.6413619819567478,144313
0.1,-1,train_run_cv_mean,0.06023777254811763,,,581124
1.0,0,train_run_cv,0.04480181815130124,0.08448485246839431,0.6508429133012521,141858
1.0,1,train_run_cv,0.0753141699622916,0.09970091539477134,0.5804164477845548,146028
1.0,2,train_run_cv,0.068956238876402,0.08985768623236745,0.6199997475145108,148925
1.0,3,train_run_cv,0.05187868400721668,0.08290839065443965,0.6413627606640375,144313
1.0,-1,train_run_cv_mean,0.060237727749302875,,,581124
10.0,0,train_run_cv,0.04479813842732016,0.08443625537784231,0.6508715907469029,141858
10.0,1,train_run_cv,0.07531622127538759,0.09967029507340906,0.5804050196929227,146028
10.0,2,train_run_cv,0.06895730171518374,0.08982156225872467,0.6199938904809488,148925
10.0,3,train_run_cv,0.0518775967171951,0.08286972468347459,0.6413702770977936,144313
10.0,-1,train_run_cv_mean,0.06023731453377165,,,581124
100.0,0,train_run_cv,0.04476786808206217,0.08400828764041618,0.6511074987077797,141858
100.0,1,train_run_cv,0.07533683994076659,0.09939516217349023,0.580290150832707,146028
100.0,2,train_run_cv,0.06896953363595708,0.08950094072865089,0.6199264834840186,148925
100.0,3,train_run_cv,0.05187002372814803,0.08252887246081358,0.6414226291560106,144313
100.0,-1,train_run_cv_mean,0.060236066346733466,,,581124
