variant,method,base_sigma68_ns,variant_sigma68_ns,delta_sigma68_ns,ci_low,ci_high,n_pair_residuals,heldout_runs
control_stratum_mean,cfd20,3.1884502039551736,2.258515452661514,-0.9299347512936595,-1.0820685119628912,-0.65790676486492,1224,"42,57,64,65"
control_stratum_mean,template_phase,2.5232181251049006,2.2592832834720618,-0.26393484163283887,-0.5,0.23606515836715758,1224,"42,57,64,65"
control_stratum_mean,of_5_13,2.693265431442259,2.33302767654419,-0.3602377548980691,-0.4847794799804688,-0.188863319091789,1224,"42,57,64,65"
local_linear_bridge,cfd20,3.1884502039551736,3.0256833344697958,-0.16276686948537789,-0.28225023919343917,-0.005340278148654676,1224,"42,57,64,65"
local_linear_bridge,template_phase,2.5232181251049006,2.273218125104904,-0.24999999999999645,-0.4860651583671505,0.0,1224,"42,57,64,65"
local_linear_bridge,of_5_13,2.693265431442259,2.541349915466306,-0.15191551597595288,-0.2688895225524903,0.03369665145874112,1224,"42,57,64,65"
ampbin_template_curvature,cfd20,3.1884502039551736,3.0231593698263164,-0.16529083412885726,-0.29044514161348234,-0.01535825676917213,1224,"42,57,64,65"
ampbin_template_curvature,template_phase,2.5232181251049006,2.5092832834720595,-0.013934841632841088,-0.24999999999999645,3.552713678800501e-15,1224,"42,57,64,65"
ampbin_template_curvature,of_5_13,2.693265431442259,2.6073518753051728,-0.08591355613708629,-0.22760948455810537,0.16745124435424508,1224,"42,57,64,65"
ml_ridge_impute,cfd20,3.1884502039551736,3.0186339319264888,-0.16981627202868488,-0.2905764545750613,-0.029560083270071758,1224,"42,57,64,65"
ml_ridge_impute,template_phase,2.5232181251049006,2.5092832834720618,-0.013934841632838868,-0.2499999999999929,0.013934841632838868,1224,"42,57,64,65"
ml_ridge_impute,of_5_13,2.693265431442259,2.789332812347412,0.09606738090515288,-0.056254145336153305,0.3078496246337923,1224,"42,57,64,65"
ml_ridge_shuffle_impute,cfd20,3.1884502039551736,2.116289120116233,-1.0721610838389406,-1.2976027610301966,-0.8971601724624527,1224,"42,57,64,65"
ml_ridge_shuffle_impute,template_phase,2.5232181251049006,2.023218125104904,-0.49999999999999645,-0.736065158367158,3.552713678800501e-15,1224,"42,57,64,65"
ml_ridge_shuffle_impute,of_5_13,2.693265431442259,1.9184991569519048,-0.7747662744903543,-0.8713594126701357,-0.5397643772888099,1224,"42,57,64,65"
