split,method,n_pair_residuals,sigma68_ns,ci_low,ci_high,median_ns
train,cfd20,14646,3.1526490375399567,3.0635737393051374,3.228953277039855,-2.8521346961259866
train,template_phase,14646,2.5092832834720653,2.023218125104904,2.759283283472058,-3.9906968836784387
train,of_1_9,14646,3.120098931884765,3.02430480241775,3.1914267656402555,-3.3383437576293957
train,of_2_10,14646,3.1541276664733884,3.0657527856349898,3.2241710077400176,-3.3692451896667492
train,of_3_11,14646,3.053691591644286,2.826556067466731,3.1786053633689835,-3.438073909759524
train,of_4_12,14646,3.0799258781433108,2.769614063013076,3.204430665493009,-3.522432533264162
train,of_5_13,14646,2.913847174072265,2.6574310265655505,3.0530483508224484,-2.9922682914733905
train,ml_ridge_residual,14646,2.055831598440381,1.9846267877410093,2.125290137591117,1.584701370639106
heldout,cfd20,1224,3.1884502039551736,3.114082473635672,3.30807221841812,-3.2236692969799066
heldout,template_phase,1224,2.5232181251049006,2.0232181251049006,2.759283283472062,-3.9906968836784387
heldout,of_1_9,1224,3.0530672073364196,3.0180082036514224,3.067999130916593,-3.4951373519897473
heldout,of_2_10,1224,3.071211092987055,3.04250437927246,3.1017790527343756,-3.492704120635988
heldout,of_3_11,1224,2.8544301033019983,2.77166128158569,2.945119312286373,-3.5391575965881366
heldout,of_4_12,1224,2.760614327392577,2.586591243743893,2.943967580795288,-3.5384401264190686
heldout,of_5_13,1224,2.693265431442259,2.48448474121094,2.81113862991333,-3.0328318061828625
heldout,ml_ridge_residual,1224,1.974360668523108,1.8252974977630778,2.0276205207622455,1.4374287283144938
heldout,ml_target_shuffle,1224,3.2780122118777077,3.2036528265605924,3.3704660371767226,-3.2775905297659396
