quantity,report_value,reproduced,delta,tolerance,pass,ci_low,ci_high
total selected B-stave pulses,640737.0,640737.0,0.0,0.0,True,,
p01d_sample6_cfd20_delta_sigma68_ns,-0.9299347512936595,-0.9299347512936595,0.0,0.02,True,-1.0763411161231984,-0.65790676486492
p01d_sample6_template_phase_delta_sigma68_ns,-0.26393484163283887,-0.26393484163283887,0.0,0.02,True,-0.5,0.23606515836715758
p01d_sample6_of_5_13_delta_sigma68_ns,-0.3602377548980691,-0.3602377548980691,0.0,0.02,True,-0.4955465043640137,-0.188863319091789
