pool,method,n_pairs,median_ns,robust_width_ns,full_rms_ns,within_abs_2ns,tail_fraction_abs_gt_5ns,robust_ci_low_ns,robust_ci_high_ns,core_sigma_ns,core_sigma_err_ns,core_mean_ns,chi2_ndf,cfd_fraction,amplitude_cut_adc
cfd0.40_cut1000,mlp,127,-0.07852130613173358,0.40987176435372596,0.9191789733823016,0.9133858267716536,0.0,0.33363272500630736,0.8775277885972844,0.34866767320876774,0.0339448783733855,-0.025741032950813474,34779471.09043095,0.4,1000.0
cfd0.40_cut800,gated_residual_cnn_new,142,0.24392179728802565,0.4192145525501295,0.7759870440646569,0.9577464788732394,0.0,0.36478056728564145,0.5527635110606087,0.36499357055228493,0.029628790871485698,-0.03179525035475886,181665.80266361547,0.4,800.0
cfd0.40_cut1000,gated_residual_cnn_new,127,0.10186299656409226,0.4435266202133909,0.5539038369708592,0.9921259842519685,0.0,0.3726454170244416,0.6036207224786937,0.4000496104220407,0.03576604733564642,-0.03753133732187768,117908.76982727023,0.4,1000.0
cfd0.40_cut1500,mlp,74,0.10891807837302209,0.5274407152541538,1.7987523042413565,0.8378378378378378,0.06756756756756757,0.3619403836185403,1.111376796410248,0.32276876571642865,0.04868523480759909,-0.028359340131873485,300360322.2882373,0.4,1500.0
cfd0.20_cut1000,gated_residual_cnn_new,127,0.5979810260096312,0.68230915616933,2.0526758723580034,0.889763779527559,0.06299212598425197,0.5134783878773141,1.5588906239065732,0.5864380940446517,0.055637969253893964,-0.1276066121262175,82.67236323375572,0.2,1000.0
cfd0.40_cut1500,gated_residual_cnn_new,74,-0.42343650064587735,0.6932887075234049,1.2303141666262896,0.9054054054054054,0.0,0.5952907877805111,1.1443616414932674,0.7162391766261424,0.12307326794843275,0.029681503003615366,1.1707377202533586,0.4,1500.0
cfd0.20_cut1500,mlp,74,0.06508207563503055,0.7062568252217756,1.4976996110412795,0.9054054054054054,0.02702702702702703,0.4453744539605991,0.993364388844236,0.8341540414775379,0.16930564219723943,0.04458207202723596,2.5752417064070094,0.2,1500.0
cfd0.40_cut800,mlp,142,-0.02293369879108792,0.7116604896817611,1.042972292680354,0.9225352112676056,0.0,0.44084001979143417,1.3063648811895967,0.4188003243849704,0.040807295966089084,0.07254116019142479,36592.77179535054,0.4,800.0
cfd0.40_cut1000,gradient_boosted_trees,127,0.07683813755270652,0.7415182966113791,1.114103412061745,0.905511811023622,0.0,0.47545539764233746,1.3543900397137647,1.0703254066010839,0.1775751631078869,0.005755446184355022,5.030306540543948,0.4,1000.0
cfd0.40_cut800,gradient_boosted_trees,142,-0.011101624961668222,0.7692831820555062,1.046506090051201,0.9154929577464789,0.0,0.34653506534855916,1.1521796524991514,0.41052332514645673,0.044183162924895984,0.13609501461460738,1323342.9247747841,0.4,800.0
cfd0.20_cut1500,gradient_boosted_trees,74,0.059327722090747326,0.7738166498133442,1.256972707814524,0.918918918918919,0.013513513513513514,0.6652932511330442,1.0411668083441274,1.1764244167139652,0.2659789300921475,-0.1588893258301942,2.311289988834615,0.2,1500.0
cfd0.40_cut1000,ridge,127,0.0027492007276412878,0.7987701430490042,1.2523488949557355,0.9133858267716536,0.007874015748031496,0.5975565292973408,1.0815422717622862,0.5966757201887972,0.06311810945320599,-0.03002859072581096,34.24326787911088,0.4,1000.0
cfd0.40_cut800,ridge,142,-0.07218954010289735,0.8306316263717983,1.2613422509973138,0.9225352112676056,0.007042253521126761,0.6426309357808015,1.0490152081707476,0.6265567332661828,0.0585408007941584,0.008716481550341803,14.298767616015724,0.4,800.0
