sample,events_total,events_with_selected,A1_A3_pairs,selected_pulses,A1,A3
sample_iii_calib,409803,11067,3816,14883,4111,10772
sample_iii_analysis,388848,7168,2514,9682,2799,6883
sample_iv_calib,35985,161,16,177,20,157
sample_iv_analysis,262189,767,127,894,167,727
