pool,comparison,ci_low_ns,ci_high_ns,p_value,cfd_fraction,amplitude_cut_adc
cfd0.10_cut800,ridge_minus_constrained_monotone_timewalk,-0.14255834370299686,0.6627188449083633,0.15666666666666668,0.1,800.0
cfd0.10_cut800,gradient_boosted_trees_minus_constrained_monotone_timewalk,-1.098957888884586,-0.23003948504588337,0.013333333333333334,0.1,800.0
cfd0.10_cut800,mlp_minus_constrained_monotone_timewalk,-0.20054228703033716,0.5298126049321238,0.28,0.1,800.0
cfd0.10_cut800,cnn_1d_minus_constrained_monotone_timewalk,0.09108063206874545,1.3091301814598655,0.006666666666666667,0.1,800.0
cfd0.10_cut800,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-0.8300736963575966,-0.5241770006265662,0.0,0.1,800.0
cfd0.10_cut1000,ridge_minus_constrained_monotone_timewalk,-0.1988784334980569,0.8905445980396209,0.16,0.1,1000.0
cfd0.10_cut1000,gradient_boosted_trees_minus_constrained_monotone_timewalk,-1.1120234981170707,0.24980306801457144,0.23666666666666666,0.1,1000.0
cfd0.10_cut1000,mlp_minus_constrained_monotone_timewalk,-0.29336364959370353,0.2224294557320835,0.8433333333333334,0.1,1000.0
cfd0.10_cut1000,cnn_1d_minus_constrained_monotone_timewalk,0.23194492493549826,2.163970412321095,0.0,0.1,1000.0
cfd0.10_cut1000,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-1.2032955563218406,0.8332389545751118,0.2733333333333333,0.1,1000.0
cfd0.10_cut1500,ridge_minus_constrained_monotone_timewalk,0.13608449553635804,1.4337422560336006,0.013333333333333334,0.1,1500.0
cfd0.10_cut1500,gradient_boosted_trees_minus_constrained_monotone_timewalk,-0.8589064348150901,0.5921939719093603,0.84,0.1,1500.0
cfd0.10_cut1500,mlp_minus_constrained_monotone_timewalk,-0.7850667784681269,0.5028892644485639,0.6333333333333333,0.1,1500.0
cfd0.10_cut1500,cnn_1d_minus_constrained_monotone_timewalk,-0.060989275929849235,0.6220296574821894,0.22333333333333333,0.1,1500.0
cfd0.10_cut1500,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-0.9256120351050998,0.07136397045754077,0.10666666666666667,0.1,1500.0
cfd0.20_cut800,ridge_minus_constrained_monotone_timewalk,-0.13721425629151926,1.020739417602893,0.3433333333333333,0.2,800.0
