consumer,method,variant,kind,primary_metric,primary_value,ci_low,ci_high,n_rows,rmse,roc_auc,average_precision,brier,ece
charge,gradient_boosted_trees,score_residualized,regression,res68,0.014560138090884857,0.013616067057449685,0.01566525390840337,11460,0.13045875105885976,,,,
charge,gradient_boosted_trees,no_score,regression,res68,0.014611625854240454,0.013831731348579871,0.015517965983861633,11460,0.13495763205998598,,,,
charge,gradient_boosted_trees,shuffled_score_control,regression,res68,0.014935836887440856,0.014053932279561265,0.016038555068901582,11460,0.13125490355437433,,,,
charge,gradient_boosted_trees,plus_score,regression,res68,0.01502551066467799,0.013693640718181091,0.016414474875890626,11460,0.13250203712193864,,,,
charge,extra_trees,score_residualized,regression,res68,0.03580949638207436,0.03265005943177121,0.03811598776410728,11460,0.18921525457700616,,,,
charge,extra_trees,plus_score,regression,res68,0.036528077135223866,0.03302877287254625,0.04108124379465505,11460,0.18652464953522974,,,,
charge,extra_trees,no_score,regression,res68,0.03663036944214834,0.03209552645026989,0.04066985029650631,11460,0.1892221827393773,,,,
charge,extra_trees,shuffled_score_control,regression,res68,0.03771365196852516,0.034503381281445214,0.040921019060991666,11460,0.18633196919322179,,,,
charge,ridge,score_residualized,regression,res68,0.11112322697928442,0.10686112039405432,0.11534182439496465,11460,0.39428593193229555,,,,
charge,ridge,no_score,regression,res68,0.11136960524522335,0.1039462964921187,0.1159426882298506,11460,0.40798578986687717,,,,
charge,ridge,shuffled_score_control,regression,res68,0.11138994420714636,0.10379575307163312,0.11597813623002123,11460,0.4080084992104836,,,,
charge,ridge,plus_score,regression,res68,0.11178521960943773,0.10788281960015311,0.11629797129065142,11460,0.3942830945830444,,,,
charge,traditional,plus_score,regression,res68,0.1908945803067209,0.17930708387294422,0.19986894179137601,11460,0.4588212253466564,,,,
charge,traditional,score_residualized,regression,res68,0.1924107001019054,0.18267977034037722,0.20263056797771345,11460,0.445902970067218,,,,
charge,traditional,shuffled_score_control,regression,res68,0.2271983117708173,0.21002653571758761,0.2421027072272821,11460,0.489123910835603,,,,
charge,traditional,no_score,regression,res68,0.22752550593386536,0.2064061082292036,0.24293388820773537,11460,0.4891847742603733,,,,
energy,extra_trees,plus_score,regression,res68,0.12542194280019872,0.12048200159450814,0.13124760636595667,11460,0.13308821596911175,,,,
energy,extra_trees,shuffled_score_control,regression,res68,0.12565427176750457,0.11976117622834866,0.1325410537395056,11460,0.13321775949203057,,,,
energy,gradient_boosted_trees,plus_score,regression,res68,0.12581066381486686,0.12023634231588397,0.1323470821300015,11460,0.13323176575819837,,,,
energy,gradient_boosted_trees,no_score,regression,res68,0.12583700821932753,0.11965921879902253,0.1324569102775138,11460,0.13324173166459355,,,,
energy,extra_trees,no_score,regression,res68,0.12617620758951456,0.1202092849155717,0.13165303645652668,11460,0.1332556274342032,,,,
energy,gradient_boosted_trees,score_residualized,regression,res68,0.12618842298274854,0.11974675549562348,0.13300934804812364,11460,0.13334403068212597,,,,
energy,extra_trees,score_residualized,regression,res68,0.1263464916754906,0.12089405464158354,0.13150917829699352,11460,0.13328843870641627,,,,
energy,gradient_boosted_trees,shuffled_score_control,regression,res68,0.1266863641676656,0.12038481284252354,0.1338469211438879,11460,0.13340743522023052,,,,
energy,ridge,shuffled_score_control,regression,res68,0.12987985712765238,0.12365150681972428,0.13687362390550614,11460,0.13699772424262324,,,,
energy,ridge,score_residualized,regression,res68,0.13001103227627,0.12383535952738732,0.13686250046463788,11460,0.13701281474607305,,,,
energy,ridge,no_score,regression,res68,0.13003106567231504,0.12392966340784567,0.13675293955306703,11460,0.13699997049924142,,,,
energy,ridge,plus_score,regression,res68,0.13009094365966317,0.12360107190031795,0.13585131340644377,11460,0.1370132854997735,,,,
energy,traditional,plus_score,regression,res68,0.14941748246105369,0.1429561091404211,0.1562514610570455,11460,0.15385264973812504,,,,
energy,traditional,shuffled_score_control,regression,res68,0.15091606262694648,0.14291051978259514,0.15840037815015748,11460,0.15575157157738911,,,,
energy,traditional,no_score,regression,res68,0.15099603805925235,0.14307964840820536,0.15833241971735562,11460,0.15575123273455255,,,,
energy,traditional,score_residualized,regression,res68,0.15101316057575911,0.1435289330801848,0.15826652374147418,11460,0.1557135250223323,,,,
pid,traditional,no_score,classification,roc_auc,0.8390636221594802,0.8197265529410206,0.856107656387702,11460,,0.8390636221594802,0.7429962433048907,0.15697879532665024,0.11852373967943677
pid,traditional,shuffled_score_control,classification,roc_auc,0.8390763685205996,0.8236924650147615,0.8599155511223212,11460,,0.8390763685205996,0.7428792688002335,0.15698010472173948,0.11865643592722565
pid,traditional,score_residualized,classification,roc_auc,0.8404002768564458,0.825965373815265,0.857501502091924,11460,,0.8404002768564458,0.7485536439414483,0.15614484200221185,0.11843995974263967
pid,traditional,plus_score,classification,roc_auc,0.8735323867218552,0.8344505283033717,0.9206394938012907,11460,,0.8735323867218552,0.7894722068567822,0.13983618470251058,0.10418962621473397
pid,extra_trees,no_score,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,0.0027250494758735205,0.04543225962900541
pid,extra_trees,plus_score,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,0.0023403004310101295,0.04099076887852059
pid,extra_trees,score_residualized,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,0.001991014686051913,0.037228591695331395
pid,extra_trees,shuffled_score_control,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,0.0021630131671234423,0.0387711028968059
pid,gradient_boosted_trees,no_score,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,9.654783730831826e-06,0.0029381126697451323
pid,gradient_boosted_trees,plus_score,classification,roc_auc,1.0,0.9999999999999999,1.0,11460,,1.0,1.0,9.654783730831826e-06,0.0029381126697451323
pid,gradient_boosted_trees,score_residualized,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,9.654783730831826e-06,0.0029381126697451323
pid,gradient_boosted_trees,shuffled_score_control,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,9.654783730831826e-06,0.0029381126697451323
pid,ridge,no_score,classification,roc_auc,1.0,0.9999999999999999,1.0,11460,,1.0,1.0,3.681547562949923e-07,0.0004844790731210655
pid,ridge,plus_score,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,3.5884966189015656e-07,0.0004776173163906496
pid,ridge,score_residualized,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,3.7405917806677165e-07,0.00048366221621188194
pid,ridge,shuffled_score_control,classification,roc_auc,1.0,1.0,1.0,11460,,1.0,1.0,3.6869967740636983e-07,0.00048461079803756654
pileup,traditional,score_residualized,classification,roc_auc,0.6550686594104503,0.6275514086530424,0.6790598706229801,11460,,0.6550686594104503,0.1582638533002294,0.23228470977594287,0.36669592377094246
pileup,traditional,shuffled_score_control,classification,roc_auc,0.6609234715471399,0.6312523734194587,0.6929388087567286,11460,,0.6609234715471399,0.1554943175531454,0.2315336867361435,0.36657483754934383
pileup,traditional,no_score,classification,roc_auc,0.6611975182250862,0.6291737445059161,0.6898066249158321,11460,,0.6611975182250862,0.15527592145093072,0.23160425267526852,0.3666975179114429
pileup,traditional,plus_score,classification,roc_auc,0.6679912967762409,0.6528492383682207,0.6941633435601303,11460,,0.6679912967762409,0.16403236765705806,0.23003428147078708,0.363411119433854
pileup,ridge,score_residualized,classification,roc_auc,0.8493404262659862,0.8301699846215178,0.8691001311631352,11460,,0.8493404262659862,0.3094062249653598,0.15558933132529112,0.22754388119538854
pileup,ridge,plus_score,classification,roc_auc,0.8494343656071335,0.8302637661241647,0.8690769321525171,11460,,0.8494343656071335,0.30942691571861647,0.1555829675529265,0.2275099463029681
pileup,ridge,no_score,classification,roc_auc,0.8497928722927109,0.8318193367922417,0.8692751593448035,11460,,0.8497928722927109,0.3121217900922574,0.15539231137298062,0.22769569296319436
pileup,ridge,shuffled_score_control,classification,roc_auc,0.8499687096594579,0.8319549239025802,0.8680835975187798,11460,,0.8499687096594579,0.3127784254010603,0.15535533524381198,0.22768162028313096
pileup,extra_trees,plus_score,classification,roc_auc,0.8699830413869409,0.8496935325821081,0.8943254631111281,11460,,0.8699830413869409,0.34988093353879884,0.15232878213656253,0.23851254620366702
