heldout_run,consumer,method,variant,train_rows,epochs,target_center,target_scale
59,timing,score_gated_cnn,plus_score,,5.0,1.0401610921761204,3.649846933176144
59,timing,score_gated_cnn,score_residualized,,5.0,1.0401610921761204,3.649846933176144
59,timing,score_gated_cnn,shuffled_score_control,,5.0,1.0401610921761204,3.649846933176144
59,charge,traditional,no_score,9171.0,,,
59,charge,traditional,plus_score,9171.0,,,
59,charge,traditional,score_residualized,9171.0,,,
59,charge,traditional,shuffled_score_control,9171.0,,,
59,charge,ridge,no_score,9171.0,,,
59,charge,ridge,plus_score,9171.0,,,
59,charge,ridge,score_residualized,9171.0,,,
59,charge,ridge,shuffled_score_control,9171.0,,,
59,charge,gradient_boosted_trees,no_score,9171.0,,,
59,charge,gradient_boosted_trees,plus_score,9171.0,,,
59,charge,gradient_boosted_trees,score_residualized,9171.0,,,
59,charge,gradient_boosted_trees,shuffled_score_control,9171.0,,,
59,charge,extra_trees,no_score,9171.0,,,
59,charge,extra_trees,plus_score,9171.0,,,
59,charge,extra_trees,score_residualized,9171.0,,,
59,charge,extra_trees,shuffled_score_control,9171.0,,,
59,pileup,traditional,no_score,9171.0,,,
59,pileup,traditional,plus_score,9171.0,,,
59,pileup,traditional,score_residualized,9171.0,,,
59,pileup,traditional,shuffled_score_control,9171.0,,,
59,pileup,ridge,no_score,9171.0,,,
59,pileup,ridge,plus_score,9171.0,,,
59,pileup,ridge,score_residualized,9171.0,,,
59,pileup,ridge,shuffled_score_control,9171.0,,,
59,pileup,gradient_boosted_trees,no_score,9171.0,,,
59,pileup,gradient_boosted_trees,plus_score,9171.0,,,
59,pileup,gradient_boosted_trees,score_residualized,9171.0,,,
59,pileup,gradient_boosted_trees,shuffled_score_control,9171.0,,,
59,pileup,extra_trees,no_score,9171.0,,,
59,pileup,extra_trees,plus_score,9171.0,,,
59,pileup,extra_trees,score_residualized,9171.0,,,
59,pileup,extra_trees,shuffled_score_control,9171.0,,,
59,pid,traditional,no_score,9171.0,,,
59,pid,traditional,plus_score,9171.0,,,
59,pid,traditional,score_residualized,9171.0,,,
59,pid,traditional,shuffled_score_control,9171.0,,,
59,pid,ridge,no_score,9171.0,,,
59,pid,ridge,plus_score,9171.0,,,
59,pid,ridge,score_residualized,9171.0,,,
59,pid,ridge,shuffled_score_control,9171.0,,,
59,pid,gradient_boosted_trees,no_score,9171.0,,,
59,pid,gradient_boosted_trees,plus_score,9171.0,,,
59,pid,gradient_boosted_trees,score_residualized,9171.0,,,
59,pid,gradient_boosted_trees,shuffled_score_control,9171.0,,,
59,pid,extra_trees,no_score,9171.0,,,
59,pid,extra_trees,plus_score,9171.0,,,
59,pid,extra_trees,score_residualized,9171.0,,,
59,pid,extra_trees,shuffled_score_control,9171.0,,,
59,energy,traditional,no_score,9171.0,,,
59,energy,traditional,plus_score,9171.0,,,
59,energy,traditional,score_residualized,9171.0,,,
59,energy,traditional,shuffled_score_control,9171.0,,,
59,energy,ridge,no_score,9171.0,,,
59,energy,ridge,plus_score,9171.0,,,
59,energy,ridge,score_residualized,9171.0,,,
59,energy,ridge,shuffled_score_control,9171.0,,,
59,energy,gradient_boosted_trees,no_score,9171.0,,,
59,energy,gradient_boosted_trees,plus_score,9171.0,,,
59,energy,gradient_boosted_trees,score_residualized,9171.0,,,
59,energy,gradient_boosted_trees,shuffled_score_control,9171.0,,,
59,energy,extra_trees,no_score,9171.0,,,
59,energy,extra_trees,plus_score,9171.0,,,
59,energy,extra_trees,score_residualized,9171.0,,,
59,energy,extra_trees,shuffled_score_control,9171.0,,,
60,timing,traditional,no_score,9036.0,,,
60,timing,traditional,plus_score,9036.0,,,
60,timing,traditional,score_residualized,9036.0,,,
60,timing,traditional,shuffled_score_control,9036.0,,,
60,timing,ridge,no_score,9036.0,,,
60,timing,ridge,plus_score,9036.0,,,
60,timing,ridge,score_residualized,9036.0,,,
60,timing,ridge,shuffled_score_control,9036.0,,,
60,timing,gradient_boosted_trees,no_score,9036.0,,,
60,timing,gradient_boosted_trees,plus_score,9036.0,,,
60,timing,gradient_boosted_trees,score_residualized,9036.0,,,
60,timing,gradient_boosted_trees,shuffled_score_control,9036.0,,,
60,timing,extra_trees,no_score,9036.0,,,
60,timing,extra_trees,plus_score,9036.0,,,
60,timing,extra_trees,score_residualized,9036.0,,,
60,timing,extra_trees,shuffled_score_control,9036.0,,,
