heldout_run,consumer,control,metric,value
58,timing,run_only,sigma68,3.778385870488111
58,timing,amplitude_only,sigma68,3.6639480594879643
58,timing,topology_only,sigma68,1.3732026122855303
58,charge,run_only,res68,0.5612047831092926
58,charge,amplitude_only,res68,0.36175744058745346
58,charge,topology_only,res68,0.5579275066907392
58,pileup,run_only,roc_auc,0.5
58,pileup,amplitude_only,roc_auc,0.5299467613132209
58,pileup,topology_only,roc_auc,0.823868677905945
58,pid,run_only,roc_auc,0.5
58,pid,amplitude_only,roc_auc,0.790251454306624
58,pid,topology_only,roc_auc,1.0
58,energy,run_only,res68,0.2049196771312456
58,energy,amplitude_only,res68,0.15453706000950007
58,energy,topology_only,res68,0.2049196771312456
59,timing,run_only,sigma68,3.7511054432063773
59,timing,amplitude_only,sigma68,3.69261729067387
59,timing,topology_only,sigma68,1.4143906150155732
59,charge,run_only,res68,0.4423175345378832
59,charge,amplitude_only,res68,0.31304579646444
59,charge,topology_only,res68,0.37368965839660606
59,pileup,run_only,roc_auc,0.5
59,pileup,amplitude_only,roc_auc,0.5378286270691333
59,pileup,topology_only,roc_auc,0.7955955167913153
59,pid,run_only,roc_auc,0.5
59,pid,amplitude_only,roc_auc,0.8395633398549219
59,pid,topology_only,roc_auc,1.0
59,energy,run_only,res68,0.2041846484467893
59,energy,amplitude_only,res68,0.16303026897261896
59,energy,topology_only,res68,0.2041846484467893
60,timing,run_only,sigma68,3.7081619247570954
60,timing,amplitude_only,sigma68,3.700308293207322
60,timing,topology_only,sigma68,1.479474076324042
60,charge,run_only,res68,0.43867807939817743
60,charge,amplitude_only,res68,0.2137707734457449
60,charge,topology_only,res68,0.36643433802388803
60,pileup,run_only,roc_auc,0.5
60,pileup,amplitude_only,roc_auc,0.5449870085249844
60,pileup,topology_only,roc_auc,0.7935142834646797
60,pid,run_only,roc_auc,0.5
60,pid,amplitude_only,roc_auc,0.8005273686403294
60,pid,topology_only,roc_auc,1.0
60,energy,run_only,res68,0.18361970693059249
60,energy,amplitude_only,res68,0.1453304760209116
60,energy,topology_only,res68,0.18361970693059249
61,timing,run_only,sigma68,3.3549894928019612
61,timing,amplitude_only,sigma68,3.3375883977175107
61,timing,topology_only,sigma68,1.519309049897208
61,charge,run_only,res68,0.43195902523153135
61,charge,amplitude_only,res68,0.23932142418118996
61,charge,topology_only,res68,0.36798593065404916
61,pileup,run_only,roc_auc,0.5
61,pileup,amplitude_only,roc_auc,0.5813561074463905
61,pileup,topology_only,roc_auc,0.7488823176657913
61,pid,run_only,roc_auc,0.5
61,pid,amplitude_only,roc_auc,0.8311072856750632
61,pid,topology_only,roc_auc,1.0
61,energy,run_only,res68,0.19138528593787463
61,energy,amplitude_only,res68,0.15147134318003944
61,energy,topology_only,res68,0.19138528593787463
62,timing,run_only,sigma68,3.7128138675599294
62,timing,amplitude_only,sigma68,3.7130669368698372
62,timing,topology_only,sigma68,1.5014455377343565
62,charge,run_only,res68,0.44186684239475477
62,charge,amplitude_only,res68,0.2558229211408065
62,charge,topology_only,res68,0.36240392673674793
62,pileup,run_only,roc_auc,0.5
62,pileup,amplitude_only,roc_auc,0.56846918446169
62,pileup,topology_only,roc_auc,0.8105252558671433
62,pid,run_only,roc_auc,0.5
62,pid,amplitude_only,roc_auc,0.8365959103200158
62,pid,topology_only,roc_auc,1.0
62,energy,run_only,res68,0.1876333157873873
62,energy,amplitude_only,res68,0.1505482865496003
62,energy,topology_only,res68,0.1876333157873873
63,timing,run_only,sigma68,3.9950802071830713
63,timing,amplitude_only,sigma68,4.014958734383658
63,timing,topology_only,sigma68,1.553751775358481
63,charge,run_only,res68,0.48358942301042046
63,charge,amplitude_only,res68,0.33703391708598157
63,charge,topology_only,res68,0.3834881237110169
63,pileup,run_only,roc_auc,0.5
63,pileup,amplitude_only,roc_auc,0.5922033041708499
63,pileup,topology_only,roc_auc,0.8310317509100471
63,pid,run_only,roc_auc,0.5
63,pid,amplitude_only,roc_auc,0.8525073046018992
63,pid,topology_only,roc_auc,1.0
63,energy,run_only,res68,0.19502417689995877
63,energy,amplitude_only,res68,0.1640713165316641
63,energy,topology_only,res68,0.19502417689995877
65,timing,run_only,sigma68,3.987931325887595
65,timing,amplitude_only,sigma68,4.070266938553633
65,timing,topology_only,sigma68,1.4128484762863658
65,charge,run_only,res68,0.5062874230206176
65,charge,amplitude_only,res68,0.4219033902580075
65,charge,topology_only,res68,0.415780730267459
65,pileup,run_only,roc_auc,0.5
65,pileup,amplitude_only,roc_auc,0.7363975155279503
65,pileup,topology_only,roc_auc,0.8771428571428571
65,pid,run_only,roc_auc,0.5
65,pid,amplitude_only,roc_auc,0.785238751147842
65,pid,topology_only,roc_auc,1.0
65,energy,run_only,res68,0.18328063859639787
65,energy,amplitude_only,res68,0.17146929131292796
65,energy,topology_only,res68,0.18328063859639787
