dimension,stratum,policy,method,method_label,accepted_fraction,n,n_events,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,coverage68_error,coverage95_error,calibration_loss,mean_sigma_hat_ns,calibration_loss_ci_low,coverage68_ci_low,coverage95_ci_low,pull_width68_ci_low,sigma68_ns_ci_low,tail_frac_abs_gt5ns_ci_low,calibration_loss_ci_high,coverage68_ci_high,coverage95_ci_high,pull_width68_ci_high,sigma68_ns_ci_high,tail_frac_abs_gt5ns_ci_high
charge_bin,"charge[1000,4000)",charge_bin_conformal68_budget0.00,cnn1d,1D-CNN residual scale model,,60,31,7,1.2648210890297278,1.7800222604502192,0.0,0.6886825579284083,0.65,0.9666666666666667,0.03268949213700001,0.01666666666666672,0.12022453362508616,1.9205427387558296,,,,,,,,,,,,
charge_bin,"charge[14000,24000)",charge_bin_conformal68_budget0.00,cnn1d,1D-CNN residual scale model,,5990,3189,7,1.559161926374658,2.624001446587978,0.014691151919866445,0.8042342173345942,0.6774624373956595,0.968948247078464,0.005227054741340553,0.018948247078464098,0.07331369482840348,2.0032423068150655,,,,,,,,,,,,
charge_bin,"charge[24000,40000)",charge_bin_conformal68_budget0.00,cnn1d,1D-CNN residual scale model,,3624,1871,7,1.5424867664452473,2.711022842899054,0.02262693156732892,0.9399279809933367,0.673289183222958,0.9558498896247241,0.009400308914041977,0.005849889624724103,0.025107405848476445,1.8396954597420907,,,,,,,,,,,,
charge_bin,"charge[4000,8000)",charge_bin_conformal68_budget0.00,cnn1d,1D-CNN residual scale model,,285,175,7,1.2359075277002205,3.605658844050164,0.014035087719298246,0.7388405548184466,0.6456140350877193,0.9578947368421052,0.037075457049280724,0.007894736842105288,0.10204321302431314,3.3744830703127087,,,,,,,,,,,,
charge_bin,"charge[40000,80000)",charge_bin_conformal68_budget0.00,cnn1d,1D-CNN residual scale model,,30,23,6,4.8510187365713175,9.09906819158307,0.3,1.7308951235774206,0.5333333333333333,0.7,0.1493561588036667,0.25,0.3767504274603624,3.002106965370041,,,,,,,,,,,,
charge_bin,"charge[8000,14000)",charge_bin_conformal68_budget0.00,cnn1d,1D-CNN residual scale model,,1471,1032,7,1.3460997850676715,2.65385167669848,0.014276002719238613,0.6708362885266832,0.681169272603671,0.9802855200543847,0.001520219533329037,0.030285520054384785,0.12032315035367687,2.058464596673101,,,,,,,,,,,,
charge_bin,"charge[1000,4000)",charge_bin_conformal68_budget0.00,gradient_boosted_trees,HistGradientBoosting residual scale model,,60,31,7,1.824404528512562,2.8590714082703643,0.05,0.5271702299118999,0.6666666666666666,0.9666666666666667,0.0160228254703334,0.01666666666666672,0.16850642074170008,2.924614937468742,,,,,,,,,,,,
charge_bin,"charge[14000,24000)",charge_bin_conformal68_budget0.00,gradient_boosted_trees,HistGradientBoosting residual scale model,,5990,3189,7,1.5148987230850472,2.574164652589861,0.016193656093489148,0.7735067523824917,0.6826377295492487,0.9370617696160267,5.1762587751302824e-05,0.012938230383973237,0.07982774686307763,2.069607516660267,,,,,,,,,,,,
charge_bin,"charge[24000,40000)",charge_bin_conformal68_budget0.00,gradient_boosted_trees,HistGradientBoosting residual scale model,,3624,1871,7,1.6379130992906146,2.5124387761539824,0.02924944812362031,0.9420925700404537,0.6801876379690949,0.9257726269315674,0.00250185416790516,0.02422737306843259,0.028212219065294697,1.945746012261321,,,,,,,,,,,,
charge_bin,"charge[4000,8000)",charge_bin_conformal68_budget0.00,gradient_boosted_trees,HistGradientBoosting residual scale model,,285,175,7,1.2021436401034302,3.7168670140727182,0.031578947368421054,0.4384120834865927,0.6736842105263158,0.9543859649122807,0.009005281610684257,0.004385964912280715,0.19165972101212406,2.466210389234578,,,,,,,,,,,,
charge_bin,"charge[40000,80000)",charge_bin_conformal68_budget0.00,gradient_boosted_trees,HistGradientBoosting residual scale model,,30,23,6,4.56458454410279,7.8930998258779725,0.3,1.4486794724029006,0.5333333333333333,0.7666666666666667,0.1493561588036667,0.18333333333333324,0.26045632151330017,4.328512831118951,,,,,,,,,,,,
charge_bin,"charge[8000,14000)",charge_bin_conformal68_budget0.00,gradient_boosted_trees,HistGradientBoosting residual scale model,,1471,1032,7,1.354356399663522,2.7170096579372993,0.012236573759347382,0.595695685802662,0.6770904146838885,0.9428959891230455,0.005599077453111501,0.0071040108769544474,0.13900246750913467,2.07214181055661,,,,,,,,,,,,
charge_bin,"charge[1000,4000)",charge_bin_conformal68_budget0.00,mlp,MLP residual scale model,,60,31,7,1.2400140871952223,2.3038392053346364,0.0,0.4569192943544216,0.6666666666666666,0.95,0.0160228254703334,0.0,0.18636784370530393,2.711274429549104,,,,,,,,,,,,
charge_bin,"charge[14000,24000)",charge_bin_conformal68_budget0.00,mlp,MLP residual scale model,,5990,3189,7,1.6034145007689193,2.5805990085983073,0.016360601001669448,0.7503755966271954,0.6792988313856427,0.9512520868113522,0.0033906607513572995,0.0012520868113522488,0.0847557169785047,2.206298338938196,,,,,,,,,,,,
charge_bin,"charge[24000,40000)",charge_bin_conformal68_budget0.00,mlp,MLP residual scale model,,3624,1871,7,1.6935088799812412,2.642070657361369,0.02869757174392936,0.9295432181327694,0.6777041942604857,0.9390176600441501,0.004985297876514361,0.010982339955849851,0.028808139899864933,1.9904587157487332,,,,,,,,,,,,
charge_bin,"charge[4000,8000)",charge_bin_conformal68_budget0.00,mlp,MLP residual scale model,,285,175,7,1.3215496028733151,3.738529116678969,0.028070175438596492,0.45693566345243325,0.6736842105263158,0.9614035087719298,0.009005281610684257,0.01140350877192986,0.1878243756433936,3.1033115962179996,,,,,,,,,,,,
