charge_bin,n_cal,scale,fallback,heldout_run,method,alpha,abstention_budget,global_scale,abstention_cutoff,policy
"charge[1000,4000)",53,10.66142377269606,False,58,traditional,0.317310507863,0.0,2.2977077315558723,inf,charge_bin_conformal68_budget0.00
"charge[14000,24000)",5888,1.958351847519124,False,58,traditional,0.317310507863,0.0,2.2977077315558723,inf,charge_bin_conformal68_budget0.00
"charge[24000,40000)",3571,2.0436698891234735,False,58,traditional,0.317310507863,0.0,2.2977077315558723,inf,charge_bin_conformal68_budget0.00
"charge[4000,8000)",267,11.68109099794659,False,58,traditional,0.317310507863,0.0,2.2977077315558723,inf,charge_bin_conformal68_budget0.00
"charge[40000,80000)",29,2.2977077315558723,True,58,traditional,0.317310507863,0.0,2.2977077315558723,inf,charge_bin_conformal68_budget0.00
"charge[8000,14000)",1433,6.5733713103996925,False,58,traditional,0.317310507863,0.0,2.2977077315558723,inf,charge_bin_conformal68_budget0.00
"charge[1000,4000)",52,11.771288988049909,False,59,traditional,0.317310507863,0.0,2.428144663799447,inf,charge_bin_conformal68_budget0.00
"charge[14000,24000)",4649,2.0931956243083882,False,59,traditional,0.317310507863,0.0,2.428144663799447,inf,charge_bin_conformal68_budget0.00
"charge[24000,40000)",3105,2.0644585266535285,False,59,traditional,0.317310507863,0.0,2.428144663799447,inf,charge_bin_conformal68_budget0.00
"charge[4000,8000)",251,11.666626154356075,False,59,traditional,0.317310507863,0.0,2.428144663799447,inf,charge_bin_conformal68_budget0.00
"charge[40000,80000)",27,2.428144663799447,True,59,traditional,0.317310507863,0.0,2.428144663799447,inf,charge_bin_conformal68_budget0.00
"charge[8000,14000)",1087,7.370782513552411,False,59,traditional,0.317310507863,0.0,2.428144663799447,inf,charge_bin_conformal68_budget0.00
"charge[1000,4000)",42,12.105405890024224,False,60,traditional,0.317310507863,0.0,2.3706652599792855,inf,charge_bin_conformal68_budget0.00
"charge[14000,24000)",4871,2.042873364833431,False,60,traditional,0.317310507863,0.0,2.3706652599792855,inf,charge_bin_conformal68_budget0.00
"charge[24000,40000)",2602,2.057658084287547,False,60,traditional,0.317310507863,0.0,2.3706652599792855,inf,charge_bin_conformal68_budget0.00
