dimension,stratum,policy,method,method_label,accepted_fraction,n,n_events,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,coverage68_error,coverage95_error,calibration_loss,mean_sigma_hat_ns,calibration_loss_ci_low,coverage68_ci_low,coverage95_ci_low,pull_width68_ci_low,sigma68_ns_ci_low,tail_frac_abs_gt5ns_ci_low,calibration_loss_ci_high,coverage68_ci_high,coverage95_ci_high,pull_width68_ci_high,sigma68_ns_ci_high,tail_frac_abs_gt5ns_ci_high,score
all,all,charge_bin_conformal68_budget0.05,cnn1d,1D-CNN residual scale model,0.949825479930192,10885,3815,7,1.4240405052322538,1.8181377416995572,0.0,0.8493425749177855,0.6847037207165825,0.9699586587046394,0.0020142285795824444,0.01995865870463942,0.057543437455478776,1.759822804003737,0.048478033209255034,0.593516238036488,0.9587162465818178,0.7599607939402114,1.340836633299382,0.0,0.12334458947515692,0.7844750073348116,0.9813267353020837,0.9472671995184919,1.5516864934252574,0.0,0.2302198611234318
all,all,charge_bin_conformal68_budget0.00,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,1.0,11460,3820,7,1.503985568351275,2.70563256429194,0.015270506108202443,0.8569076168422487,0.6790575916230367,0.9688481675392671,0.0036319005139633376,0.018848167539267102,0.05519081707032725,1.9780555961703465,0.04202634997318417,0.6164642404631564,0.9638735102888324,0.7837221665806119,1.3659010281496757,0.009557646049836848,0.10136563649663945,0.7494357759284944,0.9743402150105321,0.9168687087652474,1.6501041595986772,0.020972173278803737,0.23023213707485618
all,all,charge_bin_conformal68_budget0.05,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.949825479930192,10885,3816,7,1.4256278307322476,1.7910734615430661,0.0,0.856941425871611,0.6937988056959118,0.9747358750574184,0.01110931355891176,0.024735875057418477,0.05963458758157306,1.7852121774813172,0.04189285728858655,0.6202171645629904,0.9677961307840254,0.7893919223693662,1.3283816051438277,0.0,0.10034831012493481,0.7591892182229231,0.9816665044525298,0.9148579548460225,1.5670770045555242,0.0,0.2412705278544937
all,all,charge_bin_conformal68_budget0.00,cnn1d,1D-CNN residual scale model,1.0,11460,3820,7,1.510096991761467,2.717306532407912,0.01780104712041885,0.8458123233213706,0.675305410122164,0.9652705061082024,0.00738408201483598,0.015270506108202464,0.05894742160055596,1.9948955177974945,0.05179554394359692,0.5616969279480128,0.9506812344597145,0.7535640463098036,1.3837249245548449,0.01228069880049409,0.11977095272909381,0.7723937032835567,0.9771681251935739,0.9660709189667845,1.7020422500374135,0.025251017217625276,0.24551591227112687
all,all,charge_bin_conformal68_budget0.00,mlp,MLP residual scale model,1.0,11460,3820,7,1.6447738012513375,2.7362841162134233,0.02155322862129145,0.8128008865039251,0.6781849912739966,0.9457242582897033,0.004504500863003469,0.004275741710296654,0.065326452023125,2.1940575365837223,0.05905039901550872,0.6077095361761,0.9299006513902814,0.7131295849622378,1.533618885256722,0.01385582423528852,0.1216618401349588,0.7520488043190249,0.9633942449763593,0.9082399048531501,1.7724499524938524,0.02919534039581433,0.26491478364354604
all,all,charge_bin_conformal68_budget0.10,cnn1d,1D-CNN residual scale model,0.899912739965096,10313,3811,7,1.3683010030122367,1.683615026781564,0.0,0.8593206896532997,0.6924270338407835,0.9704256763308445,0.009737541703783492,0.020425676330844578,0.0569475094604428,1.6672785481382428,0.04117323019256743,0.582125558666369,0.9577092910345383,0.7552956688324134,1.2683770517140744,0.0,0.1263160732499796,0.7917908525517118,0.9815450274578105,0.9791488561367216,1.500926761124345,0.0,0.26633364973835094
all,all,charge_bin_conformal68_budget0.00,gradient_boosted_trees,HistGradientBoosting residual scale model,1.0,11460,3820,7,1.5542951071875146,2.6375518802353723,0.02111692844677138,0.8171216356508192,0.6804537521815008,0.9343804537521815,0.002235739955499194,0.015619546247818472,0.06691121685083283,2.05101705224017,0.05326602206609768,0.5822346895137817,0.8909786531695885,0.6646104472825334,1.412325663270367,0.012426927102323305,0.14914809226448503,0.7816147112634059,0.9685434599564205,0.9926101574057022,1.750048091588146,0.02966078884309442,0.2797039821406311
all,all,charge_bin_conformal68_budget0.10,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.899912739965096,10313,3813,7,1.3692626153360061,1.6662142215696056,0.0,0.8637334198907166,0.7037719383302627,0.9747891011344905,0.021082446193262716,0.02478910113449051,0.06071270914567887,1.703052102923086,0.040988225663339456,0.6440529859197329,0.9690203544478465,0.7925192562762696,1.2813047086162326,0.0,0.10240971917656089,0.7626033194212227,0.9815029200370858,0.9192453428697386,1.4731678793114824,0.0,0.2819926735977051
all,all,charge_bin_conformal68_budget0.05,gradient_boosted_trees,HistGradientBoosting residual scale model,0.949825479930192,10885,3812,7,1.4561312382545804,1.8830528304895837,0.0,0.7685009559744945,0.7122645842903078,0.951676619200735,0.02957509215330778,0.00167661920073503,0.0875835851265161,1.9582835931681428,0.04944402820048538,0.6006970774657986,0.9132461648881606,0.6480910306872362,1.3330900638909426,0.0,0.16712109159617677,0.809056454652081,0.977930656856001,0.966856538580797,1.647126528193717,0.0,0.30205826463263935
all,all,charge_bin_conformal68_budget0.05,mlp,MLP residual scale model,0.949825479930192,10885,3813,7,1.5578522168756037,1.8916830579434436,0.0,0.7763559241832864,0.709232889297198,0.9630684428112081,0.026543397160197935,0.013068442811208114,0.08775197192937323,2.104609687179281,0.059336265147652105,0.6376085450478867,0.9527946284316178,0.6828943210948488,1.464075142829955,0.0,0.1458137376171492,0.7877079609422104,0.9747460914685503,0.8673288137835156,1.6673065707620276,0.0,0.31395524865168384
