heldout_family,train_runs,heldout_runs,train_rows,heldout_rows,train_class_counts,heldout_class_counts,traditional_value,ml_value,ml_minus_traditional,traditional_shuffle_p95,ml_shuffle_p95,accepted_ml_gain,pca_reconstruction_mse,ae_reconstruction_mse,ae_final_training_loss,ae_device
sample_i_calib,"[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65]","[31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42]",39867,18190,"{'B2': 15375, 'B4': 11548, 'B6': 7902, 'B8': 5042}","{'B2': 7700, 'B4': 6374, 'B6': 2940, 'B8': 1176}",0.2563243461231941,0.29455975632686826,0.03823541020367416,0.2815437486380295,0.2988450362980289,False,0.00628977594897151,0.06015802174806595,0.057245709374547,cpu
sample_i_analysis,"[31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 58, 59, 60, 61, 62, 63, 64, 65]","[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]",37832,20225,"{'B2': 13300, 'B4': 11865, 'B6': 7748, 'B8': 4919}","{'B2': 9775, 'B4': 6057, 'B6': 3094, 'B8': 1299}",0.30256151168813494,0.3004574406679806,-0.0021040710201543633,0.3091870450759055,0.32450553998739096,False,0.005935843102633953,0.05917771905660629,0.052668123692274096,cpu
sample_ii_analysis,"[31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 64]","[58, 59, 60, 61, 62, 63, 65]",40786,17271,"{'B2': 18175, 'B4': 13131, 'B6': 6734, 'B8': 2746}","{'B2': 4900, 'B4': 4791, 'B6': 4108, 'B8': 3472}",0.27848737962245385,0.25431748104777496,-0.024169898574678883,0.27952857184797575,0.30884161184003556,False,0.0036382037214934826,0.04853449761867523,0.055862488225102425,cpu
sample_ii_calib,"[31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 65]",[64],55686,2371,"{'B2': 22375, 'B4': 17222, 'B6': 10142, 'B8': 5947}","{'B2': 700, 'B4': 700, 'B6': 700, 'B8': 271}",0.2675777543489721,0.25474696889826043,-0.012830785450711646,0.32611280969952555,0.3050488270954138,False,0.0030932645313441753,0.03193052485585213,0.041674056223460605,cpu
