heldout_family,method,run,heldout_rows,balanced_accuracy,predicted_stave_mix
sample_i_calib,traditional residual hand+PCA-6,31,1623,0.23565843066432213,"{""0"": 398, ""1"": 537, ""2"": 398, ""3"": 290}"
sample_i_calib,traditional residual hand+PCA-6,32,1624,0.2585978569875101,"{""0"": 403, ""1"": 529, ""2"": 380, ""3"": 312}"
sample_i_calib,traditional residual hand+PCA-6,33,1713,0.27003498386899905,"{""0"": 294, ""1"": 709, ""2"": 378, ""3"": 332}"
sample_i_calib,traditional residual hand+PCA-6,34,1445,0.2923117317769241,"{""0"": 287, ""1"": 544, ""2"": 329, ""3"": 285}"
sample_i_calib,traditional residual hand+PCA-6,35,1338,0.23538863836978818,"{""0"": 285, ""1"": 480, ""2"": 277, ""3"": 296}"
sample_i_calib,traditional residual hand+PCA-6,36,1244,0.25613963423269115,"{""0"": 261, ""1"": 413, ""2"": 270, ""3"": 300}"
sample_i_calib,traditional residual hand+PCA-6,37,1984,0.2468133195307108,"{""0"": 431, ""1"": 675, ""2"": 396, ""3"": 482}"
sample_i_calib,traditional residual hand+PCA-6,39,1744,0.25783451842275373,"{""0"": 396, ""1"": 568, ""2"": 339, ""3"": 441}"
sample_i_calib,traditional residual hand+PCA-6,40,1826,0.2766160813602416,"{""0"": 362, ""1"": 634, ""2"": 389, ""3"": 441}"
sample_i_calib,traditional residual hand+PCA-6,41,1825,0.24445717984916315,"{""0"": 404, ""1"": 596, ""2"": 361, ""3"": 464}"
sample_i_calib,traditional residual hand+PCA-6,42,1824,0.24858284314310372,"{""0"": 430, ""1"": 575, ""2"": 390, ""3"": 429}"
sample_i_calib,ML residual masked-denoising AE-6,31,1623,0.35052435337110804,"{""0"": 768, ""1"": 230, ""2"": 150, ""3"": 475}"
sample_i_calib,ML residual masked-denoising AE-6,32,1624,0.3066041330081402,"{""0"": 780, ""1"": 208, ""2"": 146, ""3"": 490}"
sample_i_calib,ML residual masked-denoising AE-6,33,1713,0.3241419308973125,"{""0"": 565, ""1"": 294, ""2"": 177, ""3"": 677}"
sample_i_calib,ML residual masked-denoising AE-6,34,1445,0.366884808404242,"{""0"": 588, ""1"": 192, ""2"": 112, ""3"": 553}"
sample_i_calib,ML residual masked-denoising AE-6,35,1338,0.2484528083511361,"{""0"": 471, ""1"": 176, ""2"": 218, ""3"": 473}"
sample_i_calib,ML residual masked-denoising AE-6,36,1244,0.2747951686693249,"{""0"": 492, ""1"": 144, ""2"": 192, ""3"": 416}"
sample_i_calib,ML residual masked-denoising AE-6,37,1984,0.28744857054755296,"{""0"": 717, ""1"": 336, ""2"": 271, ""3"": 660}"
sample_i_calib,ML residual masked-denoising AE-6,39,1744,0.27509660274366154,"{""0"": 644, ""1"": 257, ""2"": 236, ""3"": 607}"
sample_i_calib,ML residual masked-denoising AE-6,40,1826,0.2647938185285238,"{""0"": 638, ""1"": 296, ""2"": 248, ""3"": 644}"
sample_i_calib,ML residual masked-denoising AE-6,41,1825,0.2641909694174134,"{""0"": 649, ""1"": 280, ""2"": 227, ""3"": 669}"
