heldout_family,method,shuffle_rep,value
sample_i_analysis,traditional residual hand+PCA-6,3,0.21926991672078563
sample_i_analysis,traditional residual hand+PCA-6,4,0.24452564031614474
sample_i_analysis,traditional residual hand+PCA-6,5,0.251593140777723
sample_i_analysis,traditional residual hand+PCA-6,6,0.3025747427466114
sample_i_analysis,traditional residual hand+PCA-6,7,0.25296115028267846
sample_i_analysis,traditional residual hand+PCA-6,8,0.27441134887312696
sample_i_analysis,traditional residual hand+PCA-6,9,0.22751042484756906
sample_i_analysis,traditional residual hand+PCA-6,10,0.23827453966182213
sample_i_analysis,traditional residual hand+PCA-6,11,0.21872366357733908
sample_i_analysis,traditional residual hand+PCA-6,12,0.23909152316633975
sample_i_analysis,traditional residual hand+PCA-6,13,0.274442628542653
sample_i_analysis,traditional residual hand+PCA-6,14,0.22863828252629415
sample_i_analysis,traditional residual hand+PCA-6,15,0.21936727131426415
sample_i_analysis,traditional residual hand+PCA-6,16,0.1825205087495589
sample_i_analysis,traditional residual hand+PCA-6,17,0.23808055619938873
sample_i_analysis,traditional residual hand+PCA-6,18,0.2589483483498821
sample_i_analysis,traditional residual hand+PCA-6,19,0.23433071722299748
sample_i_analysis,traditional residual hand+PCA-6,20,0.2475249829434768
sample_i_analysis,traditional residual hand+PCA-6,21,0.32127954869541897
sample_i_analysis,traditional residual hand+PCA-6,22,0.2777154323691877
sample_i_analysis,traditional residual hand+PCA-6,23,0.25542397324199373
sample_i_analysis,traditional residual hand+PCA-6,24,0.2613447419694594
sample_i_analysis,traditional residual hand+PCA-6,25,0.2659336451982704
sample_i_analysis,traditional residual hand+PCA-6,26,0.21854349716506621
sample_i_analysis,traditional residual hand+PCA-6,27,0.23051420916879128
sample_i_analysis,traditional residual hand+PCA-6,28,0.27001500453178207
sample_i_analysis,traditional residual hand+PCA-6,29,0.21695681110101217
sample_i_analysis,traditional residual hand+PCA-6,30,0.2708056408483478
sample_i_analysis,traditional residual hand+PCA-6,31,0.28481566878942255
sample_i_analysis,traditional residual hand+PCA-6,32,0.27126382215695377
sample_i_analysis,traditional residual hand+PCA-6,33,0.2699151481997963
sample_i_analysis,traditional residual hand+PCA-6,34,0.3335797773750229
sample_i_analysis,traditional residual hand+PCA-6,35,0.21044306696063045
sample_i_analysis,traditional residual hand+PCA-6,36,0.21287178496479048
sample_i_analysis,traditional residual hand+PCA-6,37,0.2145220896767686
sample_i_analysis,traditional residual hand+PCA-6,38,0.20088812196981587
sample_i_analysis,traditional residual hand+PCA-6,39,0.30855059751698377
sample_i_analysis,ML residual masked-denoising AE-6,0,0.33333729163921433
sample_i_analysis,ML residual masked-denoising AE-6,1,0.17551155785310774
sample_i_analysis,ML residual masked-denoising AE-6,2,0.2683445784919918
sample_i_analysis,ML residual masked-denoising AE-6,3,0.2876419535089332
sample_i_analysis,ML residual masked-denoising AE-6,4,0.26818375897725005
sample_i_analysis,ML residual masked-denoising AE-6,5,0.23768478895329376
sample_i_analysis,ML residual masked-denoising AE-6,6,0.31637748018503176
sample_i_analysis,ML residual masked-denoising AE-6,7,0.23520427438273897
sample_i_analysis,ML residual masked-denoising AE-6,8,0.28634330162067456
sample_i_analysis,ML residual masked-denoising AE-6,9,0.23844977351450763
sample_i_analysis,ML residual masked-denoising AE-6,10,0.23196818498419175
sample_i_analysis,ML residual masked-denoising AE-6,11,0.21653172267896797
sample_i_analysis,ML residual masked-denoising AE-6,12,0.2369819905635273
sample_i_analysis,ML residual masked-denoising AE-6,13,0.2580972532099591
sample_i_analysis,ML residual masked-denoising AE-6,14,0.2226527478664642
sample_i_analysis,ML residual masked-denoising AE-6,15,0.28772378137547694
sample_i_analysis,ML residual masked-denoising AE-6,16,0.2568128237447474
sample_i_analysis,ML residual masked-denoising AE-6,17,0.24929716638622915
sample_i_analysis,ML residual masked-denoising AE-6,18,0.33490403473615926
sample_i_analysis,ML residual masked-denoising AE-6,19,0.2890962943414406
sample_i_analysis,ML residual masked-denoising AE-6,20,0.27926025760811335
sample_i_analysis,ML residual masked-denoising AE-6,21,0.2621837239183913
sample_i_analysis,ML residual masked-denoising AE-6,22,0.3025853414801923
sample_i_analysis,ML residual masked-denoising AE-6,23,0.20452614536657043
sample_i_analysis,ML residual masked-denoising AE-6,24,0.28722443462729896
sample_i_analysis,ML residual masked-denoising AE-6,25,0.2929625738557448
sample_i_analysis,ML residual masked-denoising AE-6,26,0.2848473049051119
sample_i_analysis,ML residual masked-denoising AE-6,27,0.28970821774734085
sample_i_analysis,ML residual masked-denoising AE-6,28,0.18823687508442055
sample_i_analysis,ML residual masked-denoising AE-6,29,0.24268122237367917
sample_i_analysis,ML residual masked-denoising AE-6,30,0.3240407109530845
sample_i_analysis,ML residual masked-denoising AE-6,31,0.27586648267968167
sample_i_analysis,ML residual masked-denoising AE-6,32,0.22571322024682286
sample_i_analysis,ML residual masked-denoising AE-6,33,0.23903947978249707
sample_i_analysis,ML residual masked-denoising AE-6,34,0.2739835133881469
sample_i_analysis,ML residual masked-denoising AE-6,35,0.27175276561000533
sample_i_analysis,ML residual masked-denoising AE-6,36,0.21079355591579496
sample_i_analysis,ML residual masked-denoising AE-6,37,0.22239623395604133
sample_i_analysis,ML residual masked-denoising AE-6,38,0.24071709517230253
sample_i_analysis,ML residual masked-denoising AE-6,39,0.27903221118409793
sample_ii_analysis,traditional residual hand+PCA-6,0,0.22661638085625974
sample_ii_analysis,traditional residual hand+PCA-6,1,0.26643515583102056
sample_ii_analysis,traditional residual hand+PCA-6,2,0.24760854052442022
sample_ii_analysis,traditional residual hand+PCA-6,3,0.2355056946491646
sample_ii_analysis,traditional residual hand+PCA-6,4,0.2490527058088616
sample_ii_analysis,traditional residual hand+PCA-6,5,0.28264512023021954
sample_ii_analysis,traditional residual hand+PCA-6,6,0.24924585400985216
sample_ii_analysis,traditional residual hand+PCA-6,7,0.25588422371838615
sample_ii_analysis,traditional residual hand+PCA-6,8,0.27780793165577117
sample_ii_analysis,traditional residual hand+PCA-6,9,0.26708724063077227
sample_ii_analysis,traditional residual hand+PCA-6,10,0.23006876825471795
sample_ii_analysis,traditional residual hand+PCA-6,11,0.2620690795326734
sample_ii_analysis,traditional residual hand+PCA-6,12,0.2616514543670581
sample_ii_analysis,traditional residual hand+PCA-6,13,0.24867458764447264
sample_ii_analysis,traditional residual hand+PCA-6,14,0.3155824981672556
sample_ii_analysis,traditional residual hand+PCA-6,15,0.23140579834546032
sample_ii_analysis,traditional residual hand+PCA-6,16,0.2714046984726691
sample_ii_analysis,traditional residual hand+PCA-6,17,0.20894892441035484
sample_ii_analysis,traditional residual hand+PCA-6,18,0.22768665200297142
sample_ii_analysis,traditional residual hand+PCA-6,19,0.27731352162600986
sample_ii_analysis,traditional residual hand+PCA-6,20,0.25353808285384666
sample_ii_analysis,traditional residual hand+PCA-6,21,0.2793645429857524
sample_ii_analysis,traditional residual hand+PCA-6,22,0.2784416653897672
sample_ii_analysis,traditional residual hand+PCA-6,23,0.2714951895752195
sample_ii_analysis,traditional residual hand+PCA-6,24,0.24732940163945924
sample_ii_analysis,traditional residual hand+PCA-6,25,0.21545816628997932
sample_ii_analysis,traditional residual hand+PCA-6,26,0.2729501567481144
sample_ii_analysis,traditional residual hand+PCA-6,27,0.2438628761569816
sample_ii_analysis,traditional residual hand+PCA-6,28,0.20817848437250236
sample_ii_analysis,traditional residual hand+PCA-6,29,0.26551303872054227
sample_ii_analysis,traditional residual hand+PCA-6,30,0.2692697562788695
sample_ii_analysis,traditional residual hand+PCA-6,31,0.18142856159350576
sample_ii_analysis,traditional residual hand+PCA-6,32,0.23698619542209426
sample_ii_analysis,traditional residual hand+PCA-6,33,0.2609474635346093
sample_ii_analysis,traditional residual hand+PCA-6,34,0.2343681516874466
sample_ii_analysis,traditional residual hand+PCA-6,35,0.1980097291336407
sample_ii_analysis,traditional residual hand+PCA-6,36,0.1896655338372738
sample_ii_analysis,traditional residual hand+PCA-6,37,0.24505082187090732
sample_ii_analysis,traditional residual hand+PCA-6,38,0.20752314218189027
sample_ii_analysis,traditional residual hand+PCA-6,39,0.2025974931737603
sample_ii_analysis,ML residual masked-denoising AE-6,0,0.15740480106018437
sample_ii_analysis,ML residual masked-denoising AE-6,1,0.24722660418871473
sample_ii_analysis,ML residual masked-denoising AE-6,2,0.24432957841386863
sample_ii_analysis,ML residual masked-denoising AE-6,3,0.23093245389436778
sample_ii_analysis,ML residual masked-denoising AE-6,4,0.20174375979153406
sample_ii_analysis,ML residual masked-denoising AE-6,5,0.2824613497764742
sample_ii_analysis,ML residual masked-denoising AE-6,6,0.231474279661393
sample_ii_analysis,ML residual masked-denoising AE-6,7,0.2283984476041801
sample_ii_analysis,ML residual masked-denoising AE-6,8,0.3136898597568377
sample_ii_analysis,ML residual masked-denoising AE-6,9,0.30121431222499406
sample_ii_analysis,ML residual masked-denoising AE-6,10,0.24525636639615836
sample_ii_analysis,ML residual masked-denoising AE-6,11,0.2440891179091264
sample_ii_analysis,ML residual masked-denoising AE-6,12,0.18988254082182804
