geometry,method,delta_energy_res68_vs_traditional,delta_energy_res68_vs_traditional_ci95
center_4cm,ridge_support,1.9893584668794276e-05,"[-0.00014492134696471526, 0.00010323466295667824]"
center_4cm,gradient_boosted_trees,-3.5027863908376235e-05,"[-6.653219747669523e-05, -6.3293736341729715e-06]"
center_4cm,mlp_support,-9.255302459074133e-05,"[-0.00020841540514168508, -5.734709850240498e-07]"
center_4cm,cnn_1d_support,0.00019274505983913736,"[-0.00019662060233993804, 0.0003829744465911112]"
center_4cm,new_residual_gated_ensemble,-0.00014401897732890107,"[-0.0002988362409642241, -4.073105187664042e-05]"
center_4cm,shuffled_target_hgb_control,0.004003385547424349,"[0.002654954722491985, 0.006749366154121321]"
center_2cm,ridge_support,1.9893584668794276e-05,"[-0.00011308956349402374, 0.00013054695772082305]"
center_2cm,gradient_boosted_trees,-3.5027863908376235e-05,"[-7.858132099502511e-05, -4.430696556263493e-06]"
center_2cm,mlp_support,-9.255302459074133e-05,"[-0.00024603286135385844, -1.9697274709343357e-08]"
center_2cm,cnn_1d_support,0.00019274505983913736,"[-0.00013586642737924606, 0.0003707213442934275]"
center_2cm,new_residual_gated_ensemble,-0.00014401897732890107,"[-0.00027372588461079277, -4.363010045622673e-05]"
center_2cm,shuffled_target_hgb_control,0.004003385547424349,"[0.0027556369567969417, 0.006027701935508563]"
zero_4cm,ridge_support,1.9893584668794276e-05,"[-0.00011285373029306528, 0.0001234437997914765]"
zero_4cm,gradient_boosted_trees,-3.5027863908376235e-05,"[-7.780095093023775e-05, -9.827467258370772e-06]"
zero_4cm,mlp_support,-9.255302459074133e-05,"[-0.0002175923372930171, 2.6822360988737412e-05]"
zero_4cm,cnn_1d_support,0.00019274505983913736,"[-0.0002224602499582112, 0.00035750175495795615]"
zero_4cm,new_residual_gated_ensemble,-0.00014401897732890107,"[-0.0003016187279647934, -2.729333005900486e-05]"
zero_4cm,shuffled_target_hgb_control,0.004003385547424349,"[0.0029086357041465307, 0.006023712108735697]"
