run,run_group,current_nA,sample_ii,n_matched_events,b_any_events,a_selected_pulses,ab_any_given_b_successes,target_rate,b_multi_frac,b_downstream_frac,b2_share,mean_b_max_amp,log_current_nA,log_b_any_events,current_sample_interaction,target_logit,pred_rate_traditional,rate_residual_pp,rate_residual_shuffled_pp
44,sample_i_analysis,20.0,0,4294,1912,257,75,0.039466806063774174,0.02095947834187238,0.060669456066945605,0.9853556485355649,4619.546875,2.995732273553991,7.556427969440253,0.0,-3.1920285748320127,0.02068583562283118,1.8780970440942995,-0.1746153091992176
45,sample_i_analysis,20.0,0,48159,23004,2578,903,0.03927407085416214,0.019580971365684503,0.049817423056859676,0.990132150930273,4957.6767578125,2.995732273553991,10.043466862589568,0.0,-3.1971246484734404,0.020308047747937347,1.8966023106224792,0.10062219382640995
46,sample_i_analysis,2.0,0,1409,661,46,19,0.02945619335347432,0.0056777856635912,0.015128593040847202,0.9969742813918305,4788.63232421875,0.6931471805599453,6.495265555937008,0.0,-3.494952351199674,0.0009687930404394659,2.8487400313034854,0.10793982449763813
47,sample_i_analysis,2.0,0,10932,5141,487,183,0.03568650330610657,0.007592389315770216,0.02411982104648901,0.9914413538222135,4986.62451171875,0.6931471805599453,8.545197387825835,0.0,-3.296643887131555,0.9863601646925048,-95.06736613863981,0.31935259809312094
48,sample_i_analysis,20.0,0,31663,13167,1825,559,0.04248936816524909,0.018444240912105614,0.05377079061289588,0.9892914103440419,4423.98779296875,2.995732273553991,9.485544922916851,0.0,-3.1150829409197542,0.02841675989170071,1.4072608273548382,-0.288188691405979
49,sample_i_analysis,20.0,0,32316,13919,1797,550,0.03954741379310345,0.0192783760366382,0.05532006609670235,0.9886486098139234,4466.81982421875,2.995732273553991,9.54108193388841,0.0,-3.189904316076147,0.040998702360406945,-0.14512885673034978,1.8966023106224792
50,sample_i_analysis,20.0,0,44797,34251,281,164,0.004802639261940908,0.015425140076344398,0.024933578581647253,0.9950658374937958,6875.107421875,2.995732273553991,10.441500236146082,0.0,-5.333775456948418,0.001883594965652507,0.2919044296288401,-0.2699743276682592
51,sample_i_analysis,20.0,0,20562,14291,67,42,0.002973691575706689,0.014979087637389359,0.027989643831782242,0.9933524595899517,6562.28515625,2.995732273553991,9.5674552191433,0.0,-5.814973021431539,0.0027777734352239973,0.019591814048269166,1.4072608273548382
52,sample_i_analysis,20.0,0,10002,6933,26,10,0.0015142774733198732,0.014697060587882423,0.026828212894850715,0.9942304918505698,6606.33642578125,2.995732273553991,8.84419212624497,0.0,-6.491301443931291,0.0004348792283434919,0.10793982449763813,-0.004648384152735425
53,sample_i_analysis,20.0,0,39611,31385,47,36,0.0011629388899509336,0.014314205649945722,0.023163931814561094,0.9948701609048909,6520.6669921875,2.995732273553991,10.354117212598666,0.0,-6.7556413363821175,0.004969975172221351,-0.3807036282270417,0.019591814048269166
