method,split,source_run,median_pedestal_adc,pedestal_iqr_adc,median_area_over_peak,late_tail_fraction_top_tertile,n,timing_pull_sigma68,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,saturation_leakage_rate,energy_fractional_bias,energy_fractional_sigma68,pid_balanced_accuracy
1d_cnn,heldout,58,-58.477098237677666,421.9198200092634,7.6121232198598685,0.23529411764705882,136,8.515710600512792,0.08823529411764706,0.35294117647058826,0.22058823529411764,0.423728813559322,-0.04594774249346527,0.12431021860210142,0.7578412286394116
1d_cnn,heldout,60,-78.06654871030196,427.4972275894129,7.764503661052405,0.38235294117647056,136,7.495261503861624,0.07352941176470588,0.35294117647058826,0.3235294117647059,0.5,-0.03822020588844796,0.1017451576658818,0.8020030816640986
1d_cnn,heldout,62,-56.6049786064483,499.5184846675487,7.939864078668501,0.27941176470588236,136,10.440860282278093,0.19117647058823528,0.36764705882352944,0.25,0.5306122448979592,-0.040318920700512656,0.15235733661529965,0.7230902777777778
1d_cnn,heldout,64,-37.36669890126801,188.9853744339129,7.46131301441619,0.20588235294117646,136,8.342223227777176,0.1323529411764706,0.4411764705882353,0.14705882352941177,0.42857142857142855,-0.06941436622036654,0.1067592289040721,0.7662337662337663
1d_cnn,heldout,65,-24.077708613837295,146.79001011253592,7.481659829585429,0.22794117647058823,136,7.234161352334463,0.029411764705882353,0.4117647058823529,0.20588235294117646,0.43478260869565216,-0.08440341147052957,0.17206290807070956,0.83733066844326
1d_cnn,train,50,-54.37061274893364,769.6994096705527,7.878735664395711,0.34375,96,7.473456335041232,0.0625,0.3125,0.2916666666666667,0.5416666666666666,-0.044531959271153845,0.10793147486087024,0.7303517151541468
1d_cnn,train,51,-48.680034578331274,953.2160139824067,7.974194597638196,0.40625,96,9.436191275959068,0.10416666666666667,0.22916666666666666,0.14583333333333334,0.45454545454545453,-0.023481643676757813,0.12753222278812448,0.8243006993006994
1d_cnn,train,52,-198.784247016613,683.2777420420383,8.076577215181523,0.3958333333333333,96,8.236991018109524,0.08333333333333333,0.2708333333333333,0.3333333333333333,0.6097560975609756,-0.06149184483037805,0.11721140364504773,0.7916666666666667
1d_cnn,train,53,-62.512279609709736,868.773467514534,8.3520996093964,0.4270833333333333,96,7.395095236454145,0.0625,0.22916666666666666,0.16666666666666666,0.5384615384615384,-0.045151269626452765,0.16531235120420115,0.7799473453268978
1d_cnn,train,54,-126.04419013229615,993.3654465597751,8.194250093397251,0.4479166666666667,96,7.915825722751026,0.08333333333333333,0.14583333333333334,0.1875,0.5714285714285714,-0.030668686097416346,0.1111552748871956,0.8208041958041958
1d_cnn,train,55,-57.6253938413408,874.3154838045361,8.28164049123584,0.375,96,9.09537661288308,0.10416666666666667,0.3125,0.25,0.5405405405405406,-0.042780670850562294,0.10893043682717013,0.6617391304347826
