method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,notes
transparent P02 morphology,0.692169373549884,0.6501207384361878,0.7363636363636364,0.06290390583456279,0.03963130098989751,0.0933070652287511,Train-fold-selected transparent early-peak/low-area morphology score.
shape-only RF morphology,0.9990332559938128,0.9983279599520599,0.9994597098468554,0.9727785809231302,0.9406829497211912,0.985777991739781,"Fixed RF params={'n_estimators': 500, 'max_depth': 5, 'min_samples_leaf': 8}; 93 normalized morphology features."
