method,heldout_run,threshold,clean_efficiency,gross_rejection,n_clean,n_gross
transparent P02 morphology,58,6.211754717678709,0.972972972972973,0.0,37,2
transparent P02 morphology,59,6.176715387443643,0.9493975903614458,0.0,415,13
transparent P02 morphology,60,6.140892187220854,0.9439252336448598,0.0,428,16
transparent P02 morphology,61,6.406368023194532,0.9670510708401977,0.04,607,25
transparent P02 morphology,62,5.881583225895146,0.9214285714285714,0.2857142857142857,420,7
transparent P02 morphology,63,6.111850393700787,0.9329896907216495,0.0,194,9
transparent P02 morphology,65,6.224529147982063,1.0,,54,0
shape-only RF morphology,58,0.1516640558380137,0.918918918918919,1.0,37,2
shape-only RF morphology,59,0.15180240729521904,0.9493975903614458,1.0,415,13
shape-only RF morphology,60,0.1551341389973988,0.9602803738317757,1.0,428,16
shape-only RF morphology,61,0.15212517686358784,0.9522240527182867,1.0,607,25
shape-only RF morphology,62,0.15400955503341024,0.9595238095238096,1.0,420,7
shape-only RF morphology,63,0.1430728248388716,0.9175257731958762,1.0,194,9
shape-only RF morphology,65,0.1520532436942715,0.9629629629629629,,54,0
