method,control,delta_res68_ci95,delta_full_rms_ci95,delta_res68_vs_shuffled,delta_full_rms_vs_shuffled
adaptive_template_ridge,shuffled_target_extra_trees,"[-0.00125222421702518, 0.00869359855032119]","[-0.01998310252917772, 0.012100523848466571]",0.005115055928002099,-0.0023806352247636164
ridge_log_charge_support,shuffled_target_extra_trees,"[-0.005944365163442547, 0.0031766442836858584]","[-0.01590309935144304, -0.00010445830098291415]",-0.0026099943667596825,-0.007616679073910393
gradient_boosted_trees,shuffled_target_extra_trees,"[-0.004015792285334571, 0.004830811771356537]","[-0.013915476164199577, 0.0018172803957947636]",0.001076816438308148,-0.0054963440827557886
extra_trees_waveform,shuffled_target_extra_trees,"[-0.007649330572467622, 0.004111125012189602]","[-0.010328103469230212, 0.0012221537911344398]",-0.0018882207825744457,-0.004985558708426319
random_forest_waveform,shuffled_target_extra_trees,"[-0.004410870671402346, 0.005961691894157406]","[-0.013697502081743446, 0.008637730048887435]",0.0014192473181886545,-0.002488690491907364
mlp_waveform,shuffled_target_extra_trees,"[0.1011464078319806, 0.22216880785036305]","[153958920105.85526, 8.701618401691965e+25]",0.14614575376888495,4.983049686347309e+25
cnn1d_waveform,shuffled_target_extra_trees,"[-0.006451652094523955, 0.0018720701300627826]","[0.017040752446026857, 0.02598231501483806]",-0.001737140401951609,0.021350964108612258
hybrid_support_gate_cnn,shuffled_target_extra_trees,"[-0.005855240048757315, 0.005469394157452114]","[0.017422002740480873, 0.030600791684573782]",-0.0006640359545745378,0.02374812738854193
knockoff_extra_trees,shuffled_target_extra_trees,"[-0.0026148793721944676, 0.0034335152837317636]","[-0.016039984205313874, -0.0017506129351597466]",0.0013356020025853121,-0.008035179762942102
