heldout_run,method,epochs,final_loss,train_rows,log_prediction_clip
31,cnn1d_waveform,4,0.4461212158203125,3000,"[7.283585977554321, 11.852655563354492]"
31,hybrid_support_gate_cnn,4,0.4494436979293823,3000,"[7.283585977554321, 11.852655563354492]"
32,cnn1d_waveform,4,0.44510531425476074,3000,"[7.355600538253784, 11.852655563354492]"
32,hybrid_support_gate_cnn,4,0.4673212766647339,3000,"[7.355600538253784, 11.852655563354492]"
33,cnn1d_waveform,4,0.45600998401641846,3000,"[7.352730593681336, 11.832767362594605]"
33,hybrid_support_gate_cnn,4,0.41373157501220703,3000,"[7.352730593681336, 11.832767362594605]"
34,cnn1d_waveform,4,0.45770835876464844,3000,"[7.375130620002746, 11.869478034973145]"
34,hybrid_support_gate_cnn,4,0.427267849445343,3000,"[7.375130620002746, 11.869478034973145]"
35,cnn1d_waveform,4,0.4611096680164337,3000,"[7.303158807754517, 11.861141443252563]"
35,hybrid_support_gate_cnn,4,0.4557022750377655,3000,"[7.303158807754517, 11.861141443252563]"
36,cnn1d_waveform,4,0.33703526854515076,3000,"[7.283585977554321, 11.852655563354492]"
36,hybrid_support_gate_cnn,4,0.40589672327041626,3000,"[7.283585977554321, 11.852655563354492]"
37,cnn1d_waveform,4,0.4471372663974762,3000,"[7.303158807754517, 11.853483486175538]"
37,hybrid_support_gate_cnn,4,0.4365993142127991,3000,"[7.303158807754517, 11.853483486175538]"
39,cnn1d_waveform,4,0.4324158728122711,3000,"[7.324351167678833, 11.869478034973145]"
39,hybrid_support_gate_cnn,4,0.38645637035369873,3000,"[7.324351167678833, 11.869478034973145]"
40,cnn1d_waveform,4,0.4404146671295166,3000,"[7.324364771842957, 11.861141443252563]"
40,hybrid_support_gate_cnn,4,0.4063884913921356,3000,"[7.324364771842957, 11.861141443252563]"
41,cnn1d_waveform,4,0.46616289019584656,3000,"[7.265761179924011, 11.861141443252563]"
41,hybrid_support_gate_cnn,4,0.4510464370250702,3000,"[7.265761179924011, 11.861141443252563]"
42,cnn1d_waveform,4,0.4208419620990753,3000,"[7.324364771842957, 11.82757485866547]"
42,hybrid_support_gate_cnn,4,0.3871128261089325,3000,"[7.324364771842957, 11.82757485866547]"
44,cnn1d_waveform,4,0.3916373550891876,3000,"[7.276595764160156, 11.876279001235963]"
44,hybrid_support_gate_cnn,4,0.4368949234485626,3000,"[7.276595764160156, 11.876279001235963]"
45,cnn1d_waveform,4,0.4241304099559784,3000,"[7.3059642171859736, 11.827435417175293]"
