category,stratum,n,runs,best_real_method,best_real_res68,shuffled_res68,knockoff_res68,best_minus_shuffled_res68,best_minus_knockoff_res68,median_target_charge,delta_res68_ci95,delta_full_rms_ci95,root_cause_call
support_cell,A3_only|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|downstream_none,545,29,adaptive_template_ridge,0.5496744768639006,0.6066791320836338,0.5887074861519395,-0.05700465521973319,-0.03903300928803888,15391.0,"[-0.0639909496763777, 0.021103341519461617]","[-0.03810938597221651, 0.013623209524520797]",candidate_identifiable_atom
a_topology,A1_only,149,25,mlp_waveform,1.0233447683655468,1.1008488057551902,1.1001777826160277,-0.0775040373896434,-0.07683301425048095,11564.0,"[-0.43872731534339376, 0.15191708297538872]","[0.04661477978530658, 0.6345096605885023]",limited_support
support_cell,A3_only|B2_only|2000_3000|all_B_amp_lt7000|dropout_like|downstream_none,54,17,gradient_boosted_trees,0.6136185550938967,0.6788662507337131,0.6827130167428915,-0.06524769563981636,-0.0690944616489948,15265.75,"[-0.10273128952916788, 0.11705955972423854]","[-0.06806136242143108, 0.04079238206580158]",limited_support
support_cell,A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|downstream_none,71,16,cnn1d_waveform,0.4928058106570359,0.5236197535530726,0.5134552748709001,-0.030813942896036672,-0.020649464213864266,29742.0,"[-0.07641671197130342, 0.004190282561039586]","[-0.038685252091728115, 0.0029819184786698443]",limited_support
support_cell,A3_only|B2_only|3000_5000|all_B_amp_lt7000|late_tail_high|downstream_none,81,19,adaptive_template_ridge,0.3041861035830308,0.33169405806600166,0.31645138961628666,-0.027507954482970887,-0.012265286033255884,16044.0,"[-0.0991478134412479, 0.030076208686471487]","[-0.045044555725584585, 0.04596384674722305]",limited_support
downstream_coincidence,downstream_one,109,21,hybrid_support_gate_cnn,0.47649855077677106,0.5035813345640695,0.49066985598550844,-0.027082783787298448,-0.014171305208737384,19956.0,"[-0.06283228654646977, 0.033871681181215224]","[0.0446468275512517, 0.11095818289986939]",limited_support
support_cell,A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|downstream_none,101,17,hybrid_support_gate_cnn,0.44282907001591604,0.4688656519003263,0.4671944443821402,-0.02603658188441027,-0.024365374366224157,30332.0,"[-0.04481281706087413, 0.004008291830118862]","[-0.013645350984387971, -0.0049344581776638394]",limited_support
support_cell,A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|downstream_none,76,18,hybrid_support_gate_cnn,0.4756885138197413,0.4917709531109022,0.5011403162254279,-0.016082439291160877,-0.025451802405686563,32700.5,"[-0.03085316188704985, 0.0029354779603443766]","[-0.022136913748062644, -0.007925260564641058]",limited_support
support_cell,A3_only|B2_only|2000_3000|all_B_amp_lt7000|broad_saturation_like|downstream_none,51,16,random_forest_waveform,0.4705370658607634,0.48630428025366834,0.48927547369365515,-0.01576721439290496,-0.018738407832891768,14833.0,"[-0.09879205473384171, 0.09270133987358459]","[-0.04937845277979168, 0.022744938431727334]",limited_support
topology_pattern,B2_B4,102,21,hybrid_support_gate_cnn,0.477608709427024,0.4923785859170152,0.4838727042939035,-0.01476987648999123,-0.006263994866879508,20790.0,"[-0.05900657820351242, 0.028049883848932488]","[0.043401174074696985, 0.11088638212617018]",limited_support
support_cell,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|broad_saturation_like|downstream_none,80,17,gradient_boosted_trees,0.4820232512198806,0.49501150270727445,0.4928504318755055,-0.012988251487393854,-0.01082718065562488,32266.0,"[-0.03834504036911075, 0.02064331867285346]","[-0.006334975228551067, 0.002682998841790171]",limited_support
