method,method_family,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,conformal_coverage68,conformal_q68_median
adaptive_template_ridge,traditional,4055,-0.04695563925065705,0.5262002712957041,0.8484433927326395,0.1437731196054254,0.3435265104808878,"[-0.06198660752636605, -0.017529642714522946]","[0.5117017199705424, 0.5403783068947002]","[0.7438815485216065, 1.0112507551749037]",0.6712700369913687,0.5186408156430556
ridge_log_charge_support,ml_nn,4055,-0.047758647658717145,0.5184752210009423,0.8432073488834927,0.13908754623921085,0.34254007398273734,"[-0.07052172839290426, -0.025200863740439138]","[0.5041181249300768, 0.5368155683061407]","[0.7310600832023859, 0.9743602307179132]",0.6796547472256473,0.5184372311107991
gradient_boosted_trees,ml_nn,4055,-0.04565226795248054,0.5221620318060102,0.8453276838746473,0.13785450061652282,0.338347718865598,"[-0.0657375193200584, -0.022709820361340817]","[0.5051559308313114, 0.5418344581600337]","[0.7391769324762295, 0.9916689769513385]",0.644636251541307,0.49206684152359953
extra_trees_waveform,ml_nn,4055,-0.047827021410690035,0.5191969945851276,0.8458384692489768,0.1408138101109741,0.3459926017262639,"[-0.06809790236108092, -0.025383306028244335]","[0.5087181614008172, 0.5360837406198911]","[0.7388338296214593, 0.9762719390497314]",0.6670776818742293,0.5099111472802862
random_forest_waveform,ml_nn,4055,-0.046416279803397305,0.5225044626858907,0.8483353374654957,0.13785450061652282,0.33933415536374845,"[-0.07022547905723446, -0.02087847102083007]","[0.5040329780000483, 0.5403733151367526]","[0.7476048845943599, 0.9936909474259024]",0.6219482120838471,0.46871087488230484
mlp_waveform,ml_nn,4055,-0.08264214955480072,0.667230969136587,4.983049686347309e+25,0.10752157829839704,0.2720098643649815,"[-0.1391117419060899, -0.027230072245922735]","[0.6182791721709632, 0.7471802302288513]","[444295926580.94714, 8.403343392940001e+25]",0.6078914919852034,0.5388289028171235
cnn1d_waveform,ml_nn,4055,-0.022490249484270242,0.5193480749657504,0.8721749920660153,0.14204685573366216,0.35043156596794084,"[-0.0474498455697383, 0.0032861790089826724]","[0.5050368873054994, 0.534849733981486]","[0.7561224431383368, 1.0033794308644923]",,
hybrid_support_gate_cnn,ml_nn,4055,-0.020475438040512713,0.5204211794131275,0.874572155345945,0.14549938347718866,0.3494451294697904,"[-0.04529856511512399, 0.009359915683017693]","[0.5068233915664189, 0.5399874431408966]","[0.7690946964992741, 1.0405876957650753]",,
knockoff_extra_trees,control,4055,-0.0501414664353982,0.5224208173702873,0.842788848194461,0.1405672009864365,0.34673242909987667,"[-0.07004274482449349, -0.024423678670801273]","[0.5067636239594446, 0.5390311753636037]","[0.7418461587399152, 1.0088131499499857]",,
shuffled_target_extra_trees,control,4055,-0.04736567525068676,0.521085215367702,0.8508240279574031,0.1373612823674476,0.34673242909987667,"[-0.06904459469726154, -0.022858091477176712]","[0.506624421401198, 0.5404466254919216]","[0.7434759064809496, 1.0171568806268163]",,
