b2_amp_bin,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct
1000_2000,b2_loglinear,496,-0.053261432263438366,0.5031136037931315,0.7471422580693434,0.15524193548387097,0.36693548387096775
1000_2000,charge_transfer_ridge,496,-0.04587545908213336,0.5051129417178317,0.7441039200860349,0.1532258064516129,0.3629032258064516
1000_2000,b_waveform_extra_trees,496,-0.05907874864056978,0.49992023483907955,0.7313044314112505,0.15120967741935484,0.3689516129032258
2000_3000,b2_loglinear,474,-0.049678003118660385,0.5089398261920719,1.163890107685148,0.14767932489451477,0.3333333333333333
2000_3000,charge_transfer_ridge,474,-0.055497411229344984,0.5182600917798622,1.1703749766133174,0.14135021097046413,0.3291139240506329
2000_3000,b_waveform_extra_trees,474,-0.048092243834434945,0.512546153715011,1.157516244087081,0.15611814345991562,0.33544303797468356
3000_5000,b2_loglinear,1212,-0.03901480888745218,0.5172933550253593,0.7122097054758572,0.14356435643564355,0.3424092409240924
3000_5000,charge_transfer_ridge,1212,-0.03868292007669408,0.5160072360386511,0.7135911651051943,0.14356435643564355,0.34405940594059403
3000_5000,b_waveform_extra_trees,1212,-0.042979287609264116,0.5175891789860404,0.7129471597490926,0.14026402640264027,0.3465346534653465
5000_7000,b2_loglinear,953,-0.06012241287840049,0.5279133224141678,0.9507114306540686,0.12801678908709338,0.35047219307450156
5000_7000,charge_transfer_ridge,953,-0.0584407668281489,0.5280317099399475,0.9380223140960656,0.12801678908709338,0.35047219307450156
5000_7000,b_waveform_extra_trees,953,-0.056738846631549704,0.5271281443578638,0.954434975619576,0.13011542497376705,0.3462749213011542
7000_inf,b2_loglinear,920,-0.041636693638814073,0.5399587585177767,0.7387006521121479,0.13478260869565217,0.3347826086956522
7000_inf,charge_transfer_ridge,920,-0.039022514383234924,0.5415965004781231,0.7375421285953293,0.13478260869565217,0.33260869565217394
7000_inf,b_waveform_extra_trees,920,-0.0338954736277321,0.5414046057057386,0.7466511779496738,0.13260869565217392,0.33152173913043476
