stave,n_pairs_involving_stave,high_n,low_n,high_tail_fraction,low_tail_fraction
B4,500,17,483,0.17647058823529413,0.010351966873706004
B6,500,14,486,0.07142857142857142,0.0102880658436214
B8,500,15,485,0.13333333333333333,0.016494845360824743
