fold,heldout_run,n,tail_rate,auc,average_precision
0,45,282,0.028368794326241134,0.8159215328467153,0.5691197757748613
1,"44,46,50",204,0.0,,
2,"47,53",204,0.0,,
3,"48,52",240,0.008333333333333333,0.9936974789915967,0.7
4,"49,51",270,0.03333333333333333,0.9514687100893998,0.5734006734006734
