event_id,run,pair,stave_a,stave_b,residual_ns,abs_residual_ns,delta_lowering_adc,abs_delta_lowering_adc,max_lowering_adc,sum_lowering_adc,delta_lowering_frac,max_lowering_frac,delta_log_amp,min_log_amp,delta_peak_sample,mean_peak_sample,delta_area_over_amp,mean_area_over_amp,delta_positive_area_over_amp,mean_positive_area_over_amp,max_tail_area_frac,delta_tail_area_frac,max_width20_samples,delta_width20_samples,max_width50_samples,max_pretrigger_abs_adc,delta_pretrigger_abs_adc,max_pretrigger_ptp_adc,max_late_abs_adc,delta_late_abs_adc,most_negative_postpeak_adc,has_pretrigger_anomaly,has_late_anomaly,centered_residual_ns,tail_abs_gt_threshold
44:1108:658:1108,44,B4-B6,B4,B6,-4.8154268051434315,4.8154268051434315,0.0,0.0,0.0,0.0,0.0,0.0,0.14744194676279587,7.533426294417168,0.0,8.0,0.050974402325815404,6.977052627975859,0.036718501456940444,6.984642365526437,0.5262551377098298,-0.06763331113548093,10.0,0.0,7.0,14.5,-12.0,25.0,698.5,6.0,0.0,False,True,-0.24797420922925184,False
44:1108:658:1108,44,B4-B8,B4,B8,-3.136316777041941,3.136316777041941,0.0,0.0,0.0,0.0,0.0,0.0,-0.9946952862077145,7.680868241179964,1.0,7.5,-1.1086092232771456,7.55684444077734,-1.1107084742351043,7.5583558533724595,0.6671436387357434,-0.2085218121613946,12.0,-2.0,12.0,12.0,-9.5,17.0,3196.0,-2497.5,0.0,False,True,0.6347320678908872,False
44:1108:658:1108,44,B6-B8,B6,B8,1.6791100281014906,1.6791100281014906,0.0,0.0,0.0,0.0,0.0,0.0,-1.1421372329705104,7.533426294417168,1.0,7.5,-1.159583625602961,7.531357239614432,-1.1474269756920448,7.539996602643988,0.6671436387357434,-0.14088850102591366,12.0,-2.0,12.0,14.5,2.5,25.0,3196.0,-2503.5,0.0,False,True,1.0316935511044498,False
44:1626:1143:1626,44,B4-B6,B4,B6,-6.9108363475560495,6.9108363475560495,0.0,0.0,0.0,0.0,0.0,0.0,0.06958266802424973,7.771910256435763,-1.0,6.5,0.5247672578032212,7.136751251161307,0.5204380109005378,7.1404888199527985,0.5655685441020192,0.0737793284157447,10.0,1.0,7.0,93.0,64.0,96.0,473.0,-6.0,0.0,False,True,-2.34338375164187,False
44:1626:1143:1626,44,B4-B8,B4,B8,-6.342932573529332,6.342932573529332,0.0,0.0,0.0,0.0,0.0,0.0,-0.06228805441513252,7.841492924460013,-1.0,6.5,-0.5018442442673985,7.6500570021966166,-0.5032271459621649,7.652321398384149,0.5655685441020192,0.0193596809756168,11.0,-1.0,8.0,93.0,85.5,96.0,888.5,-421.5,0.0,False,True,-2.5718837285965037,False
44:1626:1143:1626,44,B6-B8,B6,B8,0.5679037740267177,0.5679037740267177,0.0,0.0,0.0,0.0,0.0,0.0,-0.13187072243938225,7.771910256435763,0.0,7.0,-1.0266115020706197,7.387673373295007,-1.0236651568627027,7.3921023929338805,0.5462088631264024,-0.054419647440127894,11.0,-2.0,8.0,29.0,21.5,36.0,888.5,-415.5,0.0,False,True,-0.07951270297032309,False
44:2818:2229:2818,44,B4-B6,B4,B6,0.019946888049815925,0.019946888049815925,0.0,0.0,0.0,0.0,0.0,0.0,0.6536177248440502,7.97779661066221,3.0,14.5,-1.0632563204798569,5.4350899732306495,-1.0768010718026204,5.450962991290318,0.41243698441796517,-0.41243698441796517,7.0,0.0,7.0,17.5,-2.5,28.0,5604.0,2774.5,0.0,False,True,4.5873994839639956,False
44:2818:2229:2818,44,B4-B8,B4,B8,0.5447254103445118,0.5447254103445118,0.0,0.0,0.0,0.0,0.0,0.0,0.5430060575198041,8.088408277986456,3.0,14.5,-1.6300967801593327,5.718510203070387,-1.6300577258427538,5.727591318310385,0.4472170708232588,-0.4472170708232588,7.0,0.0,7.0,15.0,3.5,28.0,5604.0,2388.5,0.0,False,True,4.31577425527734,False
44:2818:2229:2818,44,B6-B8,B6,B8,0.5247785222946959,0.5247785222946959,0.0,0.0,0.0,0.0,0.0,0.0,-0.1106116673242461,7.97779661066221,0.0,13.0,-0.5668404596794758,6.250138363310316,-0.5532566540401334,6.265991854211695,0.4472170708232588,-0.03478008640529362,7.0,0.0,7.0,17.5,6.0,23.0,3215.5,-386.0,0.0,False,True,-0.12263795470234484,False
44:304:16292:304,44,B4-B6,B4,B6,-5.944579572642521,5.944579572642521,0.0,0.0,0.0,0.0,0.0,0.0,-0.05383261215996704,7.811163385025279,0.0,6.0,-0.4086752507790763,7.479165351372513,-0.4066288022834783,7.4878705422037575,0.5917399121054734,-0.09143386347156324,11.0,0.0,7.0,506.0,442.5,520.0,597.5,-284.5,0.0,True,True,-1.3771269767283414,False
44:304:16292:304,44,B4-B8,B4,B8,-1.9819475891803293,1.9819475891803293,0.0,0.0,0.0,0.0,0.0,0.0,-0.7997933362031224,7.811163385025279,1.0,5.5,-1.8631378509225893,8.206396651444269,-1.8554128963662668,8.212262589245151,0.7074208397266006,-0.2071147910926905,14.0,-3.0,12.0,506.0,82.5,520.0,3158.5,-2845.5,0.0,True,True,1.7891012557524988,False
44:304:16292:304,44,B6-B8,B6,B8,3.9626319834621917,3.9626319834621917,0.0,0.0,0.0,0.0,0.0,0.0,-0.7459607240431554,7.864995997185246,1.0,5.5,-1.454462600143513,8.410734276833807,-1.4487840940827885,8.41557699038689,0.7074208397266006,-0.11568092762112725,14.0,-3.0,12.0,423.5,-360.0,431.0,3158.5,-2561.0,0.0,True,True,3.315215506465151,False
44:359:16340:359,44,B4-B6,B4,B6,-4.766063185041929,4.766063185041929,0.0,0.0,0.0,0.0,0.0,0.0,0.07677237968853579,7.764720544771477,0.0,15.0,0.30554563420003955,4.7591422438516116,0.31902637689072844,4.769704271247912,0.18163396886801142,-0.017134567192702288,6.0,0.0,5.0,9.0,4.0,12.0,2543.0,188.0,0.0,False,True,-0.19861058912774965,False
