event_id,run,pair,stave_a,stave_b,residual_ns,abs_residual_ns,delta_lowering_adc,abs_delta_lowering_adc,max_lowering_adc,sum_lowering_adc,delta_lowering_frac,max_lowering_frac,delta_log_amp,min_log_amp,delta_peak_sample,mean_peak_sample,delta_area_over_amp,mean_area_over_amp,delta_positive_area_over_amp,mean_positive_area_over_amp,max_tail_area_frac,delta_tail_area_frac,max_width20_samples,delta_width20_samples,max_width50_samples,max_pretrigger_abs_adc,delta_pretrigger_abs_adc,max_pretrigger_ptp_adc,max_late_abs_adc,delta_late_abs_adc,most_negative_postpeak_adc,has_pretrigger_anomaly,has_late_anomaly,centered_residual_ns,tail_abs_gt_threshold,traditional_pred_ns,residual_traditional_corrected_ns,traditional_high_lowering_bin,ml_pred_ns,residual_ml_corrected_ns,ml_shuffled_pred_ns,residual_ml_shuffled_corrected_ns,ml_oracle_pred_ns,residual_ml_oracle_corrected_ns,ml_tail_probability,ml_tail_probability_shuffled
54:245768:5775:245728,54,B4-B6,B4,B6,-5.262088480352645,5.262088480352645,0.0,0.0,0.0,0.0,0.0,0.0,-0.05959743943930729,7.7495379586812305,0.0,11.0,0.390296376446015,6.828779382374104,0.38592136145199163,6.8395894378340385,0.44665118552921046,-0.023189930011799975,10.0,1.0,7.0,28.0,-23.5,48.0,1717.0,-36.5,0.0,False,True,-0.7527628524303722,False,-0.01892579019084173,-5.243162690161803,False,-0.8083307574141644,-4.453757722938481,-0.08345344333694908,-5.178635037015696,-0.7676762785826793,-4.494412201769966,0.01941909666194481,0.017468207836286113
54:245768:5775:245728,54,B4-B8,B4,B8,-6.1309061208722255,6.1309061208722255,0.0,0.0,0.0,0.0,0.0,0.0,-0.2009644761276208,7.7495379586812305,-2.0,12.0,-0.07550825450867116,7.061681697851447,-0.09650488849215222,7.08080256280611,0.4234612555174105,0.18179541319868459,10.0,1.0,8.0,16.0,-11.5,23.0,2361.0,-680.5,0.0,False,True,-1.9150693206686071,False,-1.5507971598581387,-4.580108961014087,False,-0.9500523524131113,-5.180853768459114,0.0466581032337155,-6.177564224105941,-1.9053399454754973,-4.225566175396728,0.010951093285743063,0.03262837958689309
54:245768:5775:245728,54,B6-B8,B6,B8,-0.8688176405195804,0.8688176405195804,0.0,0.0,0.0,0.0,0.0,0.0,-0.14136703668831352,7.809135398120538,-2.0,12.0,-0.46580463095468616,6.8665335096284394,-0.48242624994414385,6.887841882080115,0.44665118552921046,0.20498534321048456,9.0,0.0,8.0,28.0,12.0,48.0,2361.0,-644.0,0.0,False,True,-1.492174882685628,False,-1.5014474996119231,0.6326298590923427,False,-0.3748740295777434,-0.49394361094183703,0.04825115785463938,-0.9170687983742198,-1.5003752480722008,0.6315576075526204,0.0,0.08680800811306402
54:245835:5836:245795,54,B4-B6,B4,B6,-5.345240825809185,5.345240825809185,-73.5,73.5,76.5,79.5,-0.047497302301936696,0.04933892292808771,0.04935780991237326,7.346977483888435,-1.0,12.5,0.5254428906574624,5.804804644296806,0.2744707592493283,5.970192490234146,0.4230575937280129,0.10113145485140962,8.0,0.0,7.0,40.5,-12.5,72.0,1389.5,-27.5,0.0,False,True,-0.8359151978869122,False,-1.1928721858310753,-4.15236863997811,False,0.08650880233862136,-5.431749628147807,-3.4193509487169487,-1.9258898770922364,-0.8271321494943299,-4.5181086763148555,0.021756705718770704,0.27026515811341495
54:245835:5836:245795,54,B4-B8,B4,B8,-1.7707471802608552,1.7707471802608552,3.0,3.0,3.0,3.0,0.001841620626151013,0.001841620626151013,-0.8160974836288979,7.396335293800808,0.0,12.0,-0.880784858685411,6.507918518968243,-0.8433250808941413,6.52909041030588,0.507982980052309,-0.08492538632429614,8.0,0.0,7.0,28.0,14.5,40.0,3328.5,-1966.5,0.0,False,True,2.445089619942763,False,0.3141802035662092,-2.0849273838270643,False,-0.07502896458092907,-1.6957182156799262,0.09471072506553938,-1.8654579053263947,2.5039699795078745,-4.27471715976873,0.0,0.11003262276244778
54:245835:5836:245795,54,B6-B8,B6,B8,3.57449364554833,3.57449364554833,76.5,76.5,76.5,76.5,0.04933892292808771,0.04933892292808771,-0.8654552935412712,7.346977483888435,1.0,12.5,-1.4062277493428734,6.2451970736395115,-1.1177958401434696,6.391855030681215,0.507982980052309,-0.18605684117570576,8.0,0.0,7.0,40.5,27.0,72.0,3328.5,-1939.0,0.0,False,True,2.9511364033822822,False,-0.3132915187610697,3.8877851643093995,False,0.5715015169126683,3.0029921286356616,0.0840877519522544,3.4904058935960753,2.945575093342248,0.6289185522060818,0.010216483438035408,0.2027988642268994
54:246372:6338:246332,54,B4-B6,B4,B6,-5.4818895231248455,5.4818895231248455,28.63000000000011,28.63000000000011,28.63000000000011,28.63000000000011,0.00967883705206224,0.00967883705206224,-0.029306126585498582,7.99260665240021,0.0,8.0,0.3082744769517838,8.232272497832424,0.34772456767251825,8.259876729010259,0.30361347949654893,-0.025183207319533663,11.0,0.0,8.0,1190.0,628.0,1263.0,616.0,-33.0,0.0,True,True,-0.9725638952025726,False,0.8462856569970874,-6.328175180121933,False,-0.5816975201326827,-4.900192002992163,-0.6578634428830121,-4.8240260802418335,-0.9694150245475697,-4.512474498577276,0.10227222144657902,0.08941911529690597
54:246372:6338:246332,54,B4-B8,B4,B8,-7.012672806704892,7.012672806704892,28.63000000000011,28.63000000000011,28.63000000000011,28.63000000000011,0.00967883705206224,0.00967883705206224,-0.07108598186930681,7.99260665240021,-1.0,8.5,-0.7332376188554122,8.753028545736022,-0.6874826496219963,8.777480337657515,0.2900686941213021,-0.011638421944286825,13.0,-2.0,9.0,1190.0,861.0,1263.0,990.0,-407.0,0.0,True,True,-2.796836006501273,False,-0.3469101805141558,-6.665762626190736,False,-1.1800353917058035,-5.832637414999088,-0.5148376963678082,-6.497835110337084,-2.7881119179804172,-4.224560888724474,0.07436720695119733,0.11198158496503238
54:246372:6338:246332,54,B6-B8,B6,B8,-1.5307832835800461,1.5307832835800461,0.0,0.0,0.0,0.0,0.0,0.0,-0.04177985528380823,8.021912778985708,-1.0,8.5,-1.041512095807196,8.59889130726013,-1.0352072172945146,8.603618053821258,0.30361347949654893,0.013544785375246837,13.0,-2.0,9.0,562.0,233.0,578.0,990.0,-374.0,0.0,True,True,-2.1541405257460937,False,-0.31510479041233036,-1.2156784931677158,False,-0.5409156239938098,-0.9898676595862363,-0.11742466297529708,-1.413358620604749,-2.1815372344935944,0.6507539509135483,0.05413481796532267,0.13136888798490193
54:247021:6940:246981,54,B4-B6,B4,B6,-4.035976611986364,4.035976611986364,0.0,0.0,0.0,0.0,0.0,0.0,0.25141398525246483,7.422971251049421,-1.0,8.5,0.5756226733485956,7.0977336319522415,0.5757201879893357,7.1067483187406335,0.5298720890034256,0.11060490807775947,10.0,0.0,7.0,12.5,1.5,18.0,912.5,261.5,0.0,False,True,0.4733490159359093,False,-0.876293572585602,-3.1596830394007616,False,-0.31151534812662474,-3.7244612638597387,0.052522656523773484,-4.088499268510137,0.5032561213194855,-4.539232733305849,0.0,0.014230097815891485
