method,run,n_pair_residuals,n_events,n_runs,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,mae_ns
raw_cfd20,54,150,50,1,-2.9032663178934826,2.974859520467964,3.5840570280756343,0.06,2.491610807609728
raw_cfd20,55,132,44,1,-3.5619755723273485,3.2033552699567642,3.0340869394095504,0.08333333333333333,2.471227899048303
raw_cfd20,56,276,92,1,-3.0623599675774997,3.0259874144321266,8.345983219720457,0.07246376811594203,3.396663892888821
raw_cfd20,57,192,64,1,-3.1392182920903586,3.264756915433511,2.978022561357029,0.07291666666666667,2.408645688440003
traditional_ridge_lowering,54,150,50,1,-2.631673697170833,2.9826131432393415,3.414598916262929,0.06,2.4482784811116645
traditional_ridge_lowering,55,132,44,1,-2.9069640936820895,3.1227577169275706,3.025159800524732,0.06818181818181818,2.4339336635892765
traditional_ridge_lowering,56,276,92,1,-3.015412779103615,3.1442621892787592,7.706262599308708,0.10507246376811594,3.2804126640480002
traditional_ridge_lowering,57,192,64,1,-2.8608344689084384,3.1096517015859013,3.090084642818884,0.078125,2.438269091664619
ml_rf_lowering,54,150,50,1,-3.4104125287366918,2.5897378576828682,2.523065016036259,0.03333333333333333,2.002420938581002
ml_rf_lowering,55,132,44,1,-3.2562726708249485,2.77485941614036,2.6730615217589015,0.05303030303030303,2.1050591842615676
ml_rf_lowering,56,276,92,1,-3.267392142908659,2.763206586253459,7.445708351755813,0.05434782608695652,3.1507493362454295
ml_rf_lowering,57,192,64,1,-3.0775587267340043,2.8568390898941542,2.979939300389506,0.06770833333333333,2.1941659664269526
ml_shuffled_target_control,54,150,50,1,-2.369044599963507,3.0051925806633877,3.782752633584584,0.06666666666666667,2.551118725461822
ml_shuffled_target_control,55,132,44,1,-3.1261552113341176,3.1675575209104645,2.9872995600427372,0.06060606060606061,2.498424604402952
ml_shuffled_target_control,56,276,92,1,-2.907987810345425,3.050409168498867,8.350887561133625,0.08333333333333333,3.448721394022818
ml_shuffled_target_control,57,192,64,1,-2.897482519659925,3.264776018514118,3.1192098767362415,0.07291666666666667,2.469555973263007
