quantile,threshold_adc,train_tail_rate_high,train_tail_rate_low,train_risk_ratio
0.5,0.0,0.015833333333333335,,inf
0.6,0.0,0.015833333333333335,,inf
0.7,0.0,0.015833333333333335,,inf
0.8,9.155500000000055,0.0375,0.010416666666666666,3.6
0.9,283.28500000000054,0.075,0.009259259259259259,8.1
0.95,817.6651249999985,0.15,0.008771929824561403,17.1
