run,stave,lowering_axis,selected_downstream_pulses,run_total,run_fraction,support_flag
58,B4,large,4,219,0.0182648401826484,sparse
58,B4,medium,8,219,0.0365296803652968,sparse
58,B4,none,60,219,0.273972602739726,ok
58,B4,small,1,219,0.0045662100456621,sparse
58,B6,large,1,219,0.0045662100456621,sparse
58,B6,medium,6,219,0.0273972602739726,sparse
58,B6,none,56,219,0.2557077625570776,ok
58,B6,small,10,219,0.045662100456621,sparse
58,B8,large,2,219,0.0091324200913242,sparse
58,B8,medium,6,219,0.0273972602739726,sparse
58,B8,none,62,219,0.2831050228310502,ok
58,B8,small,3,219,0.0136986301369863,sparse
59,B4,large,37,2289,0.01616426387068589,ok
59,B4,medium,61,2289,0.026649191786806466,ok
59,B4,none,585,2289,0.25557011795543905,ok
59,B4,small,80,2289,0.03494975972040192,ok
59,B6,large,10,2289,0.00436871996505024,sparse
59,B6,medium,42,2289,0.01834862385321101,ok
59,B6,none,619,2289,0.2704237658366099,ok
59,B6,small,92,2289,0.04019222367846221,ok
59,B8,large,22,2289,0.009611183923110528,sparse
59,B8,medium,41,2289,0.017911751856705984,ok
59,B8,none,638,2289,0.27872433377020533,ok
59,B8,small,62,2289,0.02708606378331149,ok
60,B4,large,55,2424,0.02268976897689769,ok
60,B4,medium,68,2424,0.028052805280528052,ok
60,B4,none,607,2424,0.25041254125412543,ok
60,B4,small,78,2424,0.03217821782178218,ok
60,B6,large,21,2424,0.008663366336633664,sparse
60,B6,medium,51,2424,0.02103960396039604,ok
60,B6,none,650,2424,0.26815181518151815,ok
60,B6,small,86,2424,0.03547854785478548,ok
60,B8,large,40,2424,0.0165016501650165,ok
60,B8,medium,46,2424,0.018976897689768978,ok
60,B8,none,663,2424,0.27351485148514854,ok
60,B8,small,59,2424,0.02433993399339934,ok
61,B4,large,53,2799,0.01893533404787424,ok
61,B4,medium,70,2799,0.025008931761343337,ok
61,B4,none,722,2799,0.25794926759556985,ok
61,B4,small,88,2799,0.03143979992854591,ok
61,B6,large,28,2799,0.010003572704537335,ok
61,B6,medium,53,2799,0.01893533404787424,ok
61,B6,none,752,2799,0.2686673812075741,ok
61,B6,small,100,2799,0.03572704537334762,ok
61,B8,large,45,2799,0.01607717041800643,ok
61,B8,medium,47,2799,0.01679171132547338,ok
61,B8,none,774,2799,0.2765273311897106,ok
61,B8,small,67,2799,0.023937120400142908,ok
62,B4,large,47,2421,0.019413465510119784,ok
62,B4,medium,66,2421,0.027261462205700124,ok
62,B4,none,621,2421,0.25650557620817843,ok
62,B4,small,73,2421,0.030152829409334985,ok
62,B6,large,22,2421,0.009087154068566708,sparse
62,B6,medium,43,2421,0.017761255679471292,ok
62,B6,none,660,2421,0.27261462205700127,ok
62,B6,small,82,2421,0.033870301528294094,ok
62,B8,large,40,2421,0.016522098306484923,ok
62,B8,medium,33,2421,0.013630731102850062,ok
62,B8,none,679,2421,0.2804626187525816,ok
62,B8,small,55,2421,0.02271788517141677,ok
63,B4,large,15,1110,0.013513513513513514,sparse
63,B4,medium,25,1110,0.02252252252252252,ok
63,B4,none,285,1110,0.25675675675675674,ok
63,B4,small,45,1110,0.04054054054054054,ok
63,B6,large,5,1110,0.0045045045045045045,sparse
63,B6,medium,20,1110,0.018018018018018018,sparse
63,B6,none,307,1110,0.2765765765765766,ok
63,B6,small,38,1110,0.03423423423423423,ok
63,B8,large,17,1110,0.015315315315315315,sparse
63,B8,medium,18,1110,0.016216216216216217,sparse
63,B8,none,316,1110,0.28468468468468466,ok
63,B8,small,19,1110,0.017117117117117116,sparse
65,B4,large,1,198,0.005050505050505051,sparse
65,B4,none,59,198,0.29797979797979796,ok
65,B4,small,6,198,0.030303030303030304,sparse
65,B6,medium,1,198,0.005050505050505051,sparse
65,B6,none,61,198,0.30808080808080807,ok
65,B6,small,4,198,0.020202020202020204,sparse
65,B8,medium,1,198,0.005050505050505051,sparse
65,B8,none,64,198,0.32323232323232326,ok
65,B8,small,1,198,0.005050505050505051,sparse
