method,n,tail_rate_abs_error_gt5ns,mean_tail_probability_gt5ns,tail_probability_brier,tail_probability_ece,tail_capture_at_95_acceptance,accepted_tail_rate_at_95_acceptance,tail_rate_abs_error_gt5ns_ci_low,tail_rate_abs_error_gt5ns_ci_high,mean_tail_probability_gt5ns_ci_low,mean_tail_probability_gt5ns_ci_high,tail_probability_brier_ci_low,tail_probability_brier_ci_high,tail_probability_ece_ci_low,tail_probability_ece_ci_high,tail_capture_at_95_acceptance_ci_low,tail_capture_at_95_acceptance_ci_high,accepted_tail_rate_at_95_acceptance_ci_low,accepted_tail_rate_at_95_acceptance_ci_high
cnn_1d_heteroskedastic,11460,0.0147469458987783,0.0031762106854554,0.0135529466910657,0.0115707352133228,0.3905325443786982,0.0094608248369615,0.0125175347177362,0.017062728954757,0.00174696934653,0.0050050719525113,0.0114544575727019,0.0156345375918511,0.0103470058319689,0.0126272448520692,0.3237950937950938,0.4745194429122999,0.007303964792463,0.0114632501685772
control_amplitude_only_ridge,11460,0.0219895287958115,0.0079690192499472,0.0219622679917609,0.0190829748361917,0.0436507936507936,0.0221364930651235,0.0144384845478449,0.0321461895572575,0.005674246380283,0.0099006914847276,0.0144655095715185,0.0319989311113671,0.0142116055074136,0.0282439072444416,0.0205479452054794,0.0900984761357101,0.013844632262301,0.0329967400811004
control_phase_scrambled_cnn,11460,0.0152705061082024,0.0042639173529088,0.0145456330809234,0.0110065887552936,0.3657142857142857,0.0101956461835216,0.0125084516565246,0.0182499445452932,0.0020612119262033,0.0071753120087497,0.0115428615290142,0.0176503537388211,0.0093851660170863,0.0123361772149337,0.3083173076923077,0.4512903225806451,0.0074616814391754,0.0128011449471257
control_run_only_width,11460,0.0293193717277486,0.0044805437780877,0.02903589288436,0.0248388279496609,0.0,0.0293193717277486,0.0151277646974047,0.0505186079527881,0.0036059420394999,0.0055169522141448,0.015025717188434,0.0499449069504432,0.0112149137634694,0.0449498219909392,0.0,0.0419015261223124,0.0151603116047213,0.0505186079527881
control_sample_permuted_cnn,11460,0.0150959860383944,0.0028299253756518,0.0139069111877697,0.0122660606627425,0.3988439306358382,0.0095526775052815,0.0123958938601588,0.0179592770533058,0.0016047407550845,0.0044875895849101,0.0114996945584939,0.0163818249309466,0.0106749932030186,0.0136178812617876,0.3116883116883117,0.4709677419354838,0.0071372129279846,0.0122372310151491
control_shuffled_target_ridge,11460,0.0231239092495637,0.0056907119126023,0.0227411239951329,0.0174331973369613,0.1433962264150943,0.0208505557086433,0.0146218077769838,0.0346494616615742,0.0047574646654806,0.0067901862598105,0.0144904233533621,0.033888204272563,0.0102305064850321,0.0278450400980753,0.0818107707509881,0.1771969002901205,0.0133121343889316,0.0317061685763616
gated_waveform_tabular_cnn,11460,0.0194589877835951,0.0099265726200204,0.0183804531475046,0.0095324151635746,0.2869955156950672,0.0146045742628823,0.014531997472696,0.0250630613296293,0.0084775958354475,0.0114572150042719,0.0135470814956565,0.0241392192453002,0.0057446367514172,0.0184098378504797,0.2018813970905294,0.3782780320366131,0.0097467553131099,0.0210011485178007
gradient_boosted_trees_conformal,11460,0.0146596858638743,0.0045942372145829,0.011795842117469,0.0100654486492913,0.5059523809523809,0.0076237714705612,0.0119966929170939,0.0173544238696959,0.0035464064394768,0.0056103310883083,0.009818745694515,0.0138828610885991,0.0082381827425167,0.0118378493682945,0.4757281553398058,0.5294117647058824,0.0064155131397044,0.0090952336725933
mlp_heteroskedastic,11460,0.0167539267015706,0.0069352075339286,0.0151795124882552,0.009818719167642,0.375,0.0110223201984017,0.0135278687473165,0.0205240807980245,0.0049945515704031,0.0095534174788406,0.0119801325723042,0.0191131138933242,0.0076480717759621,0.0117756460948162,0.2666346153846153,0.4748964146795196,0.0077617307122914,0.0158965452034607
ridge_conformal,11460,0.0137870855148342,0.0022237356705038,0.012636068623123,0.0115633498443304,0.3544303797468354,0.0093689721686415,0.0122693364742834,0.0154982702793329,0.0014872088069242,0.0029889849545075,0.0114230601608905,0.0140440486386729,0.010348734493997,0.0133897601514383,0.2847222222222222,0.435064935064935,0.0075376228629403,0.0112030301130379
traditional_stratified_robust_width,11460,0.0148342059336823,0.003989311542082,0.0139983291685233,0.012248683016503,0.2058823529411764,0.0122783083219645,0.0128205128205128,0.016929931146213,0.0023603016654654,0.005598518257683,0.0119476862805287,0.0163193931140468,0.0102143143663576,0.014862569991304,0.1616766467065868,0.2681598310396511,0.0099745909993712,0.0146563342318059
