method,family,is_control,n_heldout_runs,n_pulses,mae_ns,bias_median_ns,pred_sigma_median_ns,pull_sigma68,pull_rms,coverage68,coverage90,coverage95,ece_abs,primary_score,primary_score_ci_low,primary_score_ci_high,pull_sigma68_ci_low,pull_sigma68_ci_high,coverage68_ci_low,coverage68_ci_high,coverage90_ci_low,coverage90_ci_high,coverage95_ci_low,coverage95_ci_high,pred_sigma_median_ns_ci_low,pred_sigma_median_ns_ci_high,mae_ns_ci_low,mae_ns_ci_high,n,tail_rate_abs_error_gt5ns,mean_tail_probability_gt5ns,tail_probability_brier,tail_probability_ece,tail_capture_at_95_acceptance,accepted_tail_rate_at_95_acceptance,tail_rate_abs_error_gt5ns_ci_low,tail_rate_abs_error_gt5ns_ci_high,mean_tail_probability_gt5ns_ci_low,mean_tail_probability_gt5ns_ci_high,tail_probability_brier_ci_low,tail_probability_brier_ci_high,tail_probability_ece_ci_low,tail_probability_ece_ci_high,tail_capture_at_95_acceptance_ci_low,tail_capture_at_95_acceptance_ci_high,accepted_tail_rate_at_95_acceptance_ci_low,accepted_tail_rate_at_95_acceptance_ci_high
gated_waveform_tabular_cnn,new_gated_waveform_tabular_cnn,False,7,11460,1.539635448685281,-0.2104912849615487,1.5835229298871014,1.000952677840056,1.3131661611526544,0.6723385689354275,0.8877835951134381,0.9342059336823736,0.0383719022687608,0.0551598094076878,0.0446108705280974,0.2951149617255557,0.9085613166133016,1.111155129269356,0.6213633172101732,0.7158145065398336,0.8405214845676847,0.924601575409028,0.9006225240520657,0.9598695652173912,1.526525629417773,1.651592134137624,1.412026120003841,1.694886204385042,11460,0.0194589877835951,0.0099265726200204,0.0183804531475046,0.0095324151635746,0.2869955156950672,0.0146045742628823,0.014531997472696,0.0250630613296293,0.0084775958354475,0.0114572150042719,0.0135470814956565,0.0241392192453002,0.0057446367514172,0.0184098378504797,0.2018813970905294,0.3782780320366131,0.0097467553131099,0.0210011485178007
ridge_conformal,ridge,False,7,11460,1.0273966872253102,0.049882108138064,1.163172962090218,0.9902478759661796,1.9928370458583244,0.6841186736474695,0.8859511343804537,0.931239092495637,0.0342284467713788,0.0556123004261015,0.0467750990888742,0.1954037444540834,0.924793933105328,1.0672181997475445,0.6473912537830109,0.7150623885918004,0.8586411797270518,0.9042116276663688,0.9082776501761596,0.9477323741380808,1.1137315122040308,1.2040086631743072,0.9668645617220156,1.1132452329991718,11460,0.0137870855148342,0.0022237356705038,0.012636068623123,0.0115633498443304,0.3544303797468354,0.0093689721686415,0.0122693364742834,0.0154982702793329,0.0014872088069242,0.0029889849545075,0.0114230601608905,0.0140440486386729,0.010348734493997,0.0133897601514383,0.2847222222222222,0.435064935064935,0.0075376228629403,0.0112030301130379
control_shuffled_target_ridge,control_shuffled_target,True,7,11460,1.6800395586885548,-0.4866775196707955,1.7873263039604668,0.9918735426278972,1.4308494642504916,0.662739965095986,0.8912739965095986,0.9357766143106456,0.0429094240837696,0.0689091444954772,0.0644158319039348,0.4830925625140234,0.9047080418750884,1.2078269533583932,0.5594613501224204,0.7234488402891603,0.8218564518013097,0.932205047697686,0.8896893823712632,0.9623089983022072,1.746786681510207,1.8262445305274808,1.4763924458537006,2.020617755667581,11460,0.0231239092495637,0.0056907119126023,0.0227411239951329,0.0174331973369613,0.1433962264150943,0.0208505557086433,0.0146218077769838,0.0346494616615742,0.0047574646654806,0.0067901862598105,0.0144904233533621,0.033888204272563,0.0102305064850321,0.0278450400980753,0.0818107707509881,0.1771969002901205,0.0133121343889316,0.0317061685763616
mlp_heteroskedastic,mlp,False,7,11460,1.296942628971471,-0.0426274956550791,1.286898809197644,0.9972047731125366,1.4071760453549529,0.6774869109947644,0.8727748691099476,0.9218150087260036,0.0606232111692843,0.0762874261487241,0.0635458336945681,0.3455387523993302,0.907300062117555,1.1442180373046682,0.6219283356907119,0.7228535353535354,0.8254476190476191,0.9079686270984748,0.893449990061618,0.9440503368350716,1.1773405372914556,1.4045222985669046,1.1336645125551068,1.5166890249259994,11460,0.0167539267015706,0.0069352075339286,0.0151795124882552,0.009818719167642,0.375,0.0110223201984017,0.0135278687473165,0.0205240807980245,0.0049945515704031,0.0095534174788406,0.0119801325723042,0.0191131138933242,0.0076480717759621,0.0117756460948162,0.2666346153846153,0.4748964146795196,0.0077617307122914,0.0158965452034607
control_amplitude_only_ridge,control_amplitude_only,True,7,11460,1.6243910450140806,-0.2804177055369194,1.608722778957018,0.9989298149327388,1.7873201998136203,0.6768760907504363,0.8691099476439791,0.9164048865619546,0.0703090750436299,0.0874664879004613,0.0805328389593297,0.5080807050530785,0.879453312407423,1.2246984060815471,0.5956211133209031,0.7457044673539519,0.8008906859450596,0.9227191347427284,0.8678452989160196,0.9542073454207344,1.5356701781065003,1.6788913647993076,1.445169451291772,1.884435456813598,11460,0.0219895287958115,0.0079690192499472,0.0219622679917609,0.0190829748361917,0.0436507936507936,0.0221364930651235,0.0144384845478449,0.0321461895572575,0.005674246380283,0.0099006914847276,0.0144655095715185,0.0319989311113671,0.0142116055074136,0.0282439072444416,0.0205479452054794,0.0900984761357101,0.013844632262301,0.0329967400811004
gradient_boosted_trees_conformal,gradient_boosted_trees,False,7,11460,0.9127719075523862,0.0676677048099104,0.9947706962063316,1.018324857150609,2.810071477399728,0.6712914485165794,0.8705061082024432,0.9176265270506108,0.0732759162303664,0.1015484803430387,0.0655746511975774,0.3210597318972521,0.9408875855968144,1.1267639424343292,0.6288625433333837,0.7006309171103339,0.8321995464852607,0.8961439077718147,0.88612787562143,0.9385783298826778,0.9449020481799204,1.0342997537355336,0.8526741479299179,1.0014427450350838,11460,0.0146596858638743,0.0045942372145829,0.011795842117469,0.0100654486492913,0.5059523809523809,0.0076237714705612,0.0119966929170939,0.0173544238696959,0.0035464064394768,0.0056103310883083,0.009818745694515,0.0138828610885991,0.0082381827425167,0.0118378493682945,0.4757281553398058,0.5294117647058824,0.0064155131397044,0.0090952336725933
cnn_1d_heteroskedastic,cnn_1d,False,7,11460,1.09363389083943,0.0858038336933084,1.0641630065420122,1.0100550799633166,1.6261582937974548,0.6731239092495637,0.8517452006980802,0.8962478184991274,0.1115830715532286,0.1322797815819653,0.1117094864641631,0.3356807754049546,0.9213650560290978,1.107346659586152,0.631575084747674,0.7071953010279002,0.8176595520344898,0.8770292718222249,0.8690517142529527,0.9171455938697318,1.0405279287824736,1.080887563388318,1.0116264019263566,1.212744962223291,11460,0.0147469458987783,0.0031762106854554,0.0135529466910657,0.0115707352133228,0.3905325443786982,0.0094608248369615,0.0125175347177362,0.017062728954757,0.00174696934653,0.0050050719525113,0.0114544575727019,0.0156345375918511,0.0103470058319689,0.0126272448520692,0.3237950937950938,0.4745194429122999,0.007303964792463,0.0114632501685772
control_run_only_width,control_run_only,True,7,11460,1.637585197406115,0.004739393355944,1.735834350487364,1.003754976297763,1.4446852205510832,0.6279232111692845,0.8705061082024432,0.9216404886561954,0.1126301919720768,0.1337435117747133,0.0920973244660833,0.4755228306200381,0.9305429283878216,1.1791515992355346,0.5692323566231393,0.6695594906375112,0.8127350008173941,0.9052081024569798,0.8726415622624181,0.9521247498252368,1.6954220888839444,1.8286382159443844,1.4675508079275894,1.9092629737292648,11460,0.0293193717277486,0.0044805437780877,0.02903589288436,0.0248388279496609,0.0,0.0293193717277486,0.0151277646974047,0.0505186079527881,0.0036059420394999,0.0055169522141448,0.015025717188434,0.0499449069504432,0.0112149137634694,0.0449498219909392,0.0,0.0419015261223124,0.0151603116047213,0.0505186079527881
control_sample_permuted_cnn,control_sample_permuted,True,7,11460,1.1184242441760712,0.090035517633833,1.0514819097834214,1.0270473333223298,1.654727425342222,0.6565445026178011,0.8476439790575916,0.893630017452007,0.1348815008726003,0.1724436532927643,0.1078412517750991,0.4201758934546251,0.9368615742996154,1.1610208959518766,0.6072295002426007,0.6972187938866916,0.8077720551939286,0.875987470052843,0.863046885217947,0.9174282984468204,0.9964138384760276,1.0971239231266858,0.9920761212041715,1.2927868402140352,11460,0.0150959860383944,0.0028299253756518,0.0139069111877697,0.0122660606627425,0.3988439306358382,0.0095526775052815,0.0123958938601588,0.0179592770533058,0.0016047407550845,0.0044875895849101,0.0114996945584939,0.0163818249309466,0.0106749932030186,0.0136178812617876,0.3116883116883117,0.4709677419354838,0.0071372129279846,0.0122372310151491
control_phase_scrambled_cnn,control_phase_scrambled,True,7,11460,1.1562718621953896,0.0740000552860706,1.0827281064786174,1.0282623152330608,1.6710622082680218,0.6540139616055847,0.8458115183246073,0.893717277486911,0.1391572425828969,0.1782468388807439,0.1059657152561096,0.445724967785259,0.9111693024186892,1.1643587871621262,0.6007837917775806,0.701208099370427,0.8024596237815739,0.8793789422610383,0.8572498662386303,0.9217559632402664,1.0241387096138783,1.136880013031321,1.0203383243569664,1.3446315855151167,11460,0.0152705061082024,0.0042639173529088,0.0145456330809234,0.0110065887552936,0.3657142857142857,0.0101956461835216,0.0125084516565246,0.0182499445452932,0.0020612119262033,0.0071753120087497,0.0115428615290142,0.0176503537388211,0.0093851660170863,0.0123361772149337,0.3083173076923077,0.4512903225806451,0.0074616814391754,0.0128011449471257
