run,weak_label_name,n
31,pid_proxy_high_calibrated_range_energy_residual,6734
31,pid_proxy_low_calibrated_range_energy_residual,6734
32,pid_proxy_high_calibrated_range_energy_residual,6828
32,pid_proxy_low_calibrated_range_energy_residual,6828
33,pid_proxy_high_calibrated_range_energy_residual,11933
33,pid_proxy_low_calibrated_range_energy_residual,11933
34,pid_proxy_high_calibrated_range_energy_residual,8345
34,pid_proxy_low_calibrated_range_energy_residual,8345
35,pid_proxy_high_calibrated_range_energy_residual,2757
35,pid_proxy_low_calibrated_range_energy_residual,2757
36,pid_proxy_high_calibrated_range_energy_residual,2452
36,pid_proxy_low_calibrated_range_energy_residual,2452
37,pid_proxy_high_calibrated_range_energy_residual,5734
37,pid_proxy_low_calibrated_range_energy_residual,5734
39,pid_proxy_high_calibrated_range_energy_residual,3291
39,pid_proxy_low_calibrated_range_energy_residual,3291
40,pid_proxy_high_calibrated_range_energy_residual,3394
40,pid_proxy_low_calibrated_range_energy_residual,3394
41,pid_proxy_high_calibrated_range_energy_residual,3740
41,pid_proxy_low_calibrated_range_energy_residual,3740
42,pid_proxy_high_calibrated_range_energy_residual,4243
42,pid_proxy_low_calibrated_range_energy_residual,4243
44,pid_proxy_high_calibrated_range_energy_residual,462
44,pid_proxy_low_calibrated_range_energy_residual,462
45,pid_proxy_high_calibrated_range_energy_residual,5694
45,pid_proxy_low_calibrated_range_energy_residual,5694
46,pid_proxy_high_calibrated_range_energy_residual,167
46,pid_proxy_low_calibrated_range_energy_residual,167
47,pid_proxy_high_calibrated_range_energy_residual,1271
47,pid_proxy_low_calibrated_range_energy_residual,1271
48,pid_proxy_high_calibrated_range_energy_residual,3261
48,pid_proxy_low_calibrated_range_energy_residual,3261
49,pid_proxy_high_calibrated_range_energy_residual,3442
49,pid_proxy_low_calibrated_range_energy_residual,3442
50,pid_proxy_high_calibrated_range_energy_residual,8523
50,pid_proxy_low_calibrated_range_energy_residual,8523
51,pid_proxy_high_calibrated_range_energy_residual,3551
51,pid_proxy_low_calibrated_range_energy_residual,3551
52,pid_proxy_high_calibrated_range_energy_residual,1709
52,pid_proxy_low_calibrated_range_energy_residual,1709
53,pid_proxy_high_calibrated_range_energy_residual,7807
53,pid_proxy_low_calibrated_range_energy_residual,7807
54,pid_proxy_high_calibrated_range_energy_residual,7375
54,pid_proxy_low_calibrated_range_energy_residual,7375
55,pid_proxy_high_calibrated_range_energy_residual,4185
55,pid_proxy_low_calibrated_range_energy_residual,4185
56,pid_proxy_high_calibrated_range_energy_residual,9682
56,pid_proxy_low_calibrated_range_energy_residual,9682
57,pid_proxy_high_calibrated_range_energy_residual,3192
57,pid_proxy_low_calibrated_range_energy_residual,3192
58,pid_proxy_high_calibrated_range_energy_residual,3949
58,pid_proxy_low_calibrated_range_energy_residual,3949
59,pid_proxy_high_calibrated_range_energy_residual,3393
59,pid_proxy_low_calibrated_range_energy_residual,3393
60,pid_proxy_high_calibrated_range_energy_residual,2468
60,pid_proxy_low_calibrated_range_energy_residual,2468
61,pid_proxy_high_calibrated_range_energy_residual,2756
61,pid_proxy_low_calibrated_range_energy_residual,2756
62,pid_proxy_high_calibrated_range_energy_residual,2910
62,pid_proxy_low_calibrated_range_energy_residual,2910
63,pid_proxy_high_calibrated_range_energy_residual,3643
63,pid_proxy_low_calibrated_range_energy_residual,3643
64,pid_proxy_high_calibrated_range_energy_residual,2978
64,pid_proxy_low_calibrated_range_energy_residual,2978
65,pid_proxy_high_calibrated_range_energy_residual,2944
65,pid_proxy_low_calibrated_range_energy_residual,2944
