heldout_run,train_rows,test_rows,train_positive,test_positive,pca_variance_4
31,15214,480,7607,240,
32,15214,480,7607,240,
33,15214,480,7607,240,
34,15214,480,7607,240,
35,15214,480,7607,240,
36,15214,480,7607,240,
37,15214,480,7607,240,
39,15214,480,7607,240,
40,15214,480,7607,240,
41,15214,480,7607,240,
42,15214,480,7607,240,
44,15214,480,7607,240,
45,15214,480,7607,240,
46,15360,334,7680,167,
47,15214,480,7607,240,
48,15214,480,7607,240,
49,15214,480,7607,240,
50,15214,480,7607,240,
51,15214,480,7607,240,
52,15214,480,7607,240,
53,15214,480,7607,240,
54,15214,480,7607,240,
55,15214,480,7607,240,
56,15214,480,7607,240,
57,15214,480,7607,240,
58,15214,480,7607,240,
59,15214,480,7607,240,
60,15214,480,7607,240,
61,15214,480,7607,240,
62,15214,480,7607,240,
63,15214,480,7607,240,
64,15214,480,7607,240,
65,15214,480,7607,240,
