method,family,n_events,n_runs,roc_auc,average_precision,brier,ece,purity_at_fixed_efficiency,bootstrap_valid,auc_ci,ap_ci,brier_ci,ece_ci,purity_ci,topology_bootstrap_valid,topology_auc_ci,topology_ap_ci,topology_purity_ci
traditional_deltae_depth_ridge,head_to_head,15694,33,0.9861837052515559,0.9851952941720108,0.10199223973476276,0.2214628465052974,0.9897508672343109,500,"[0.9773019798512192, 0.9940060243854816]","[0.9770904217244204, 0.9924480346853777]","[0.09289293788625513, 0.11139738062742721]","[0.20690139656552498, 0.24694259615088585]","[0.9679147264826374, 0.9963672881102126]",500,"[0.9073668132793196, 0.9885062380415249]","[0.8891715108445017, 0.9874274253329358]","[0.8325892857142857, 0.9927775745369559]"
ridge,head_to_head,15694,33,0.9615155946426601,0.9323479307569189,0.11655936467978402,0.21962414859932056,0.9734801488833746,500,"[0.9454602942301806, 0.9761509614982825]","[0.917759933906661, 0.9476708774150331]","[0.10632410034903494, 0.12763444805233395]","[0.1934609604022205, 0.2541342526655524]","[0.9290523378237424, 0.9806296154815314]",500,"[0.8457138129012484, 0.9739178187372152]","[0.7361220073035696, 0.944899219503209]","[0.7397032232704402, 0.9787610505205963]"
gradient_boosted_trees,head_to_head,15694,33,0.9872802062914434,0.9869474854176118,0.0937729441468811,0.2182271326248846,0.997933227344992,500,"[0.9802772130235435, 0.993838563218814]","[0.9806424537174195, 0.9936318228000138]","[0.08540447952764066, 0.10201347051770206]","[0.20738403699124247, 0.24304600883291425]","[0.9891605078675794, 0.9996785354052447]",500,"[0.9147538179747343, 0.9922600377345154]","[0.8962549155237844, 0.9909896170364354]","[0.8183748674443266, 0.9989749120283195]"
mlp,head_to_head,15694,33,0.9874229662039273,0.9875928256339586,0.0936285311372055,0.21844410906168124,0.9957170050761421,500,"[0.9804813420900108, 0.9940026955403577]","[0.9808929730991333, 0.9938189781184334]","[0.08492572317771126, 0.10262390511955823]","[0.205235589225713, 0.24374661270047493]","[0.9869179255567668, 0.9981669821567581]",500,"[0.9355478109152161, 0.9917070430753406]","[0.9004600977754744, 0.9913578860897897]","[0.8567845117845118, 0.9969213314571461]"
cnn_1d,head_to_head,15694,33,0.9202012852241063,0.8890784620769676,0.13674577738393456,0.17628544354105638,0.856343792633015,500,"[0.8910776522410107, 0.9465716242763059]","[0.8529893352815192, 0.9178792597647197]","[0.12279466218684341, 0.15000010106467895]","[0.14586821300945446, 0.2103491833051561]","[0.8133407301510749, 0.9131301627401137]",500,"[0.8726710004525777, 0.9269125547431469]","[0.7682033026405068, 0.8976891153121997]","[0.771313752276867, 0.8623322290252166]"
support_residual_hybrid_mlp_new,head_to_head,15694,33,0.996936764155314,0.9950614725321596,0.0804873843767922,0.24960985266880653,0.9982506361323156,500,"[0.994482276646024, 0.9985592328301327]","[0.9922305275689954, 0.9977056236256786]","[0.07597233757942416, 0.08605754614932935]","[0.24062747048212432, 0.2589860873492891]","[0.9969826661355151, 0.9992042081272086]",500,"[0.9720368516646798, 0.9976671965331521]","[0.9312369006248926, 0.9971346440515217]","[0.952988038277512, 0.9990013800069756]"
sentinel_charge_only_ridge,sentinel,15694,33,0.9837650449061572,0.9826599262290248,0.10622616311277738,0.22770168593022627,0.9886596314380217,500,"[0.9739839109909497, 0.9916454040412047]","[0.9739454946179995, 0.9899886232942053]","[0.09626036533935167, 0.11719257391702399]","[0.2107574750303923, 0.24627392022283937]","[0.9740239778665847, 0.9940127282658858]",500,"[0.9414457070707071, 0.985202356519569]","[0.9133343960032761, 0.9838595184631808]","[0.8658077709611453, 0.9914946940793962]"
sentinel_depth_only_ridge,sentinel,15694,33,0.8054530177785746,0.7442959429037412,0.22201109639266664,0.11275067178837922,0.744337720858532,500,"[0.7749845538416362, 0.8333639980622579]","[0.7130724371794316, 0.7771096896416965]","[0.21525200209521433, 0.23009162438501574]","[0.08220359863092709, 0.14167177228546188]","[0.7133020157955587, 0.7763453548510812]",500,"[0.5491693902156085, 0.8458967112032081]","[0.5157388161957205, 0.7833706001269837]","[0.49682504995004995, 0.7591912109416394]"
sentinel_topology_only_ridge,sentinel,15694,33,0.7867279777224053,0.8611314725479188,0.13954237229896926,0.12630173023048347,0.5364733888794423,500,"[0.7332416298064784, 0.845377243542698]","[0.8197464948174118, 0.8996170015773371]","[0.11678203660086114, 0.1622120026463847]","[0.08395938801094963, 0.16977136306327859]","[0.5101836181399935, 0.9826556949346971]",500,"[0.5878568149909025, 0.7925202553678933]","[0.6208860860861573, 0.864596558862214]","[0.5122151380140318, 0.5657438648581775]"
sentinel_group_event_order_ridge,sentinel,15694,33,0.501366397744918,0.49244940194516595,0.2953380089463206,0.18501702164235645,0.5017184877307969,500,"[0.4903829185159678, 0.5114482115983062]","[0.48271791579182155, 0.5034229650233635]","[0.286419491536123, 0.30513881834773354]","[0.16751226338454359, 0.2061187530230053]","[0.4974038254077914, 0.5081410812881532]",500,"[0.4968667369932915, 0.5385420669670757]","[0.4794403410284305, 0.5589736897777735]","[0.4670707656612529, 0.5383900773728563]"
