run,target,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct
58,downstream_B4B6B8_charge_proxy,traditional_loglinear,72,-0.009817509341215851,0.2741103294437071,0.6354818206450038,0.2916666666666667
58,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,72,0.1056600142032908,0.4365170193492112,1.0073738807698522,0.2222222222222222
58,downstream_B4B6B8_charge_proxy,external_ml_hgb,72,-0.05294976140632305,0.25125311007251167,0.40531844592627075,0.2916666666666667
58,same_event_B2_duplicate_charge,p04_duplicate_ml_b2_only,72,-0.004070802790048301,0.027180412719768572,0.03405956744665803,0.9861111111111112
59,downstream_B4B6B8_charge_proxy,traditional_loglinear,749,0.06580473641298351,0.24048925475835464,0.3934849788386164,0.32443257676902537
59,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,749,0.048013051585035896,0.257628902555844,0.5184910451516519,0.31241655540720964
59,downstream_B4B6B8_charge_proxy,external_ml_hgb,749,0.04535753449434591,0.2374279803497174,0.29723236757992544,0.3377837116154873
59,same_event_B2_duplicate_charge,p04_duplicate_ml_b2_only,749,0.0012361165964743927,0.025422103511124984,0.15194102985883043,0.9238985313751669
60,downstream_B4B6B8_charge_proxy,traditional_loglinear,802,-0.11853175032534316,0.23454301652850384,0.31167466004490146,0.286783042394015
60,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,802,-0.14100748880595237,0.2673516070693274,0.6171913775159055,0.2506234413965087
60,downstream_B4B6B8_charge_proxy,external_ml_hgb,802,-0.09475510919415607,0.21382220041331626,0.23561111327885093,0.32917705735660846
60,same_event_B2_duplicate_charge,p04_duplicate_ml_b2_only,802,-0.0004923110546750141,0.017895949792252223,0.20097635036729866,0.9576059850374065
61,downstream_B4B6B8_charge_proxy,traditional_loglinear,925,-0.0623915576302237,0.20844323909393667,0.24573465712821244,0.33945945945945943
61,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,925,-0.08819575357047352,0.2286782202140373,0.35349619639904334,0.3081081081081081
61,downstream_B4B6B8_charge_proxy,external_ml_hgb,925,-0.032567399768180995,0.20119326605484372,0.22320109456366805,0.3545945945945946
61,same_event_B2_duplicate_charge,p04_duplicate_ml_b2_only,925,-0.00044448658866453467,0.017291618935606403,0.05451934598603224,0.9567567567567568
62,downstream_B4B6B8_charge_proxy,traditional_loglinear,798,0.0006333274788059851,0.19891265410930195,0.3380545512462282,0.3508771929824561
62,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,798,-0.028917584526887134,0.2121978592503542,0.46663437187263823,0.33208020050125314
62,downstream_B4B6B8_charge_proxy,external_ml_hgb,798,0.012447328952564375,0.19737257816514056,0.2471978412120689,0.3659147869674185
62,same_event_B2_duplicate_charge,p04_duplicate_ml_b2_only,798,-0.0008851352506819537,0.02069171142560502,0.2887416956774651,0.9536340852130326
63,downstream_B4B6B8_charge_proxy,traditional_loglinear,365,0.05150532185418692,0.22197140795871745,0.47655181417658204,0.33424657534246577
63,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,365,0.059146137911545466,0.26576254165387475,0.6675076801749688,0.29041095890410956
63,downstream_B4B6B8_charge_proxy,external_ml_hgb,365,0.016359468534658736,0.22151717517393948,0.3442912432560878,0.3424657534246575
63,same_event_B2_duplicate_charge,p04_duplicate_ml_b2_only,365,-0.0011341719314473919,0.02993847796549143,0.09272297835295998,0.9123287671232877
65,downstream_B4B6B8_charge_proxy,traditional_loglinear,63,0.10475058757814558,0.2924866751946968,0.7220868837025812,0.31746031746031744
65,downstream_B4B6B8_charge_proxy,p04_duplicate_ml_transfer,63,0.22930093100311325,0.35305470538222905,1.1019824863388894,0.1746031746031746
65,downstream_B4B6B8_charge_proxy,external_ml_hgb,63,0.11228721229351635,0.26417901050382286,0.4225883634098638,0.25396825396825395
65,same_event_B2_duplicate_charge,p04_duplicate_ml_b2_only,63,-0.0005046155920801976,0.030289548548031772,0.10244841566203162,0.9047619047619048
