method,proxy_axis,nmi
residual_gated_shape_cnn_new,energy_bin,0.20466159198692138
mlp,energy_bin,0.15556928946723514
gradient_boosted_trees,energy_bin,0.15099319175284096
ridge,energy_bin,0.11554367485763013
1d_cnn,energy_bin,0.1006445157218454
contrastive_sequence_encoder,energy_bin,0.06198934509939007
traditional_pca_cfd_dtw_cluster,energy_bin,0.05593550705691201
compact_transformer,energy_bin,0.02708179925462389
traditional_pca_cfd_dtw_cluster,pedestal_drift_bin,0.08876980478241032
contrastive_sequence_encoder,pedestal_drift_bin,0.08235816670888367
residual_gated_shape_cnn_new,pedestal_drift_bin,0.04157821812849202
1d_cnn,pedestal_drift_bin,0.03778479057479001
compact_transformer,pedestal_drift_bin,0.028304959905224778
mlp,pedestal_drift_bin,0.01182560876417391
gradient_boosted_trees,pedestal_drift_bin,0.011709328971985995
ridge,pedestal_drift_bin,0.007427515731891169
contrastive_sequence_encoder,pid_sideband,0.22507308596238124
traditional_pca_cfd_dtw_cluster,pid_sideband,0.18417056067803445
residual_gated_shape_cnn_new,pid_sideband,0.11760522046067272
1d_cnn,pid_sideband,0.09967907990854039
compact_transformer,pid_sideband,0.06459539744108987
mlp,pid_sideband,0.050769309911067866
gradient_boosted_trees,pid_sideband,0.05033898777588878
ridge,pid_sideband,0.033778257452281045
residual_gated_shape_cnn_new,pileup_separation_bin,0.2785197697310685
1d_cnn,pileup_separation_bin,0.27532060401190084
contrastive_sequence_encoder,pileup_separation_bin,0.2719586587517402
traditional_pca_cfd_dtw_cluster,pileup_separation_bin,0.21092119969004633
compact_transformer,pileup_separation_bin,0.20710614748900819
gradient_boosted_trees,pileup_separation_bin,0.1767916591459597
mlp,pileup_separation_bin,0.1739376151850051
ridge,pileup_separation_bin,0.055071023625024966
compact_transformer,saturation_onset_bin,0.02403123375425857
ridge,saturation_onset_bin,0.019503755381697085
traditional_pca_cfd_dtw_cluster,saturation_onset_bin,0.019467198409211146
contrastive_sequence_encoder,saturation_onset_bin,0.01377070051852082
1d_cnn,saturation_onset_bin,0.01177510602264463
residual_gated_shape_cnn_new,saturation_onset_bin,0.011547821177449968
gradient_boosted_trees,saturation_onset_bin,0.007460945813319519
mlp,saturation_onset_bin,0.0073047376621393585
