method,run,n,accuracy,balanced_accuracy,macro_f1,adjusted_rand,proxy_coupling_max_nmi
1d_cnn,42,657,0.6514459665144596,0.6455823980785949,0.6209340614351668,0.3252398532894551,0.33975583028694845
1d_cnn,50,680,0.7102941176470589,0.6658433663272104,0.6606654475921048,0.4228285307292354,0.3993446476658545
1d_cnn,57,670,0.7074626865671642,0.6966404007369007,0.6824288917500124,0.43072593046020896,0.31157880321330855
1d_cnn,58,654,0.7048929663608563,0.6893245252283021,0.6944554111692547,0.38931001473378796,0.3122377301220107
1d_cnn,60,720,0.5486111111111112,0.6183810149729009,0.5966087915392818,0.14052610240027003,0.22415409126272742
1d_cnn,62,720,0.5791666666666667,0.6183492128450253,0.632090792957475,0.15594582395183304,0.19208490069872863
1d_cnn,64,720,0.6388888888888888,0.6874747474747475,0.6844389095277668,0.2244135432551107,0.23566187637061634
1d_cnn,65,645,0.6713178294573643,0.7070178865909426,0.6958417073237634,0.30048403810353985,0.2991394004433341
compact_transformer,42,657,0.5266362252663622,0.5183125385432689,0.4066400913384598,0.24665427591924147,0.33929389128951354
compact_transformer,50,680,0.5823529411764706,0.5157573621553885,0.42465284147711463,0.3215271950969982,0.3544996835876851
compact_transformer,57,670,0.5671641791044776,0.5281623655268027,0.4432080371401374,0.3213592182067486,0.2900267054085218
compact_transformer,58,654,0.5611620795107034,0.520714678257394,0.43249725399691946,0.2976027132169378,0.2545325734624651
compact_transformer,60,720,0.4111111111111111,0.49481933241524034,0.33898871836103567,0.07549934392746017,0.1199602420573032
compact_transformer,62,720,0.42777777777777776,0.4855274773780623,0.37029248930425607,0.10300001698764223,0.10351958211644863
compact_transformer,64,720,0.4097222222222222,0.5063636363636363,0.3675434359277646,0.1540231044464506,0.12563324767013523
compact_transformer,65,645,0.42790697674418604,0.5072872714729005,0.37483779850905785,0.23340085931609994,0.17090467950324617
contrastive_sequence_encoder,42,657,0.6103500761035008,0.6415817739562668,0.6351707751179873,0.2670526954338795,0.3097346296947718
contrastive_sequence_encoder,50,680,0.6720588235294118,0.6683924804098855,0.6658682566578251,0.3803050868266515,0.3521132381557
contrastive_sequence_encoder,57,670,0.664179104477612,0.6792021180890524,0.67563460789185,0.3412739551832283,0.32395327138498703
contrastive_sequence_encoder,58,654,0.6743119266055045,0.6893107862195093,0.6828648074362302,0.353000768133111,0.3167196945492175
contrastive_sequence_encoder,60,720,0.4930555555555556,0.5755537358115066,0.5558591466978375,0.11223982655246047,0.3343202034130935
contrastive_sequence_encoder,62,720,0.5263888888888889,0.5719412245109489,0.574457217847769,0.12837479298618512,0.3576385899207143
contrastive_sequence_encoder,64,720,0.5972222222222222,0.6266666666666666,0.6271833411060435,0.1956967354771712,0.3055598924675471
contrastive_sequence_encoder,65,645,0.6589147286821705,0.6624864554124585,0.6653899591351453,0.30498967225401785,0.22996209822062874
gradient_boosted_trees,42,657,0.9878234398782344,0.988657096790971,0.9882776826312802,0.966117930678785,0.21079979514683211
gradient_boosted_trees,50,680,0.9882352941176471,0.9872464983661686,0.9885588782200918,0.9670479694902241,0.2855788529508395
gradient_boosted_trees,57,670,0.9865671641791045,0.986569575928694,0.9863380156676893,0.9650620305949206,0.220241320186519
gradient_boosted_trees,58,654,0.9801223241590215,0.9808739372138653,0.9813014439468659,0.9437662764607241,0.2357789729445552
gradient_boosted_trees,60,720,0.9847222222222223,0.987538601946281,0.987502990176787,0.9558309271384868,0.1685959364595193
gradient_boosted_trees,62,720,0.9763888888888889,0.9768196508622115,0.976727676092933,0.9335619500872071,0.1603445243955409
gradient_boosted_trees,64,720,0.9847222222222223,0.9859595959595959,0.9866246384270807,0.956943819059833,0.1799473391829012
gradient_boosted_trees,65,645,0.9798449612403101,0.9792913997957857,0.9802274179674717,0.9463685560560348,0.17596460570780964
mlp,42,657,0.974124809741248,0.9746222806098567,0.9757521419095186,0.9273825929787364,0.21013729347396495
mlp,50,680,0.9720588235294118,0.9727061026775801,0.9729505120199312,0.9230321481478683,0.272473213276991
mlp,57,670,0.9686567164179104,0.9675901631523709,0.9679840574735505,0.9194687219064979,0.22722623119231983
mlp,58,654,0.9694189602446484,0.969418328973185,0.9707163886475401,0.9155820926225133,0.23543764313123028
mlp,60,720,0.9708333333333333,0.9610420805648491,0.9656836481583727,0.9214666573080744,0.1767255692006667
mlp,62,720,0.9722222222222222,0.9734839705242428,0.9691332506332397,0.9249121939841276,0.1595704286794442
mlp,64,720,0.9777777777777777,0.9806060606060606,0.9819799728541668,0.933178770608076,0.18232505529755189
mlp,65,645,0.9658914728682171,0.9665608852377858,0.9659239047882477,0.9122160951972405,0.1790108602370194
residual_gated_shape_cnn_new,42,657,0.7397260273972602,0.7608354276723952,0.7580177988023906,0.4389513610905069,0.32959511353768833
residual_gated_shape_cnn_new,50,680,0.7661764705882353,0.7595249198946734,0.7597231728568641,0.5232305246056477,0.3848994381905889
residual_gated_shape_cnn_new,57,670,0.7776119402985074,0.7882863030516124,0.7867355507581847,0.5061803612746087,0.3179280590519149
residual_gated_shape_cnn_new,58,654,0.7675840978593272,0.7734552887992636,0.774534332271262,0.4943156649574156,0.33480308927937125
residual_gated_shape_cnn_new,60,720,0.6041666666666666,0.6820548107995975,0.6549794999526691,0.24511274813956319,0.23571172096989781
residual_gated_shape_cnn_new,62,720,0.6486111111111111,0.6756339593104453,0.6840979721286577,0.3023281883860801,0.20894380564634574
residual_gated_shape_cnn_new,64,720,0.7486111111111111,0.753030303030303,0.7588815826929383,0.45508089544883573,0.25184306568929987
residual_gated_shape_cnn_new,65,645,0.7627906976744186,0.755882331654218,0.7618046664325437,0.49363833993709055,0.2684669981615343
ridge,42,657,0.4337899543378995,0.4809915186233645,0.4195128203357481,0.1031577232842573,0.09608024746975481
ridge,50,680,0.4073529411764706,0.45983258185019504,0.38663440672636995,0.07965390200967815,0.10085037190551828
ridge,57,670,0.47761194029850745,0.5091357995243597,0.464858754520007,0.13337147413667724,0.09636233677085213
ridge,58,654,0.5474006116207951,0.5850273190538477,0.5340016929576553,0.19943828657769766,0.138640731223256
ridge,60,720,0.5930555555555556,0.6277974792343737,0.5157718588039651,0.3088919790410899,0.13544869632818887
ridge,62,720,0.5722222222222222,0.6169830282971915,0.5066874588981263,0.25222087695204976,0.15118080627447122
ridge,64,720,0.6097222222222223,0.608989898989899,0.5261727789215422,0.3535379456299677,0.14635024721069362
ridge,65,645,0.5674418604651162,0.5312784332944572,0.48710281662261967,0.289135573769934,0.14752982358673142
traditional_pca_cfd_dtw_cluster,42,657,0.5555555555555556,0.5449974087778348,0.4445860873124049,0.2584387242824053,0.34192275800687977
traditional_pca_cfd_dtw_cluster,50,680,0.5941176470588235,0.5263541666666667,0.4321805688041239,0.31392900431507453,0.3705829796233731
traditional_pca_cfd_dtw_cluster,57,670,0.5955223880597015,0.5605791962174941,0.4820678047700875,0.3373614540334473,0.29660065533738866
traditional_pca_cfd_dtw_cluster,58,654,0.5779816513761468,0.5417626504856721,0.4622493319391194,0.3052457718334199,0.2585437564164877
traditional_pca_cfd_dtw_cluster,60,720,0.46944444444444444,0.5302016823755954,0.4287858222825464,0.0926105542328421,0.21422740320712552
traditional_pca_cfd_dtw_cluster,62,720,0.4722222222222222,0.5140783420020605,0.44676813188116177,0.12922276369516855,0.22414449717071439
traditional_pca_cfd_dtw_cluster,64,720,0.4527777777777778,0.5484848484848485,0.4414919928965101,0.18778179902665526,0.20952096965432726
traditional_pca_cfd_dtw_cluster,65,645,0.4558139534883721,0.541632546713318,0.4332788002726653,0.24898084588316674,0.17442151254039664
