method,scope,metric,ci_low,ci_high
corrupted_cfd,all_test,sigma68_ns,0.27492640554715153,0.3210809256078099
corrupted_cfd,all_test,full_rms_ns,6.95586397013209,10.437204043234605
corrupted_cfd,all_test,bad_tail_frac,0.08841717533717226,0.09210983678464454
hist_gradient_boosted_trees,all_test,sigma68_ns,0.3441735017587372,0.36041455454260074
hist_gradient_boosted_trees,all_test,full_rms_ns,2.3526711810701713,5.192109977044809
hist_gradient_boosted_trees,all_test,bad_tail_frac,0.00757022864490161,0.014429273301425311
mask_phase_only_ridge,all_test,sigma68_ns,11.745383985339242,12.265785701334178
mask_phase_only_ridge,all_test,full_rms_ns,15.050745169178553,17.41612339400434
mask_phase_only_ridge,all_test,bad_tail_frac,0.3960396442829123,0.406832653599337
mlp,all_test,sigma68_ns,1.5871011650093056,1.6554325778548018
mlp,all_test,full_rms_ns,3.290661299497915,5.579395962632249
mlp,all_test,bad_tail_frac,0.01294887110110299,0.023307306591724117
one_dimensional_cnn,all_test,sigma68_ns,1.0386800556231948,1.1168443958326446
one_dimensional_cnn,all_test,full_rms_ns,4.232970711046944,6.990759378393192
one_dimensional_cnn,all_test,bad_tail_frac,0.020631854958743243,0.029940080357963965
phase_gated_cnn,all_test,sigma68_ns,0.9653913333866331,1.0332261727368544
phase_gated_cnn,all_test,full_rms_ns,4.0944560688558935,6.461706204303955
phase_gated_cnn,all_test,bad_tail_frac,0.01679670301889271,0.027386541471048513
ridge,all_test,sigma68_ns,3.523889496031026,3.716865336226858
ridge,all_test,full_rms_ns,5.59443937339941,7.8302633404427615
ridge,all_test,bad_tail_frac,0.03880258107684319,0.05271576197021881
shuffled_target_hgb,all_test,sigma68_ns,29.145077961217282,31.55373059006357
shuffled_target_hgb,all_test,full_rms_ns,39.83429214923523,44.25775106347
shuffled_target_hgb,all_test,bad_tail_frac,0.6659753285308136,0.6893418913310374
traditional_phase_selected_template_interp,all_test,sigma68_ns,0.2020911425275438,0.2377086569317347
traditional_phase_selected_template_interp,all_test,full_rms_ns,5.30922524493111,9.521051382151866
traditional_phase_selected_template_interp,all_test,bad_tail_frac,0.006336737005766117,0.010558886440211464
