method,family,dropout_phase,dropout_case,n,sigma68_ns,full_rms_ns,median_bias_ns,mean_bias_ns,bad_tail_frac
traditional_phase_selected_template_interp,traditional,leading_edge,cfd_crossing_single,2776,0.07574472021875342,0.9827672074666505,0.0,-0.12375681119807522,0.0
corrupted_cfd,sentinel,leading_edge,cfd_crossing_single,2776,0.16574585635359343,4.927028067647941,0.0,2.409223145877166,0.1260806916426513
hist_gradient_boosted_trees,ml,leading_edge,cfd_crossing_single,2776,0.3308451297438819,3.186446168516054,0.011844552295221522,0.0736729855628335,0.008645533141210375
phase_gated_cnn,new_architecture,leading_edge,cfd_crossing_single,2776,0.9378585416667119,4.303981065458709,-0.3132484863942242,-0.14052501534778153,0.01729106628242075
one_dimensional_cnn,ml,leading_edge,cfd_crossing_single,2776,0.9783327568602321,4.343729571632398,-0.0589609301560734,0.0699412229840948,0.019812680115273776
mlp,ml,leading_edge,cfd_crossing_single,2776,1.5324198066290269,4.085715923208159,-0.040607976002118296,-0.13843767478339503,0.016570605187319884
ridge,ml,leading_edge,cfd_crossing_single,2776,3.3214613668988826,5.593045745768504,-0.12290380966070047,0.2612865955487989,0.03206051873198847
mask_phase_only_ridge,sentinel,leading_edge,cfd_crossing_single,2776,9.152712824274062,14.25032663926878,0.6015545650426057,2.185437199991908,0.2737752161383285
shuffled_target_hgb,sentinel,leading_edge,cfd_crossing_single,2776,30.544369142938923,41.72577545839316,-1.8554940080546611,-10.394668626838772,0.6765129682997119
hist_gradient_boosted_trees,ml,leading_edge,leading_edge_pair,2776,0.6173973851822269,3.1188297918410606,0.007816058631401335,-0.006979297749329022,0.009365994236311239
traditional_phase_selected_template_interp,traditional,leading_edge,leading_edge_pair,2776,0.8049218482852983,3.4938906258035405,0.0,-1.4958163831316678,0.02377521613832853
phase_gated_cnn,new_architecture,leading_edge,leading_edge_pair,2776,1.8257301678368043,4.764957868557496,-0.25940747543762743,-0.32168379079001047,0.0234149855907781
one_dimensional_cnn,ml,leading_edge,leading_edge_pair,2776,2.0068747618843386,4.840455396090887,0.13065176931273292,0.013654277946830136,0.024495677233429394
mlp,ml,leading_edge,leading_edge_pair,2776,2.230973499471891,4.497896768349212,-0.13544032060348155,-0.1735303065590286,0.021253602305475506
ridge,ml,leading_edge,leading_edge_pair,2776,4.648092769177776,6.3784014138334335,0.03400837751420305,0.1385604781135896,0.05727665706051873
corrupted_cfd,sentinel,leading_edge,leading_edge_pair,2776,5.7645125244573325,10.354957563297454,5.395413946130905,7.003027418828379,0.3861671469740634
mask_phase_only_ridge,sentinel,leading_edge,leading_edge_pair,2776,13.294129411890655,15.576862515949712,1.2591325993256852,3.2117098268145967,0.47478386167146974
shuffled_target_hgb,sentinel,leading_edge,leading_edge_pair,2776,30.635317229744555,41.802158887162705,-1.8480324534729542,-10.404812609073428,0.6772334293948127
traditional_phase_selected_template_interp,traditional,peak,peak_contiguous,2776,0.3390633939789668,9.222528635098103,-0.21717338912843553,-1.1279183466353875,0.00792507204610951
hist_gradient_boosted_trees,ml,peak,peak_contiguous,2776,0.3569509067602372,4.227142472657682,-0.001206060154369526,-0.14864193412061033,0.012968299711815562
corrupted_cfd,sentinel,peak,peak_contiguous,2776,0.41473311652743045,9.653623963509167,-0.4245167160244767,-1.3584653843995942,0.009005763688760807
phase_gated_cnn,new_architecture,peak,peak_contiguous,2776,1.0707036267100367,5.70482726502193,-0.0169998792099868,-0.05468498940961453,0.0223342939481268
one_dimensional_cnn,ml,peak,peak_contiguous,2776,1.2330132579235764,6.262530876433052,-0.18783590743219225,-0.16116866884885367,0.02701729106628242
mlp,ml,peak,peak_contiguous,2776,1.55441058811741,4.535022683069323,-0.2173895368317602,-0.2306524239183593,0.01585014409221902
ridge,ml,peak,peak_contiguous,2776,3.4220898907338935,7.224552393038905,0.20575809423498015,0.4372722418138398,0.05151296829971182
mask_phase_only_ridge,sentinel,peak,peak_contiguous,2776,7.678334193323972,15.895195547179101,-10.323910284017911,-7.859881799334454,0.6030259365994236
shuffled_target_hgb,sentinel,peak,peak_contiguous,2776,29.98245550921999,41.762329254614855,-1.3635166769252338,-10.357684702249644,0.6750720461095101
corrupted_cfd,sentinel,peak,peak_single,2776,0.19642400067953153,9.487959878379549,-0.20100065971843328,-1.1146594009614277,0.008645533141210375
traditional_phase_selected_template_interp,traditional,peak,peak_single,2776,0.19642400067953153,9.483334239038628,-0.20100065971843328,-1.1220704191058402,0.00792507204610951
hist_gradient_boosted_trees,ml,peak,peak_single,2776,0.32015422561570755,3.8450556317833233,0.004594185581494603,-0.10020867472705179,0.013688760806916427
phase_gated_cnn,new_architecture,peak,peak_single,2776,0.9783325204840425,5.907505731600012,-0.12349544842461979,-0.1150180767991142,0.025576368876080693
one_dimensional_cnn,ml,peak,peak_single,2776,1.1379042449808163,6.330150314435703,-0.1232170879202843,-0.10476896791649866,0.02881844380403458
mlp,ml,peak,peak_single,2776,1.6131078842538706,4.567694939226532,-0.25525773349587944,-0.36876069426819114,0.01909221902017291
ridge,ml,peak,peak_single,2776,3.490343318116689,7.168869454191695,-0.005159503330172122,0.30551681426519417,0.04610951008645533
mask_phase_only_ridge,sentinel,peak,peak_single,2776,7.739021516386665,13.97326483019834,-0.9455677269207519,1.5715688709807787,0.22946685878962536
shuffled_target_hgb,sentinel,peak,peak_single,2776,30.24173296512653,41.76866865597817,-1.5613029935974287,-10.442618324646338,0.6772334293948127
corrupted_cfd,sentinel,tail,early_tail_pair,2776,0.0,9.378511438790065,0.0,-0.9100121536090022,0.006123919308357349
traditional_phase_selected_template_interp,traditional,tail,early_tail_pair,2776,0.0,9.378511438790065,0.0,-0.9100121536090022,0.006123919308357349
hist_gradient_boosted_trees,ml,tail,early_tail_pair,2776,0.29546257566045014,4.270025951462882,0.015251381974155098,-0.06324187494189903,0.0111671469740634
phase_gated_cnn,new_architecture,tail,early_tail_pair,2776,0.7502004922017936,5.779162060163933,0.11238025572116506,0.08499735812639736,0.02197406340057637
one_dimensional_cnn,ml,tail,early_tail_pair,2776,0.8356959272068922,6.051471255745717,-0.10538023618964942,-0.1102688856780206,0.024855907780979826
mlp,ml,tail,early_tail_pair,2776,1.2724119700957375,4.659063873383146,-0.15676054451488675,-0.17195728293989831,0.01729106628242075
ridge,ml,tail,early_tail_pair,2776,3.4273460230041097,7.057657497173633,0.06694053822891011,0.21127721928137144,0.04610951008645533
mask_phase_only_ridge,sentinel,tail,early_tail_pair,2776,8.796436288738663,15.816768154219991,-1.265527634303757,-0.1314158233570934,0.2784582132564842
shuffled_target_hgb,sentinel,tail,early_tail_pair,2776,29.92797771975814,41.73870256393252,-1.596504526511504,-10.473176884453538,0.6811959654178674
corrupted_cfd,sentinel,tail,late_tail_pair,2776,0.0,9.378511438790065,0.0,-0.9100121536090022,0.006123919308357349
traditional_phase_selected_template_interp,traditional,tail,late_tail_pair,2776,0.0,9.378511438790065,0.0,-0.9100121536090022,0.006123919308357349
hist_gradient_boosted_trees,ml,tail,late_tail_pair,2776,0.31458619521227427,4.221321179499096,0.0040842755430281485,-0.06890967177072746,0.010446685878962535
phase_gated_cnn,new_architecture,tail,late_tail_pair,2776,0.7372163309083014,5.843756206485579,-0.018511426517615615,-0.06320102570436952,0.022694524495677233
one_dimensional_cnn,ml,tail,late_tail_pair,2776,0.782292024865603,5.994790049073874,0.06934846139782458,0.0464416592934441,0.025576368876080693
mlp,ml,tail,late_tail_pair,2776,1.5573228295144228,4.69994389173078,0.226741091991971,0.21718708022268718,0.018731988472622477
ridge,ml,tail,late_tail_pair,2776,3.4041995709201727,7.105328843641491,0.0462602631535769,0.28987151223019375,0.0446685878962536
