method,dropout_phase,dropout_case,delta_sigma68_vs_traditional_ns,ci_low,ci_high,is_winner
corrupted_cfd,leading_edge,cfd_crossing_single,0.09000113613484001,0.06360979756268918,0.14146678368388027,False
hist_gradient_boosted_trees,leading_edge,cfd_crossing_single,0.25510040952512847,0.2070039181602248,0.2832456734365484,False
mask_phase_only_ridge,leading_edge,cfd_crossing_single,9.076968104055307,8.965687178626997,9.336757392513311,False
mlp,leading_edge,cfd_crossing_single,1.4566750864102735,1.3928752867708003,1.5090604474957143,False
one_dimensional_cnn,leading_edge,cfd_crossing_single,0.9025880366414787,0.8907122953941593,0.9398816873205783,False
phase_gated_cnn,leading_edge,cfd_crossing_single,0.8621138214479585,0.8350082124643198,0.8905689268221508,False
ridge,leading_edge,cfd_crossing_single,3.2457166466801293,3.123159857909596,3.3319272277590657,False
shuffled_target_hgb,leading_edge,cfd_crossing_single,30.46862442272017,29.42224650515264,31.339759577851847,False
corrupted_cfd,leading_edge,leading_edge_pair,4.959590676172034,4.999512368421047,8.67393307347677,False
hist_gradient_boosted_trees,leading_edge,leading_edge_pair,-0.18752446310307147,-0.2449381925413616,-0.13817837874737396,False
mask_phase_only_ridge,leading_edge,leading_edge_pair,12.489207563605357,12.27528922505268,12.581573326346351,False
mlp,leading_edge,leading_edge_pair,1.4260516511865928,1.315232483685784,1.5498114948845638,False
one_dimensional_cnn,leading_edge,leading_edge_pair,1.2019529135990403,1.1086313690827172,1.2949311933983068,False
phase_gated_cnn,leading_edge,leading_edge_pair,1.0208083195515059,0.8680211434685217,1.1235972366441336,False
ridge,leading_edge,leading_edge_pair,3.8431709208924776,3.738279338829049,3.95496515947356,False
shuffled_target_hgb,leading_edge,leading_edge_pair,29.830395381459255,28.252457357252123,30.712625942128856,False
corrupted_cfd,peak,peak_contiguous,0.07566972254846366,0.05644126943815587,0.09869356058265705,False
hist_gradient_boosted_trees,peak,peak_contiguous,0.01788751278127043,-0.010377257290399889,0.04989111168644089,False
mask_phase_only_ridge,peak,peak_contiguous,7.339270799345005,7.079830626641452,7.5864411713241156,False
mlp,peak,peak_contiguous,1.215347194138443,1.189962096978109,1.252753970713508,False
one_dimensional_cnn,peak,peak_contiguous,0.8939498639446096,0.8425267734250825,0.9438246787734723,False
phase_gated_cnn,peak,peak_contiguous,0.7316402327310699,0.6890705715826634,0.7781596390589023,False
ridge,peak,peak_contiguous,3.083026496754927,2.929838964968179,3.213579339703287,False
shuffled_target_hgb,peak,peak_contiguous,29.64339211524102,28.146615954635195,30.84883691011349,False
corrupted_cfd,peak,peak_single,0.0,0.0,0.0,False
hist_gradient_boosted_trees,peak,peak_single,0.12373022493617603,0.10482562867939424,0.14570159564671586,False
mask_phase_only_ridge,peak,peak_single,7.542597515707134,7.242936398329916,7.765652974011676,False
mlp,peak,peak_single,1.4166838835743392,1.3286704188344916,1.5043003459195294,False
one_dimensional_cnn,peak,peak_single,0.9414802443012849,0.8656369977254998,0.988035792239241,False
phase_gated_cnn,peak,peak_single,0.781908519804511,0.7212311208756599,0.8267735522226431,False
ridge,peak,peak_single,3.2939193174371577,3.098124028419153,3.410453825188218,False
shuffled_target_hgb,peak,peak_single,30.045308964447,28.485105162701764,31.12068195281478,False
corrupted_cfd,tail,early_tail_pair,0.0,0.0,0.0,False
hist_gradient_boosted_trees,tail,early_tail_pair,0.29546257566045014,0.2840673967610727,0.3088718994269001,False
mask_phase_only_ridge,tail,early_tail_pair,8.796436288738663,8.511281038737666,8.975779437358293,False
mlp,tail,early_tail_pair,1.2724119700957375,1.2232691861742127,1.334125524196507,False
one_dimensional_cnn,tail,early_tail_pair,0.8356959272068922,0.7833361041293628,0.8799798236106617,False
phase_gated_cnn,tail,early_tail_pair,0.7502004922017936,0.717423862263487,0.7886997103038351,False
ridge,tail,early_tail_pair,3.4273460230041097,3.3166324557962854,3.5133411520427185,False
shuffled_target_hgb,tail,early_tail_pair,29.92797771975814,28.21144846555519,31.099299993251414,False
corrupted_cfd,tail,late_tail_pair,0.0,0.0,0.0,False
hist_gradient_boosted_trees,tail,late_tail_pair,0.31458619521227427,0.300092207686763,0.32368895043422796,False
mask_phase_only_ridge,tail,late_tail_pair,9.944026545887933,9.52339423087081,10.56937689616065,False
mlp,tail,late_tail_pair,1.5573228295144228,1.501912926898171,1.64169940409544,False
one_dimensional_cnn,tail,late_tail_pair,0.782292024865603,0.7394954726641502,0.8296277043273729,False
phase_gated_cnn,tail,late_tail_pair,0.7372163309083014,0.6996775739653649,0.7702868567381552,False
ridge,tail,late_tail_pair,3.4041995709201727,3.2904887132272695,3.5393790843368147,False
shuffled_target_hgb,tail,late_tail_pair,30.55422196149391,29.055534418561056,31.535731416588757,False
