stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,736,2.5764457054788616,5,9.187187604703881
B4,728,2.9954837723594085,6,10.667508322770637
B6,695,3.748712959505328,6,9.714628082711412
B8,474,4.235945760632272,8,9.247575849701756
