bias_log_charge,res68_log_charge,mae_log_charge,res68_frac,run,method,n
0.0006599385518306633,0.007045398362617875,0.013699802485336525,0.0007140914237232334,64,gradient_boosted_trees,700
-0.014595508575439453,0.04520221710205078,0.05923920699528285,0.004366456978790736,64,ridge,700
0.006988525390625,0.10932373046875002,0.10130900587354387,0.010873925998760619,64,mlp,700
-0.10669088363647461,0.38453548431396495,0.3435328790119716,0.037725117159391836,64,traditional_run_keyed_affine,700
0.4448118209838867,0.7228994369506836,0.6053573846817016,0.07107519795046648,64,1d_cnn,700
-0.46326351165771484,0.7635138702392579,0.8415747662952968,0.076399698337724,64,metadata_gated_residual_cnn,700
0.0006013655720593647,0.006995891384823099,0.013485385875909599,0.0007119923688720897,65,gradient_boosted_trees,700
-0.0023794174194335938,0.048820381164550786,0.05621117319379534,0.0046928326898454005,65,ridge,700
0.0008306503295898438,0.10196514129638672,0.09559780529567173,0.010239319697582877,65,mlp,700
-0.025531768798828125,0.45029010772705097,0.3731599943978446,0.04530352293061178,65,traditional_run_keyed_affine,700
-0.4547238349914551,0.7354513168334962,0.7307927731105259,0.07353783344196131,65,metadata_gated_residual_cnn,700
0.46846532821655273,0.7422859954833985,0.5946265084402902,0.07436685158682237,65,1d_cnn,700
