sample_ii_only_base,sample_ii_only_base_ci,sample_ii_only_traditional,sample_ii_only_traditional_ci,sample_ii_only_ml,sample_ii_only_ml_ci,sample_ii_only_ml_shuffled,sample_ii_only_ml_shuffled_ci,delta_sample_ii_only_traditional_minus_sample_ii_only_base,delta_sample_ii_only_traditional_minus_sample_ii_only_base_ci,delta_sample_ii_only_ml_minus_sample_ii_only_traditional,delta_sample_ii_only_ml_minus_sample_ii_only_traditional_ci,delta_sample_ii_only_ml_shuffled_minus_sample_ii_only_ml,delta_sample_ii_only_ml_shuffled_minus_sample_ii_only_ml_ci,n_runs,scenario,train_runs,train_target_pulses,ml_best,traditional_bin_fallbacks,pooled_base,pooled_base_ci,pooled_traditional,pooled_traditional_ci,pooled_ml,pooled_ml_ci,pooled_ml_shuffled,pooled_ml_shuffled_ci,delta_pooled_traditional_minus_pooled_base,delta_pooled_traditional_minus_pooled_base_ci,delta_pooled_ml_minus_pooled_traditional,delta_pooled_ml_minus_pooled_traditional_ci,delta_pooled_ml_shuffled_minus_pooled_ml,delta_pooled_ml_shuffled_minus_pooled_ml_ci
2.7866083706417037,"[2.688633892631726, 2.8893761536456717]",2.052546786008745,"[1.9099316741838022, 2.239664382401197]",1.9889842894541165,"[1.8717260950243086, 2.132652322383055]",3.149719706669927,"[3.0207509231737335, 3.283390451748755]",-0.7340615846329586,"[-0.9132164664861916, -0.5078055949363981]",-0.06356249655462896,"[-0.20111300126201564, 0.09623727968098104]",1.1607354172158106,"[0.8826956238573767, 1.4089875622284056]",7,sample_ii_only,[64],630,"{'feature_set': 'amp_bin_by_stave', 'alpha': 100.0, 'selection': 'predeclared_single_train_run_default'}",15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,pooled,"[31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 64]",2460,"{'feature_set': 'amp_bin_by_stave', 'alpha': 100.0, 'score': 2.6485487615195904, 'selection': 'train_run_groupkfold'}",11,3.8306077318314697,"[3.7238866817656886, 3.9361450737099006]",2.807632798135046,"[2.6589608699454246, 2.9589590465898556]",2.7555419378070574,"[2.639793186104933, 2.8734991073219187]",4.023866822300127,"[3.9165514291543926, 4.131929692194004]",-1.0229749336964233,"[-1.189299032289917, -0.8158248266592134]",-0.052090860327988535,"[-0.12676225088327017, 0.024784418182723224]",1.2683248844930695,"[1.078686816518996, 1.4413373057775694]"
