scenario,feature_set,alpha,selection,fold,sigma68_ns,n_train
sample_ii_only,amp_bin_by_stave,100.0,predeclared_single_train_run_default,single_train_run,,630
pooled,amp_poly,0.0,,1,3.670313020507521,1830
pooled,amp_poly,0.0,,2,2.56385495950038,1806
pooled,amp_poly,0.0,,3,2.5792467672023327,1902
pooled,amp_poly,0.0,,4,2.686586530133281,1842
pooled,amp_poly,0.0,,mean,2.875000319335879,2460
pooled,amp_poly,0.01,,1,3.670258328224529,1830
pooled,amp_poly,0.01,,2,2.5637487136656256,1806
pooled,amp_poly,0.01,,3,2.5791898177647328,1902
pooled,amp_poly,0.01,,4,2.6865285540163297,1842
pooled,amp_poly,0.01,,mean,2.8749313534178045,2460
pooled,amp_poly,0.1,,1,3.6697679691110454,1830
pooled,amp_poly,0.1,,2,2.5623320867059616,1806
pooled,amp_poly,0.1,,3,2.5786795083339635,1902
pooled,amp_poly,0.1,,4,2.686009069886982,1842
pooled,amp_poly,0.1,,mean,2.874197158509488,2460
pooled,amp_poly,1.0,,1,3.665041810125309,1830
pooled,amp_poly,1.0,,2,2.556734375025939,1806
pooled,amp_poly,1.0,,3,2.573719165390724,1902
pooled,amp_poly,1.0,,4,2.6782984566444923,1842
pooled,amp_poly,1.0,,mean,2.868448451796616,2460
pooled,amp_poly,10.0,,1,3.63849742286883,1830
pooled,amp_poly,10.0,,2,2.499421578812901,1806
pooled,amp_poly,10.0,,3,2.517194927382167,1902
pooled,amp_poly,10.0,,4,2.646969049778114,1842
pooled,amp_poly,10.0,,mean,2.825520744710503,2460
pooled,amp_poly,100.0,,1,3.5864111939465455,1830
pooled,amp_poly,100.0,,2,2.36908975820663,1806
pooled,amp_poly,100.0,,3,2.372108183936178,1902
pooled,amp_poly,100.0,,4,2.5499433620697642,1842
pooled,amp_poly,100.0,,mean,2.7193881245397797,2460
pooled,amp_poly_by_stave,0.0,,1,3.7520487387138237,1830
pooled,amp_poly_by_stave,0.0,,2,3.458357873031631,1806
pooled,amp_poly_by_stave,0.0,,3,3.0059883367214257,1902
pooled,amp_poly_by_stave,0.0,,4,3.416016986688384,1842
pooled,amp_poly_by_stave,0.0,,mean,3.408102983788816,2460
pooled,amp_poly_by_stave,0.01,,1,3.752001941387717,1830
pooled,amp_poly_by_stave,0.01,,2,3.458214086227498,1806
pooled,amp_poly_by_stave,0.01,,3,3.005761738705338,1902
pooled,amp_poly_by_stave,0.01,,4,3.415961748323288,1842
pooled,amp_poly_by_stave,0.01,,mean,3.40798487866096,2460
pooled,amp_poly_by_stave,0.1,,1,3.7515806121450317,1830
pooled,amp_poly_by_stave,0.1,,2,3.456922276866577,1806
pooled,amp_poly_by_stave,0.1,,3,3.0037258784760397,1902
