quantity,expected,reproduced,delta,pass
S00/S01 selected B-stave pulses,640737,640737,0,True
Sample-II analysis selected B-stave pulses,125096,125096,0,True
Sample-II calibration run 64 selected B-stave pulses,14630,14630,0,True
