scenario,stave,bin,amp_low_adc,amp_high_adc,n_train,correction_ns,source
sample_ii_only,B4,0,1000.0,1500.0,40,-1.1641060985549743,stave_amp_bin
sample_ii_only,B4,1,1500.0,2200.0,93,-4.430826130217838,stave_amp_bin
sample_ii_only,B4,2,2200.0,3200.0,74,-4.0083173995621095,stave_amp_bin
sample_ii_only,B4,3,3200.0,4700.0,2,-4.078159557259223,stave_fallback
sample_ii_only,B4,4,4700.0,6800.0,1,-4.078159557259223,stave_fallback
sample_ii_only,B4,5,6800.0,10000.0,0,-4.078159557259223,stave_fallback
sample_ii_only,B4,6,10000.0,15000.0,0,-4.078159557259223,stave_fallback
sample_ii_only,B4,7,15000.0,25000.0,0,-4.078159557259223,stave_fallback
sample_ii_only,B6,0,1000.0,1500.0,28,-1.2730208743513352,stave_amp_bin
sample_ii_only,B6,1,1500.0,2200.0,94,1.9884311807685222,stave_amp_bin
sample_ii_only,B6,2,2200.0,3200.0,84,2.332958892082843,stave_amp_bin
sample_ii_only,B6,3,3200.0,4700.0,3,2.0278799760553667,stave_fallback
sample_ii_only,B6,4,4700.0,6800.0,1,2.0278799760553667,stave_fallback
sample_ii_only,B6,5,6800.0,10000.0,0,2.0278799760553667,stave_fallback
sample_ii_only,B6,6,10000.0,15000.0,0,2.0278799760553667,stave_fallback
sample_ii_only,B6,7,15000.0,25000.0,0,2.0278799760553667,stave_fallback
sample_ii_only,B8,0,1000.0,1500.0,9,2.0987419380973336,stave_fallback
sample_ii_only,B8,1,1500.0,2200.0,30,3.0451539580051445,stave_amp_bin
sample_ii_only,B8,2,2200.0,3200.0,87,2.5857960438785668,stave_amp_bin
sample_ii_only,B8,3,3200.0,4700.0,75,0.9248354489995307,stave_amp_bin
sample_ii_only,B8,4,4700.0,6800.0,9,2.0987419380973336,stave_fallback
sample_ii_only,B8,5,6800.0,10000.0,0,2.0987419380973336,stave_fallback
sample_ii_only,B8,6,10000.0,15000.0,0,2.0987419380973336,stave_fallback
sample_ii_only,B8,7,15000.0,25000.0,0,2.0987419380973336,stave_fallback
pooled,B4,0,1000.0,1500.0,86,-6.4345796502325925,stave_amp_bin
pooled,B4,1,1500.0,2200.0,272,-5.998089012635784,stave_amp_bin
pooled,B4,2,2200.0,3200.0,430,-3.0778868145080622,stave_amp_bin
pooled,B4,3,3200.0,4700.0,25,-6.899655417763455,stave_amp_bin
pooled,B4,4,4700.0,6800.0,6,-3.5449077298400304,stave_fallback
pooled,B4,5,6800.0,10000.0,1,-3.5449077298400304,stave_fallback
pooled,B4,6,10000.0,15000.0,0,-3.5449077298400304,stave_fallback
pooled,B4,7,15000.0,25000.0,0,-3.5449077298400304,stave_fallback
pooled,B6,0,1000.0,1500.0,70,-0.6461223416173212,stave_amp_bin
pooled,B6,1,1500.0,2200.0,254,2.123870725686416,stave_amp_bin
pooled,B6,2,2200.0,3200.0,463,1.8299377045797627,stave_amp_bin
pooled,B6,3,3200.0,4700.0,30,0.44078368356214526,stave_amp_bin
pooled,B6,4,4700.0,6800.0,3,1.663947113710961,stave_fallback
pooled,B6,5,6800.0,10000.0,0,1.663947113710961,stave_fallback
pooled,B6,6,10000.0,15000.0,0,1.663947113710961,stave_fallback
pooled,B6,7,15000.0,25000.0,0,1.663947113710961,stave_fallback
pooled,B8,0,1000.0,1500.0,37,1.0449003485739468,stave_amp_bin
pooled,B8,1,1500.0,2200.0,88,-1.2891204350708456,stave_amp_bin
pooled,B8,2,2200.0,3200.0,301,2.345286602134543,stave_amp_bin
pooled,B8,3,3200.0,4700.0,332,2.435658710439057,stave_amp_bin
pooled,B8,4,4700.0,6800.0,61,18.864767412297837,stave_amp_bin
pooled,B8,5,6800.0,10000.0,1,2.435658710439057,stave_fallback
pooled,B8,6,10000.0,15000.0,0,2.435658710439057,stave_fallback
pooled,B8,7,15000.0,25000.0,0,2.435658710439057,stave_fallback
