method,n_events,n_blind_positive,acceptance,roc_auc,average_precision,balanced_accuracy,precision,recall,f1,accepted_blind_precision,rejected_blind_recoverable_rate,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high,accepted_blind_precision_ci_low,accepted_blind_precision_ci_high,n_bootstrap
gradient_boosted_trees,986,178,0.7545638945233266,0.7645177439092223,0.398996518303103,0.550346256535766,0.20026881720430106,0.8370786516853933,0.3232104121475054,0.20026881720430106,0.11983471074380166,0.7025157437815752,0.8156430007378466,0.3355318309966823,0.46999773449184323,0.48533327852400576,0.6252173546997722,0.14549339794915014,0.26485897729878466,0.6370315091210614,1.0,0.244934131959994,0.39617474108287376,0.14549339794915014,0.26485897729878466,1000
consensus_abstention_ensemble,986,178,0.09127789046653144,0.7418094337523641,0.340597961589298,0.5539965513405274,0.35555555555555557,0.1797752808988764,0.2388059701492537,0.35555555555555557,0.16294642857142858,0.6878729751797311,0.7989334585301584,0.31547432006920934,0.3777880010627023,0.5136609306947768,0.5995104631391055,0.25262892078681554,0.45919056811913955,0.11288813179230636,0.2577520744279607,0.15609227188926164,0.3263641021262061,0.25262892078681554,0.45919056811913955,1000
mlp,986,178,0.8793103448275862,0.6469991100233619,0.31701479184886183,0.5564996106352208,0.19953863898500576,0.9719101123595506,0.3311004784688995,0.19953863898500576,0.04201680672268908,0.5525001802223906,0.7426993452874808,0.2714485279946642,0.3957080602081279,0.5024962265170348,0.6349994651262302,0.14937656060661697,0.25673071482389237,0.9255028607187555,1.0,0.2590750232991612,0.40675257176388874,0.14937656060661697,0.25673071482389237,1000
ridge_linear,986,178,0.09330628803245436,0.6046835020580711,0.28641029099317694,0.5493311269329181,0.33695652173913043,0.17415730337078653,0.22962962962962963,0.33695652173913043,0.1644295302013423,0.5366815678063862,0.6757139920313698,0.24706638347622667,0.3423152265886306,0.516183516605647,0.5876929598682403,0.2526785714285714,0.4000409836065574,0.10900397982743955,0.25193598822772,0.1538152610441767,0.30046948356807507,0.2526785714285714,0.4000409836065574,1000
cnn_1d_dual_head,986,178,0.012170385395537525,0.6961911781065748,0.27305580196597024,0.49257425742574257,0.0,0.0,0.0,0.0,0.18275154004106775,0.6049217776224358,0.7749327230948581,0.2216770801610164,0.321451644331759,0.4830804875008902,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969
traditional_template_fit,986,178,0.48073022312373226,0.5060873011458449,0.18866956628616982,0.49804622316164204,0.17932489451476794,0.47752808988764045,0.2607361963190184,0.17932489451476794,0.181640625,0.45554469380871726,0.5536948509093145,0.13706569691431866,0.24392065584047634,0.4510173209626549,0.5420800090143258,0.12737573128428206,0.23451667054805156,0.3979934763269744,0.5657295918367347,0.19891890681672314,0.31743386358210895,0.12737573128428206,0.23451667054805156,1000
