tier,heldout_runs,n_pair_rows,ridge_alpha_b,ridge_alpha_b_plus_a,ml_train_rows,extra_trees_rmse_b,extra_trees_rmse_b_plus_a
raw_loose500,47 52 58 61,14917,10.0,10.0,9000,8.594602737704347,8.537829049735771
raw_loose500,46 53 55 59,14798,10.0,10.0,9000,9.022625404071926,9.499045528710479
raw_loose500,48 57 62,14817,10.0,10.0,9000,9.12024611121238,9.138362040499914
raw_loose500,44 50 54 60,14786,10.0,10.0,9000,8.49089010788382,8.401836448066833
raw_loose500,45 49 51 56 63 65,14858,10.0,10.0,9000,12.224703411301618,12.691260022966217
sorted_any_clean1000,47 56 57,158,10.0,10.0,636,23.43792014049087,21.52576907562681
sorted_any_clean1000,44 45 50 58,158,10.0,10.0,636,18.484234077880668,18.884950973279533
sorted_any_clean1000,49 51 53 60,160,10.0,10.0,634,20.5281149390903,20.160791266885738
sorted_any_clean1000,54 55 62 63 65,159,10.0,10.0,635,13.530342279571194,13.051820372945299
sorted_any_clean1000,46 48 59 61,159,10.0,10.0,635,14.733672983231461,14.021102983290858
