n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier,model,outer_heldout_run,C,inner_mean_auc,inner_folds,learning_rate,max_leaf_nodes,l2_regularization,hidden_layer_sizes,alpha,channels,dropout
,,,,,,cnn_1d,58,,0.6035665294924555,1.0,,,,,,12.0,0.05
,,,,,,cnn_1d,59,,0.6855668934240362,1.0,,,,,,20.0,0.1
,,,,,,cnn_1d,59,,0.6390476190476191,1.0,,,,,,12.0,0.05
,,,,,,cnn_1d,60,,0.681654812019161,1.0,,,,,,20.0,0.1
,,,,,,cnn_1d,60,,0.6419915807809551,1.0,,,,,,12.0,0.05
,,,,,,cnn_1d,61,,0.6162551440329218,1.0,,,,,,20.0,0.1
,,,,,,cnn_1d,61,,0.5867626886145405,1.0,,,,,,12.0,0.05
,,,,,,cnn_1d,62,,0.6583896278725142,1.0,,,,,,20.0,0.1
,,,,,,cnn_1d,62,,0.6521526724187066,1.0,,,,,,12.0,0.05
,,,,,,cnn_1d,63,,0.676510378864857,1.0,,,,,,20.0,0.1
,,,,,,cnn_1d,63,,0.6635622006096676,1.0,,,,,,12.0,0.05
,,,,,,cnn_1d,65,,0.6709002019343182,1.0,,,,,,20.0,0.1
,,,,,,cnn_1d,65,,0.6338877670315655,1.0,,,,,,12.0,0.05
,,,,,,residual_tcn_fusion,58,,0.8072222222222223,1.0,,,,,,20.0,0.1
,,,,,,residual_tcn_fusion,58,,0.7782256235827665,1.0,,,,,,12.0,0.05
,,,,,,residual_tcn_fusion,59,,0.7911771770460302,1.0,,,,,,20.0,0.1
,,,,,,residual_tcn_fusion,59,,0.7821862171368678,1.0,,,,,,12.0,0.05
,,,,,,residual_tcn_fusion,60,,0.697530864197531,1.0,,,,,,20.0,0.1
,,,,,,residual_tcn_fusion,60,,0.691358024691358,1.0,,,,,,12.0,0.05
,,,,,,residual_tcn_fusion,61,,0.8225566893424036,1.0,,,,,,20.0,0.1
,,,,,,residual_tcn_fusion,61,,0.7570521541950114,1.0,,,,,,12.0,0.05
,,,,,,residual_tcn_fusion,62,,0.7679837421977065,1.0,,,,,,20.0,0.1
,,,,,,residual_tcn_fusion,62,,0.7510233705907969,1.0,,,,,,12.0,0.05
,,,,,,residual_tcn_fusion,63,,0.7325102880658437,1.0,,,,,,20.0,0.1
,,,,,,residual_tcn_fusion,63,,0.6824417009602195,1.0,,,,,,12.0,0.05
,,,,,,residual_tcn_fusion,65,,0.7789273413688189,1.0,,,,,,20.0,0.1
,,,,,,residual_tcn_fusion,65,,0.7603141818813459,1.0,,,,,,12.0,0.05
