row_id,method,run,label_injected,score,threshold,veto,pool_level,pool_clean,exact_stratum_available
58:392347:10770:3399:raw_clean,transparent P02 morphology,58,0,6.732403218790777,9.787336018847782,False,adjacent_run_amp_topology_baseline,157,True
58:392347:10770:3399:injected_two_pulse,transparent P02 morphology,58,1,6.067030462919649,9.787336018847782,False,adjacent_run_amp_topology_baseline,157,True
58:392858:11249:3908:raw_clean,transparent P02 morphology,58,0,0.0,0.07581332394879023,False,adjacent_run_amp_topology_baseline,51,True
58:392858:11249:3908:injected_two_pulse,transparent P02 morphology,58,1,0.0,0.07581332394879023,False,adjacent_run_amp_topology_baseline,51,True
58:392996:11382:4044:raw_clean,transparent P02 morphology,58,0,0.012670619695384256,0.07581332394879023,False,adjacent_run_amp_topology_baseline,51,True
58:392996:11382:4044:injected_two_pulse,transparent P02 morphology,58,1,0.012670619695384256,0.07581332394879023,False,adjacent_run_amp_topology_baseline,51,True
58:397938:15966:8976:raw_clean,transparent P02 morphology,58,0,0.009165313413445925,0.07581332394879023,False,adjacent_run_amp_topology_baseline,51,True
58:397938:15966:8976:injected_two_pulse,transparent P02 morphology,58,1,0.009165313413445925,0.07581332394879023,False,adjacent_run_amp_topology_baseline,51,True
58:398418:42:9453:raw_clean,transparent P02 morphology,58,0,0.062427802251590794,0.17741564967695622,False,adjacent_run_amp_topology_baseline,29,True
58:398418:42:9453:injected_two_pulse,transparent P02 morphology,58,1,0.062427802251590794,0.17741564967695622,False,adjacent_run_amp_topology_baseline,29,True
58:400048:1585:11080:raw_clean,transparent P02 morphology,58,0,0.03309090909090909,0.15969952363503115,False,adjacent_run_amp_topology_baseline,121,True
58:400048:1585:11080:injected_two_pulse,transparent P02 morphology,58,1,0.03309090909090909,0.15969952363503115,False,adjacent_run_amp_topology_baseline,121,True
58:400125:1658:11157:raw_clean,transparent P02 morphology,58,0,0.005154815289344439,0.4639568885094043,False,any_run_amp_topology_baseline,23,True
