input,sha256,bytes
reports/1781040960.767.247d3910__s05h_saturation_covariance_support_frontier/oof_full.csv.gz,6c8879e50d33d6633c583513d824c57a7fc356b70d001e4e38d87af0b776c06a,69009434
reports/1781055412.618.60fe5c1e__s05m_correlated_floor_projection_coverage/reproduction_match_table.csv,371f7472dc50dee4e8c2b44f156ceb27e40e78392f9af503bdcc919c9fc9a265,391
reports/1781162587.1010.54ff6a82__s05n_row_level_atom_conditional_projection_coverage/row_level_support_residuals.csv.gz,1d27df7226915a5644418cd9d12c6b0be0de2d7db39c9c3791a5c3705becf88c,6165599
reports/1781162587.1010.54ff6a82__s05n_row_level_atom_conditional_projection_coverage/method_atom_coverage_summary.csv,40f6ebb8e30731268af46a5a12ba3a9a51600eb665a9d15098c9bb6e276e9da1,2584
configs/s05h_1781040960_767_247d3910_saturation_covariance_support_frontier.yaml,f1560fa8d8b8ac5825a0d03f312960d14fdd93e34b1b3ea4477ab442d466ce9e,1861
configs/s05o_1783651788_17289_011b1f43_freeze_row_level_atom_labels.yaml,dc128a869e6c1e6eacb6e23a69d763e82e5d2b8109d285e62b69133731dae452,1098
