dimension,region,n_cells,n_eval,mean_delta_handle_minus_s01_q_mse,mean_delta_extra_trees_minus_handle_q_mse,mean_delta_extra_trees_minus_handle_timing_abs_ns,handle_win_cell_fraction,extra_trees_q_win_cell_fraction
amp_region,a1000_1500,80,3750,-0.2479082519585111,-0.28463601364736957,-1.2327204424103737,0.575,0.7625
amp_region,a1500_2200,89,4285,-0.057021528073857575,-0.07937228000617332,-0.6434373321479506,0.6179775280898876,0.6179775280898876
amp_region,a2200_3200,97,4904,-0.011485769785291075,-0.03346524296467349,-0.4535275194206079,0.4020618556701031,0.7731958762886598
amp_region,a3200_4700,132,6723,-0.028063420802775737,-0.0399128241089539,-1.1508926255145173,0.6060606060606061,0.9848484848484849
amp_region,a4700_6800,101,4801,-0.015455522189460873,-0.03610920989267329,-0.8128514892730682,0.39603960396039606,0.9702970297029703
amp_region,a6800_10000,53,2939,-0.0056210931328241846,-0.03219443167748241,-2.8070772371554953,0.5471698113207547,0.9622641509433962
stave,B2,269,15203,-0.08583767186411541,-0.08475982486800585,-1.3231537563674436,0.6914498141263941,0.862453531598513
stave,B4,127,6025,-0.028849958343307724,-0.07526771411276285,-0.6558008336936715,0.5354330708661418,0.84251968503937
stave,B6,93,3934,-0.007526636205517055,-0.05483452055399767,-0.6978327714303552,0.3333333333333333,0.7419354838709677
stave,B8,63,2240,-0.0005764416396951936,-0.06701423728797923,-1.1970982142857143,0.06349206349206349,0.9841269841269841
rise_width_region,rise_mid,255,13385,-0.03421059375957474,-0.018784988307642247,-0.500186776242062,0.5764705882352941,0.7490196078431373
rise_width_region,rise_narrow,190,9396,-0.0924108884725002,-0.15371982026696554,-1.2746254474101353,0.5105263157894737,0.9789473684210527
rise_width_region,rise_wide,107,4621,-0.03971232090769904,-0.08918718689807179,-2.3420255355983555,0.4205607476635514,0.8691588785046729
cfd_phase_region,phase_early,206,10639,-0.047698153199985105,-0.09917745392790871,-0.9828349190587113,0.4854368932038835,0.8349514563106796
cfd_phase_region,phase_late,173,8246,-0.04906722940076982,-0.05809468482942887,-1.4379699248120301,0.5433526011560693,0.8786127167630058
cfd_phase_region,phase_mid,173,8517,-0.07017061347195111,-0.06736230913933289,-0.843019842667606,0.5491329479768786,0.8439306358381503
tail_shape_region,tail_compact,210,10408,-0.11240192545965776,-0.17989243601404015,-1.1965680922238306,0.5476190476190477,0.8238095238095238
tail_shape_region,tail_long,130,6608,-0.0032480846528475946,-0.02182335791777797,-1.9589891041162228,0.5,1.0
tail_shape_region,tail_mid,212,10386,-0.03065372202039882,-0.008799659852434317,-0.39428076256499134,0.5141509433962265,0.7877358490566038
saturation_region,boundary,52,2786,-0.003744772742858359,-0.024820634171050147,-1.9499282124910267,0.5,1.0
saturation_region,saturated_proxy,21,1110,-0.006288326502110933,-0.035517261351335754,-3.8175675675675675,0.42857142857142855,0.9047619047619048
saturation_region,unsaturated,479,23506,-0.0634858828041798,-0.08505692348684,-0.8433540672111645,0.5302713987473904,0.8329853862212944
current_family,high_20nA,253,15099,-0.06428681713790795,-0.08317400381435018,-1.1711230647593787,0.5533596837944664,0.8814229249011858
current_family,sample_ii,299,12303,-0.04381415008605423,-0.06925775882218291,-0.9600173574789701,0.4983277591973244,0.8260869565217391
run_family,sample_i_analysis,253,15099,-0.06428681713790795,-0.08317400381435018,-1.1711230647593787,0.5533596837944664,0.8814229249011858
run_family,sample_ii_analysis,299,12303,-0.04381415008605423,-0.06925775882218291,-0.9600173574789701,0.4983277591973244,0.8260869565217391
