blind_id,w_seedcorr_00,w_seedcorr_01,w_seedcorr_02,w_seedcorr_03,w_seedcorr_04,w_seedcorr_05,w_seedcorr_06,w_seedcorr_07,w_seedcorr_08,w_seedcorr_09,w_seedcorr_10,w_seedcorr_11,w_seedcorr_12,w_seedcorr_13,w_seedcorr_14,w_seedcorr_15,w_seedcorr_16,w_seedcorr_17
blind_011,547.5,248.5,-248.5,-694.5,-320.5,4859.5,7602.5,6543.5,4285.5,3528.5,2969.5,2631.5,2279.5,1760.5,1484.5,1157.5,1811.5,1971.5
blind_012,-1008.5,-832.5,832.5,2982.5,3114.5,2615.5,2583.5,2678.5,2614.5,2494.5,2226.5,1358.5,632.5,384.5,126.5,-31.5,-299.5,-539.5
blind_013,-5279.5,-407.5,1404.5,407.5,-1145.5,-1336.5,-1643.5,-1835.5,-2275.5,-2651.5,-2838.5,-2929.5,-2451.5,-2428.5,-3279.5,-4119.5,-4567.5,-4965.5
blind_014,0.5,-179.5,-0.5,150.5,2814.5,5755.5,5525.5,3211.5,773.5,1395.5,979.5,743.5,98.5,-331.5,-518.5,-293.5,42.5,-2.5
blind_015,-1805.5,-1278.5,1278.5,2553.5,2287.5,1677.5,1712.5,1686.5,1616.5,1315.5,1192.5,1031.5,308.5,-166.5,-403.5,-636.5,-945.5,-1180.5
blind_016,-3.0,-13.0,3.0,247.0,4552.0,9033.0,-6772.0,-6772.0,8655.0,5994.0,5876.0,4976.0,4445.0,3798.0,3394.0,3198.0,3411.0,3646.0
blind_017,6.5,2.5,-5.5,-2.5,2186.5,8808.5,-6726.5,-6726.5,6856.5,4624.5,5163.5,4625.5,4576.5,3701.5,3285.5,3031.5,3424.5,3753.5
blind_018,-498.0,-488.0,488.0,4265.0,5360.0,4439.0,3271.0,3592.0,3500.0,3423.0,3053.0,2701.0,2550.0,2727.0,2004.0,1373.0,1085.0,670.0
blind_019,301.5,12.5,-12.5,-34.5,-228.5,989.5,2663.5,2318.5,1199.5,723.5,422.5,106.5,-243.5,-497.5,-672.5,-626.5,-382.5,-548.5
blind_020,-61.5,729.5,61.5,-1160.5,1608.5,4699.5,-11532.5,3047.5,943.5,248.5,-214.5,-429.5,-884.5,-1322.5,-1494.5,-1579.5,-1157.5,-1105.5
blind_021,-1889.0,-47.0,47.0,135.0,1151.0,1216.0,782.0,498.0,174.0,-14.0,-118.0,-127.0,-143.0,-864.0,-1595.0,-1981.0,-2328.0,-2577.0
blind_022,645.5,193.5,-193.5,-337.5,189.5,2490.5,3251.5,2744.5,1991.5,2443.5,2544.5,2493.5,2201.5,1418.5,526.5,262.5,100.5,-1.5
blind_023,45.5,42.5,-42.5,-394.5,287.5,2338.5,2725.5,1857.5,1135.5,684.5,318.5,97.5,-177.5,-371.5,-377.5,-234.5,-965.5,-1655.5
blind_024,1274.0,651.0,-651.0,-704.0,-816.0,-805.0,-1212.0,-1600.0,-1768.0,-1605.0,-1884.0,-2692.0,-3051.0,-3486.0,-3832.0,-4088.0,-4210.0,-4300.0
blind_025,305.5,138.5,-138.5,-500.5,-767.5,-593.5,996.5,1790.5,1433.5,719.5,1115.5,1150.5,1041.5,767.5,-22.5,-917.5,-1221.5,-1421.5
blind_026,-440.0,-386.0,386.0,1849.0,2708.0,2696.0,2660.0,2558.0,1996.0,1634.0,1219.0,762.0,428.0,210.0,71.0,-12.0,-91.0,-195.0
blind_027,-453.0,-288.0,288.0,835.0,1075.0,1037.0,893.0,728.0,517.0,326.0,103.0,-114.0,-254.0,-323.0,-310.0,-293.0,-302.0,-357.0
blind_028,3.0,-3.0,-3.0,187.0,2921.0,6948.0,-6757.0,-6757.0,8807.0,6253.0,5824.0,5026.0,4419.0,3862.0,3370.0,3253.0,3275.0,3640.0
blind_029,280.0,326.0,-280.0,-553.0,468.0,1793.0,1425.0,902.0,904.0,978.0,897.0,686.0,-268.0,-1000.0,-1402.0,-1607.0,-1733.0,-1892.0
blind_030,41.5,-33.5,-86.5,33.5,3540.5,8755.5,-6815.5,-6815.5,-6815.5,7085.5,5815.5,5172.5,4315.5,4041.5,3450.5,3351.5,2999.5,3519.5
blind_031,1357.5,63.5,-63.5,-168.5,-218.5,-699.5,-965.5,-1184.5,-1150.5,-873.5,-1867.5,-2383.5,-2833.5,-3200.5,-3496.5,-3627.5,-3780.5,-3787.5
blind_032,1373.0,101.0,-101.0,-250.0,228.0,1420.0,1479.0,629.0,-577.0,-131.0,-229.0,-361.0,-731.0,-1001.0,-1182.0,-960.0,-1216.0,-2071.0
blind_033,-430.0,-413.0,413.0,2620.0,3386.0,3103.0,2710.0,3057.0,3080.0,2972.0,2043.0,1320.0,887.0,626.0,488.0,347.0,148.0,-56.0
blind_034,-85.5,142.5,85.5,-90.5,-304.5,-524.5,-714.5,-924.5,-1103.5,-1222.5,-1272.5,-1282.5,-1255.5,-1266.5,-875.5,1763.5,3200.5,2849.5
blind_035,330.0,69.0,-69.0,-630.0,3119.0,-9909.0,-9909.0,4406.0,2021.0,1905.0,1618.0,1385.0,755.0,274.0,44.0,156.0,573.0,562.0
blind_036,606.0,-19.0,-275.0,19.0,3619.0,-10265.0,5432.0,3293.0,1920.0,1369.0,1001.0,619.0,148.0,-131.0,-434.0,34.0,199.0,189.0
blind_037,-11.5,0.5,-0.5,12.5,1053.5,6263.5,-6773.5,-6773.5,7887.5,5435.5,5171.5,4792.5,4320.5,3866.5,3242.5,3201.5,3242.5,3673.5
blind_038,-1.5,1.5,-6.5,416.5,5639.5,-6762.5,-6762.5,9016.5,6124.5,5536.5,5019.5,4378.5,4015.5,3374.5,3195.5,2783.5,3555.5,3729.5
blind_039,156.0,16.0,-16.0,-316.0,-683.0,-845.0,-873.0,-913.0,-1415.0,1715.0,3233.0,2068.0,619.0,333.0,228.0,161.0,-155.0,-607.0
blind_040,2.0,-2.0,-8.0,2.0,1135.0,7505.0,-6767.0,-6767.0,7215.0,4675.0,5211.0,4653.0,4498.0,3663.0,3291.0,3067.0,3320.0,3668.0
blind_041,-130.0,-136.0,130.0,2310.0,6484.0,-6900.0,-6900.0,7910.0,5011.0,5295.0,4664.0,4278.0,3646.0,3218.0,3033.0,3183.0,3544.0,3510.0
blind_042,-1556.5,-639.5,639.5,1161.5,1125.5,959.5,655.5,348.5,73.5,-309.5,-685.5,-1000.5,-1192.5,-1280.5,-1326.5,-1393.5,-1499.5,-1607.5
blind_043,-24.5,-7.5,9.5,7.5,295.5,5975.5,-6756.5,-6756.5,8234.5,5725.5,5416.5,4923.5,4339.5,3862.5,3455.5,3199.5,2917.5,3611.5
blind_044,336.0,149.0,-149.0,-279.0,-115.0,2359.0,3525.0,2834.0,1728.0,1170.0,789.0,570.0,349.0,55.0,-119.0,-138.0,-291.0,-1212.0
blind_045,1325.0,241.0,-241.0,-362.0,-434.0,-661.0,-1013.0,-1234.0,-1480.0,-1066.0,-1952.0,-2459.0,-2874.0,-3276.0,-3626.0,-3794.0,-3941.0,-3931.0
blind_046,-2305.0,-162.0,473.0,162.0,-83.0,856.0,1480.0,1335.0,749.0,198.0,191.0,275.0,296.0,130.0,-850.0,-1570.0,-1909.0,-2141.0
blind_047,-1980.5,-789.5,789.5,1145.5,978.5,995.5,1014.5,350.5,-75.5,-576.5,-1036.5,-1401.5,-1579.5,-1709.5,-1800.5,-1920.5,-2035.5,-2128.5
blind_048,-3346.0,-1914.0,1914.0,2323.0,1372.0,319.0,578.0,533.0,456.0,17.0,-185.0,-391.0,-355.0,-1138.0,-1582.0,-1880.0,-2299.0,-2599.0
