blind_id,run,eventno,evt,stave,traditional_label,ml_label,ml_confidence,adaptive_lowering_adc,amplitude_adc,peak_sample,traditional_margin
blind_001,54,247479,7366,B2,pile_up,post_trigger_undershoot,0.44928108315491844,448.3575000000001,5809.5,6,0.039182028879855224
blind_002,55,300522,7097,B2,pre_trigger_contamination,pre_trigger_contamination,0.9984393035130796,3857.5,1067.5,2,0.3000000000000007
blind_003,57,377868,13732,B2,electronics_baseline_drift,electronics_baseline_drift,0.898940953675231,7196.585,7761.0,7,0.2157792476364353
blind_004,55,286436,10365,B6,pre_trigger_contamination,pre_trigger_contamination,0.9350803453832062,316.0,1339.0,5,0.9360527997894001
blind_005,55,283793,7909,B2,electronics_baseline_drift,electronics_baseline_drift,0.9957715103735924,6618.8375,9377.5,7,1.4901517629918128
blind_006,56,306920,13017,B2,pile_up,pile_up,0.9871584557521705,221.51249999999982,4132.5,6,1.8813357098819825
blind_007,56,336987,8287,B2,post_trigger_undershoot,post_trigger_undershoot,0.8181531515661277,485.5224999999991,5398.5,5,2.5179846715257934
blind_008,57,385353,4259,B2,pile_up,pile_up,0.9905116389694172,801.5100000000002,4766.0,4,1.6620428810962196
blind_009,56,327558,15878,B2,post_trigger_undershoot,post_trigger_undershoot,0.9609777403261418,1625.8549999999996,2543.0,6,2.26179697086733
blind_010,54,277344,1888,B2,post_trigger_undershoot,post_trigger_undershoot,0.9208676913134746,1060.4424999999992,4270.5,5,0.7568722189261337
blind_011,54,262550,4997,B2,pile_up,pile_up,0.9402151566298238,580.4624999999996,7602.5,6,0.9273500935587862
blind_012,56,348082,2305,B2,pile_up,pile_up,0.5165329057423296,961.7825000000003,3114.5,4,0.07219334506386765
blind_013,56,346637,959,B2,pre_trigger_contamination,pre_trigger_contamination,0.9985526445300645,5254.5,1404.5,2,0.3000000000000007
blind_014,54,262875,5297,B2,pile_up,post_trigger_undershoot,0.4709040391014571,432.16749999999956,5755.5,5,0.9623743972706036
blind_015,55,294885,1830,B4,pre_trigger_contamination,pre_trigger_contamination,0.9816915486227845,1767.1975000000002,2553.5,3,2.8899039644668543
blind_016,56,353773,7624,B2,electronics_baseline_drift,electronics_baseline_drift,0.9263734160839057,6636.505,9033.0,5,0.026917423401058294
blind_017,57,373079,9292,B2,electronics_baseline_drift,electronics_baseline_drift,0.9737904185713594,6594.3725,8808.5,5,0.5411176692372992
blind_018,57,379101,14860,B2,pile_up,pile_up,0.9906158482488199,417.60000000000036,5360.0,4,1.1434225731525274
blind_019,57,365988,2654,B2,post_trigger_undershoot,post_trigger_undershoot,0.7406292432279096,632.5475000000006,2663.5,6,0.04436444921316163
blind_020,55,296622,3471,B2,post_trigger_undershoot,post_trigger_undershoot,0.9524456848389684,1509.0074999999997,4699.5,5,0.7762499999999992
blind_021,57,365081,1808,B2,post_trigger_undershoot,post_trigger_undershoot,0.9618105470366706,2552.0,1216.0,5,2.007268397237434
blind_022,55,294522,1495,B2,pile_up,pile_up,0.9800522957215442,288.72749999999996,3251.5,6,1.5801241872546505
blind_023,54,276740,1331,B2,post_trigger_undershoot,post_trigger_undershoot,0.9626486726431047,1614.6175000000003,2725.5,6,1.3986348236451835
blind_024,57,372105,8386,B2,pre_trigger_contamination,pre_trigger_contamination,0.998500168710593,4275.0,1274.0,0,0.3000000000000007
blind_025,57,361869,15197,B2,pre_trigger_contamination,post_trigger_undershoot,0.6385976183088005,1394.6425,1790.5,7,0.5485792631356379
blind_026,55,298245,4990,B2,pile_up,pile_up,0.9712879226003115,399.3800000000001,2708.0,4,0.20218552047715832
blind_027,57,378250,14077,B2,pre_trigger_contamination,pre_trigger_contamination,0.8486030946211681,428.0,1075.0,4,1.3274372532784566
blind_028,54,270790,12180,B2,electronics_baseline_drift,electronics_baseline_drift,0.9969719630610014,6624.895,8807.0,8,0.8886784132263132
blind_029,55,292211,15724,B2,post_trigger_undershoot,post_trigger_undershoot,0.9023362767331505,1865.1049999999996,1793.0,5,1.3350000000000009
blind_030,56,351075,5101,B2,electronics_baseline_drift,electronics_baseline_drift,0.9589532647371759,6684.1675,8755.5,5,0.48138843702949785
